Pathway.Name	SMP.ID	Pathway.Class	HMDB.ID	N_met	hit_n	hit_HMDB_ID	ES	pvalue_nominal	NES	FDR_pri	FDR
Glycogen Synthetase Deficiency	SMP0000552	Disease	HMDB0001401;HMDB0000660;HMDB0000538;HMDB0001341;HMDB0003971;HMDB0003345;HMDB0000258;HMDB0002111;HMDB0001586;HMDB0000547;HMDB0001270;HMDB0003514;HMDB0000807;HMDB0000285;HMDB0000286;HMDB0000250;HMDB0000935;HMDB0003403;HMDB0000295;HMDB0000757;HMDB0006857;HMDB0000464;HMDB0000492;HMDB0000163;HMDB0000902;HMDB0001487;HMDB0001429;HMDB0001491;HMDB0002091;HMDB0000127	30	12	HMDB0001487;HMDB0001491;HMDB0001429;HMDB0000295;HMDB0006857;HMDB0000902;HMDB0000660;HMDB0003345;HMDB0000538;HMDB0000250;HMDB0002111;HMDB0001341	0.5251052246433523	0.07789855072463768	1.4433687618083697	0.3712340918121163	0.3712340918121163
Glycogenosis, Type IV. Amylopectinosis, Anderson Disease	SMP0000554	Disease	HMDB0001401;HMDB0000660;HMDB0000538;HMDB0001341;HMDB0003971;HMDB0003345;HMDB0000258;HMDB0002111;HMDB0001586;HMDB0000547;HMDB0001270;HMDB0003514;HMDB0000807;HMDB0000285;HMDB0000286;HMDB0000250;HMDB0000935;HMDB0003403;HMDB0000295;HMDB0000757;HMDB0006857;HMDB0000464;HMDB0000492;HMDB0000163;HMDB0000902;HMDB0001487;HMDB0001429;HMDB0001491;HMDB0002091;HMDB0000127	30	12	HMDB0006857;HMDB0001429;HMDB0000250;HMDB0000902;HMDB0000538;HMDB0000295;HMDB0002111;HMDB0003345;HMDB0001491;HMDB0000660;HMDB0001487;HMDB0001341	0.5251052246433523	0.07789855072463768	1.4433687618083697	0.3712340918121163	0.3712340918121163
Glycogenosis, Type VI. Hers Disease	SMP0000555	Disease	HMDB0001401;HMDB0000660;HMDB0000538;HMDB0001341;HMDB0003971;HMDB0003345;HMDB0000258;HMDB0002111;HMDB0001586;HMDB0000547;HMDB0001270;HMDB0003514;HMDB0000807;HMDB0000285;HMDB0000286;HMDB0000250;HMDB0000935;HMDB0003403;HMDB0000295;HMDB0000757;HMDB0006857;HMDB0000464;HMDB0000492;HMDB0000163;HMDB0000902;HMDB0001487;HMDB0001429;HMDB0001491;HMDB0002091;HMDB0000127	30	12	HMDB0006857;HMDB0003345;HMDB0000660;HMDB0001341;HMDB0000250;HMDB0001491;HMDB0000295;HMDB0001487;HMDB0000538;HMDB0000902;HMDB0001429;HMDB0002111	0.5251052246433523	0.07789855072463768	1.4433687618083697	0.3712340918121163	0.3712340918121163
Mucopolysaccharidosis VII. Sly Syndrome	SMP0000556	Disease	HMDB0001401;HMDB0000660;HMDB0000538;HMDB0001341;HMDB0003971;HMDB0003345;HMDB0000258;HMDB0002111;HMDB0001586;HMDB0000547;HMDB0001270;HMDB0003514;HMDB0000807;HMDB0000285;HMDB0000286;HMDB0000250;HMDB0000935;HMDB0003403;HMDB0000295;HMDB0000757;HMDB0006857;HMDB0000464;HMDB0000492;HMDB0000163;HMDB0000902;HMDB0001487;HMDB0001429;HMDB0001491;HMDB0002091;HMDB0000127	30	12	HMDB0001429;HMDB0000295;HMDB0001487;HMDB0000250;HMDB0000538;HMDB0002111;HMDB0001341;HMDB0006857;HMDB0000660;HMDB0001491;HMDB0003345;HMDB0000902	0.5251052246433523	0.07789855072463768	1.4433687618083697	0.3712340918121163	0.3712340918121163
Starch and Sucrose Metabolism	SMP0000058	Metabolic	HMDB0001401;HMDB0000660;HMDB0000538;HMDB0001341;HMDB0003971;HMDB0003345;HMDB0000258;HMDB0002111;HMDB0001586;HMDB0000547;HMDB0001270;HMDB0003514;HMDB0000807;HMDB0000285;HMDB0000286;HMDB0000250;HMDB0000935;HMDB0003403;HMDB0000295;HMDB0000757;HMDB0006857;HMDB0000464;HMDB0000492;HMDB0000163;HMDB0000902;HMDB0001487;HMDB0001429;HMDB0001491;HMDB0002091;HMDB0000127	30	12	HMDB0002111;HMDB0001491;HMDB0001341;HMDB0000660;HMDB0000250;HMDB0000538;HMDB0001429;HMDB0006857;HMDB0001487;HMDB0000902;HMDB0003345;HMDB0000295	0.5251052246433523	0.07789855072463768	1.4433687618083697	0.3712340918121163	0.3712340918121163
S-Adenosylhomocysteine (SAH) Hydrolase Deficiency	SMP0000214	Disease	HMDB0001846;HMDB0000187;HMDB0001533;HMDB0000123;HMDB0002111;HMDB0001491;HMDB0001487;HMDB0001396;HMDB0000902;HMDB0001248;HMDB0000742;HMDB0000696;HMDB0015532;HMDB0000719;HMDB0000099;HMDB0000574;HMDB0000005;HMDB0001185;HMDB0000939;HMDB0000271;HMDB0000988;HMDB0001967;HMDB0001414;HMDB0001173;HMDB0001257;HMDB0001429;HMDB0000963;HMDB0000050;HMDB0000097;HMDB0000043;HMDB0000092;HMDB0001377;HMDB0001553;HMDB0000051;HMDB0003125;HMDB0000538;HMDB0000045;HMDB0000250;HMDB0000972;HMDB0002005;HMDB0000547;HMDB0000586	42	18	HMDB0003125;HMDB0001487;HMDB0000051;HMDB0001967;HMDB0000574;HMDB0001491;HMDB0000123;HMDB0001185;HMDB0001429;HMDB0000902;HMDB0000099;HMDB0001377;HMDB0000045;HMDB0000538;HMDB0000939;HMDB0000250;HMDB0002111;HMDB0001248	0.45168218928636356	0.11150442477876106	1.363976766108815	0.3746714994323828	0.3746714994323828
Cystathionine beta-Synthase Deficiency	SMP0000177	Disease	HMDB0001846;HMDB0000187;HMDB0001533;HMDB0000123;HMDB0002111;HMDB0001491;HMDB0001487;HMDB0001396;HMDB0000902;HMDB0001248;HMDB0000742;HMDB0000696;HMDB0015532;HMDB0000719;HMDB0000099;HMDB0000574;HMDB0000005;HMDB0001185;HMDB0000939;HMDB0000271;HMDB0000988;HMDB0001967;HMDB0001414;HMDB0001173;HMDB0001257;HMDB0001429;HMDB0000963;HMDB0000050;HMDB0000097;HMDB0000043;HMDB0000092;HMDB0001377;HMDB0001553;HMDB0000051;HMDB0003125;HMDB0000538;HMDB0000045;HMDB0000250;HMDB0000972;HMDB0002005;HMDB0000547;HMDB0000586	42	18	HMDB0000574;HMDB0001248;HMDB0000051;HMDB0000902;HMDB0000099;HMDB0000939;HMDB0000250;HMDB0000045;HMDB0001491;HMDB0001487;HMDB0001967;HMDB0000538;HMDB0000123;HMDB0001377;HMDB0003125;HMDB0001429;HMDB0001185;HMDB0002111	0.45168218928636356	0.11150442477876106	1.363976766108815	0.3746714994323828	0.3746714994323828
Glycine N-Methyltransferase Deficiency	SMP0000222	Disease	HMDB0001846;HMDB0000187;HMDB0001533;HMDB0000123;HMDB0002111;HMDB0001491;HMDB0001487;HMDB0001396;HMDB0000902;HMDB0001248;HMDB0000742;HMDB0000696;HMDB0015532;HMDB0000719;HMDB0000099;HMDB0000574;HMDB0000005;HMDB0001185;HMDB0000939;HMDB0000271;HMDB0000988;HMDB0001967;HMDB0001414;HMDB0001173;HMDB0001257;HMDB0001429;HMDB0000963;HMDB0000050;HMDB0000097;HMDB0000043;HMDB0000092;HMDB0001377;HMDB0001553;HMDB0000051;HMDB0003125;HMDB0000538;HMDB0000045;HMDB0000250;HMDB0000972;HMDB0002005;HMDB0000547;HMDB0000586	42	18	HMDB0001248;HMDB0002111;HMDB0001185;HMDB0003125;HMDB0000051;HMDB0000574;HMDB0000045;HMDB0000902;HMDB0000099;HMDB0001967;HMDB0001491;HMDB0000939;HMDB0000123;HMDB0000538;HMDB0001487;HMDB0001377;HMDB0001429;HMDB0000250	0.45168218928636356	0.11150442477876106	1.363976766108815	0.3746714994323828	0.3746714994323828
Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)-SMP0000340	SMP0000340	Disease	HMDB0001846;HMDB0000187;HMDB0001533;HMDB0000123;HMDB0002111;HMDB0001491;HMDB0001487;HMDB0001396;HMDB0000902;HMDB0001248;HMDB0000742;HMDB0000696;HMDB0015532;HMDB0000719;HMDB0000099;HMDB0000574;HMDB0000005;HMDB0001185;HMDB0000939;HMDB0000271;HMDB0000988;HMDB0001967;HMDB0001414;HMDB0001173;HMDB0001257;HMDB0001429;HMDB0000963;HMDB0000050;HMDB0000097;HMDB0000043;HMDB0000092;HMDB0001377;HMDB0001553;HMDB0000051;HMDB0003125;HMDB0000538;HMDB0000045;HMDB0000250;HMDB0000972;HMDB0002005;HMDB0000547;HMDB0000586	42	18	HMDB0001248;HMDB0002111;HMDB0001185;HMDB0003125;HMDB0000051;HMDB0000574;HMDB0000045;HMDB0000902;HMDB0000099;HMDB0001967;HMDB0001491;HMDB0000939;HMDB0000123;HMDB0000538;HMDB0001487;HMDB0001377;HMDB0001429;HMDB0000250	0.45168218928636356	0.11150442477876106	1.363976766108815	0.3746714994323828	0.3746714994323828
Methionine Adenosyltransferase Deficiency	SMP0000221	Disease	HMDB0001846;HMDB0000187;HMDB0001533;HMDB0000123;HMDB0002111;HMDB0001491;HMDB0001487;HMDB0001396;HMDB0000902;HMDB0001248;HMDB0000742;HMDB0000696;HMDB0015532;HMDB0000719;HMDB0000099;HMDB0000574;HMDB0000005;HMDB0001185;HMDB0000939;HMDB0000271;HMDB0000988;HMDB0001967;HMDB0001414;HMDB0001173;HMDB0001257;HMDB0001429;HMDB0000963;HMDB0000050;HMDB0000097;HMDB0000043;HMDB0000092;HMDB0001377;HMDB0001553;HMDB0000051;HMDB0003125;HMDB0000538;HMDB0000045;HMDB0000250;HMDB0000972;HMDB0002005;HMDB0000547;HMDB0000586	42	18	HMDB0001967;HMDB0001487;HMDB0001185;HMDB0000574;HMDB0001429;HMDB0001491;HMDB0000902;HMDB0000250;HMDB0001248;HMDB0003125;HMDB0000045;HMDB0000099;HMDB0000538;HMDB0001377;HMDB0000051;HMDB0000123;HMDB0000939;HMDB0002111	0.45168218928636356	0.11150442477876106	1.363976766108815	0.3746714994323828	0.3746714994323828
Homocystinuria-Megaloblastic Anemia Due to Defect in Cobalamin Metabolism, cblG Complementation Type	SMP0000570	Disease	HMDB0001846;HMDB0000187;HMDB0001533;HMDB0000123;HMDB0002111;HMDB0001491;HMDB0001487;HMDB0001396;HMDB0000902;HMDB0001248;HMDB0000742;HMDB0000696;HMDB0015532;HMDB0000719;HMDB0000099;HMDB0000574;HMDB0000005;HMDB0001185;HMDB0000939;HMDB0000271;HMDB0000988;HMDB0001967;HMDB0001414;HMDB0001173;HMDB0001257;HMDB0001429;HMDB0000963;HMDB0000050;HMDB0000097;HMDB0000043;HMDB0000092;HMDB0001377;HMDB0001553;HMDB0000051;HMDB0003125;HMDB0000538;HMDB0000045;HMDB0000250;HMDB0000972;HMDB0002005;HMDB0000547;HMDB0000586	42	18	HMDB0001429;HMDB0003125;HMDB0001377;HMDB0001487;HMDB0000250;HMDB0000051;HMDB0000099;HMDB0001248;HMDB0000939;HMDB0002111;HMDB0000538;HMDB0000045;HMDB0001967;HMDB0000574;HMDB0001491;HMDB0001185;HMDB0000123;HMDB0000902	0.45168218928636356	0.11150442477876106	1.363976766108815	0.3746714994323828	0.3746714994323828
Hypermethioninemia	SMP0000341	Disease	HMDB0001846;HMDB0000187;HMDB0001533;HMDB0000123;HMDB0002111;HMDB0001491;HMDB0001487;HMDB0001396;HMDB0000902;HMDB0001248;HMDB0000742;HMDB0000696;HMDB0015532;HMDB0000719;HMDB0000099;HMDB0000574;HMDB0000005;HMDB0001185;HMDB0000939;HMDB0000271;HMDB0000988;HMDB0001967;HMDB0001414;HMDB0001173;HMDB0001257;HMDB0001429;HMDB0000963;HMDB0000050;HMDB0000097;HMDB0000043;HMDB0000092;HMDB0001377;HMDB0001553;HMDB0000051;HMDB0003125;HMDB0000538;HMDB0000045;HMDB0000250;HMDB0000972;HMDB0002005;HMDB0000547;HMDB0000586	42	18	HMDB0003125;HMDB0001487;HMDB0000051;HMDB0001967;HMDB0000574;HMDB0001491;HMDB0000123;HMDB0001185;HMDB0001429;HMDB0000902;HMDB0000099;HMDB0001377;HMDB0000045;HMDB0000538;HMDB0000939;HMDB0000250;HMDB0002111;HMDB0001248	0.45168218928636356	0.11150442477876106	1.363976766108815	0.3746714994323828	0.3746714994323828
Methionine Metabolism	SMP0000033	Metabolic	HMDB0001846;HMDB0000187;HMDB0001533;HMDB0000123;HMDB0002111;HMDB0001491;HMDB0001487;HMDB0001396;HMDB0000902;HMDB0001248;HMDB0000742;HMDB0000696;HMDB0015532;HMDB0000719;HMDB0000099;HMDB0000574;HMDB0000005;HMDB0001185;HMDB0000939;HMDB0000271;HMDB0000988;HMDB0001967;HMDB0001414;HMDB0001173;HMDB0001257;HMDB0001429;HMDB0000963;HMDB0000050;HMDB0000097;HMDB0000043;HMDB0000092;HMDB0001377;HMDB0001553;HMDB0000051;HMDB0003125;HMDB0000538;HMDB0000045;HMDB0000250;HMDB0000972;HMDB0002005;HMDB0000547;HMDB0000586	42	18	HMDB0000574;HMDB0001248;HMDB0000051;HMDB0000902;HMDB0000099;HMDB0000939;HMDB0000250;HMDB0000045;HMDB0001491;HMDB0001487;HMDB0001967;HMDB0000538;HMDB0000123;HMDB0001377;HMDB0003125;HMDB0001429;HMDB0001185;HMDB0002111	0.45168218928636356	0.11150442477876106	1.363976766108815	0.3746714994323828	0.3746714994323828
Hypophosphatasia	SMP0000503	Disease	HMDB0001491;HMDB0002111;HMDB0001545;HMDB0001429;HMDB0001431;HMDB0001377;HMDB0000051;HMDB0003125;HMDB0001520;HMDB0000239;HMDB0000017;HMDB0001248;HMDB0006954;HMDB0006955;HMDB0003344;HMDB0001319;HMDB0015532;HMDB0001555;HMDB0000547	19	7	HMDB0002111;HMDB0001248;HMDB0001429;HMDB0003125;HMDB0000051;HMDB0001491;HMDB0001377	0.5795564127290241	0.1474820143884892	1.357997525472959	0.3756761549607771	0.3756761549607771
Vitamin B6 Metabolism	SMP0000017	Metabolic	HMDB0001491;HMDB0002111;HMDB0001545;HMDB0001429;HMDB0001431;HMDB0001377;HMDB0000051;HMDB0003125;HMDB0001520;HMDB0000239;HMDB0000017;HMDB0001248;HMDB0006954;HMDB0006955;HMDB0003344;HMDB0001319;HMDB0015532;HMDB0001555;HMDB0000547	19	7	HMDB0001429;HMDB0003125;HMDB0001377;HMDB0000051;HMDB0001248;HMDB0002111;HMDB0001491	0.5795564127290241	0.1474820143884892	1.357997525472959	0.3756761549607771	0.3756761549607771
Folate Metabolism	SMP0000053	Metabolic	HMDB0001056;HMDB0001846;HMDB0000217;HMDB0000221;HMDB0000121;HMDB0000538;HMDB0000142;HMDB0001341;HMDB0000972;HMDB0001429;HMDB0002111;HMDB0001967;HMDB0001562;HMDB0000148;HMDB0003470;HMDB0001491;HMDB0059597;HMDB0001354;HMDB0000547;HMDB0001533;HMDB0001487;HMDB0001396;HMDB0000902;HMDB0001248;HMDB0001534;HMDB0000051;HMDB0006825;HMDB0000464;HMDB0006826	29	15	HMDB0001248;HMDB0001341;HMDB0002111;HMDB0059597;HMDB0000051;HMDB0000902;HMDB0000221;HMDB0001967;HMDB0000148;HMDB0001491;HMDB0000217;HMDB0000538;HMDB0001487;HMDB0001562;HMDB0001429	0.49247833875764524	0.08687615526802218	1.4132870510357451	0.37669476992263284	0.37669476992263284
Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)-SMP0000543	SMP0000543	Disease	HMDB0001056;HMDB0001846;HMDB0000217;HMDB0000221;HMDB0000121;HMDB0000538;HMDB0000142;HMDB0001341;HMDB0000972;HMDB0001429;HMDB0002111;HMDB0001967;HMDB0001562;HMDB0000148;HMDB0003470;HMDB0001491;HMDB0059597;HMDB0001354;HMDB0000547;HMDB0001533;HMDB0001487;HMDB0001396;HMDB0000902;HMDB0001248;HMDB0001534;HMDB0000051;HMDB0006825;HMDB0000464;HMDB0006826	29	15	HMDB0000217;HMDB0001248;HMDB0000051;HMDB0000221;HMDB0001341;HMDB0000902;HMDB0001562;HMDB0001491;HMDB0001487;HMDB0001967;HMDB0000538;HMDB0000148;HMDB0059597;HMDB0001429;HMDB0002111	0.49247833875764524	0.08687615526802218	1.4132870510357451	0.37669476992263284	0.37669476992263284
Folate Malabsorption, Hereditary	SMP0000724	Disease	HMDB0001056;HMDB0001846;HMDB0000217;HMDB0000221;HMDB0000121;HMDB0000538;HMDB0000142;HMDB0001341;HMDB0000972;HMDB0001429;HMDB0002111;HMDB0001967;HMDB0001562;HMDB0000148;HMDB0003470;HMDB0001491;HMDB0059597;HMDB0001354;HMDB0000547;HMDB0001533;HMDB0001487;HMDB0001396;HMDB0000902;HMDB0001248;HMDB0001534;HMDB0000051;HMDB0006825;HMDB0000464;HMDB0006826	29	15	HMDB0001248;HMDB0000902;HMDB0000148;HMDB0001491;HMDB0002111;HMDB0001341;HMDB0000538;HMDB0000217;HMDB0001487;HMDB0059597;HMDB0000221;HMDB0000051;HMDB0001429;HMDB0001967;HMDB0001562	0.49247833875764524	0.08687615526802218	1.4132870510357451	0.37669476992263284	0.37669476992263284
Warburg Effect	SMP0000654	Metabolic	HMDB0000122;HMDB0000538;HMDB0001401;HMDB0001341;HMDB0000124;HMDB0001058;HMDB0000547;HMDB0001473;HMDB0001112;HMDB0000902;HMDB0001429;HMDB0001270;HMDB0001487;HMDB0000807;HMDB0003391;HMDB0000263;HMDB0002111;HMDB0000243;HMDB0000586;HMDB0000595;HMDB0000223;HMDB0000030;HMDB0001333;HMDB0001423;HMDB0001206;HMDB0001967;HMDB0001372;HMDB0000962;HMDB0001248;HMDB0000094;HMDB0000190;HMDB0059597;HMDB0000193;HMDB0000208;HMDB0001022;HMDB0001201;HMDB0000254;HMDB0001273;HMDB0001072;HMDB0000134;HMDB0059661;HMDB0001197;HMDB0000156;HMDB0000148;HMDB0000051;HMDB0000641;HMDB0001321;HMDB0001068;HMDB0001548;HMDB0000868;HMDB0000618;HMDB0001316;HMDB0001127;HMDB0001362;HMDB0003498;HMDB0000217;HMDB0000221	57	22	HMDB0001248;HMDB0000538;HMDB0002111;HMDB0000223;HMDB0001341;HMDB0000122;HMDB0000902;HMDB0000208;HMDB0000254;HMDB0000221;HMDB0001487;HMDB0000217;HMDB0000134;HMDB0003498;HMDB0001072;HMDB0001429;HMDB0059597;HMDB0001333;HMDB0000051;HMDB0000148;HMDB0003391;HMDB0001967	0.4274634632027033	0.11262798634812286	1.3550870113822255	0.3783533446762302	0.3783533446762302
Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids	SMP0000482	Metabolic	HMDB0001114;HMDB0000062;HMDB0000848;HMDB0001423;HMDB0000827;HMDB0000538;HMDB0000250;HMDB0000045;HMDB0000547;HMDB0006529;HMDB0002111;HMDB0013640;HMDB0000902;HMDB0006498;HMDB0001487;HMDB0059597;HMDB0001338;HMDB0001206;HMDB0003945;HMDB0003932;HMDB0006402;HMDB0001521;HMDB0003946;HMDB0003934;HMDB0003935;HMDB0003571;HMDB0001248	27	9	HMDB0001248;HMDB0000902;HMDB0000250;HMDB0000045;HMDB0003932;HMDB0001487;HMDB0000538;HMDB0059597;HMDB0002111	0.5400010873802974	0.1404494382022472	1.3352376140193318	0.3785728471801706	0.3785728471801706
The Oncogenic Action of L-2-Hydroxyglutarate in Hydroxyglutaric aciduria 	SMP0002358	Disease	HMDB0000243;HMDB0001423;HMDB0000902;HMDB0001206;HMDB0001967;HMDB0001487;HMDB0001372;HMDB0000962;HMDB0001248;HMDB0002111;HMDB0000223;HMDB0000094;HMDB0000193;HMDB0000208;HMDB0059597;HMDB0000547;HMDB0001022;HMDB0001429;HMDB0001201;HMDB0000254;HMDB0001273;HMDB0000156;HMDB0000134;HMDB0000538;HMDB0000595;HMDB0001341;HMDB0000030;HMDB0001333;HMDB0001072;HMDB0059661;HMDB0001197;HMDB0000072;HMDB0000221;HMDB0041827;HMDB0000148;HMDB0000217;HMDB0000641;HMDB0000051;HMDB0000694;HMDB0059655	40	19	HMDB0002111;HMDB0001341;HMDB0000051;HMDB0000254;HMDB0000217;HMDB0000134;HMDB0000148;HMDB0000221;HMDB0000208;HMDB0059597;HMDB0001487;HMDB0001967;HMDB0001072;HMDB0001248;HMDB0000538;HMDB0001429;HMDB0001333;HMDB0000223;HMDB0000902	0.43750263497792746	0.12631578947368421	1.338893763950831	0.37859945659547317	0.37859945659547317
The Oncogenic Action of D-2-Hydroxyglutarate in Hydroxyglutaric aciduria 	SMP0002359	Disease	HMDB0000243;HMDB0001423;HMDB0000902;HMDB0001206;HMDB0001967;HMDB0001487;HMDB0001372;HMDB0000962;HMDB0001248;HMDB0002111;HMDB0000223;HMDB0000094;HMDB0000193;HMDB0000208;HMDB0059597;HMDB0000547;HMDB0001022;HMDB0001429;HMDB0001201;HMDB0000254;HMDB0001273;HMDB0000156;HMDB0000134;HMDB0000538;HMDB0000595;HMDB0001341;HMDB0000030;HMDB0001333;HMDB0001072;HMDB0059661;HMDB0001197;HMDB0000072;HMDB0000221;HMDB0041827;HMDB0000148;HMDB0000217;HMDB0000641;HMDB0000051;HMDB0000694;HMDB0000606;HMDB0059655	41	19	HMDB0001487;HMDB0000051;HMDB0000208;HMDB0000902;HMDB0000254;HMDB0001341;HMDB0000223;HMDB0001429;HMDB0001072;HMDB0002111;HMDB0000217;HMDB0001248;HMDB0001967;HMDB0001333;HMDB0059597;HMDB0000134;HMDB0000221;HMDB0000538;HMDB0000148	0.43750263497792746	0.12631578947368421	1.338893763950831	0.37859945659547317	0.37859945659547317
The Oncogenic Action of 2-Hydroxyglutarate	SMP0002291	Disease	HMDB0000243;HMDB0001423;HMDB0000902;HMDB0001206;HMDB0001967;HMDB0001487;HMDB0001372;HMDB0000962;HMDB0001248;HMDB0002111;HMDB0000223;HMDB0000094;HMDB0000193;HMDB0000208;HMDB0059597;HMDB0000547;HMDB0001022;HMDB0001429;HMDB0001201;HMDB0000254;HMDB0001273;HMDB0000156;HMDB0000134;HMDB0000538;HMDB0000595;HMDB0001341;HMDB0000030;HMDB0001333;HMDB0001072;HMDB0059661;HMDB0001197;HMDB0000072;HMDB0000221;HMDB0041827;HMDB0000148;HMDB0000217;HMDB0000641;HMDB0000051;HMDB0059655	39	19	HMDB0000148;HMDB0002111;HMDB0000051;HMDB0001248;HMDB0000902;HMDB0000538;HMDB0000217;HMDB0001487;HMDB0000223;HMDB0000134;HMDB0000208;HMDB0001333;HMDB0059597;HMDB0000221;HMDB0001967;HMDB0000254;HMDB0001341;HMDB0001072;HMDB0001429	0.43750263497792746	0.12631578947368421	1.338893763950831	0.37859945659547317	0.37859945659547317
Kidney Function - Collecting Duct	SMP0121011	Physiological	HMDB0000588;HMDB0000294;HMDB0000586;HMDB0002111;HMDB0000595;HMDB0061196;HMDB0001035;HMDB0001980;HMDB0000037;HMDB0001967;HMDB0059597;HMDB0015532	12	6	HMDB0001035;HMDB0059597;HMDB0002111;HMDB0000294;HMDB0001980;HMDB0001967	0.6027457090880357	0.150278293135436	1.3376112340980866	0.37868083333794805	0.37868083333794805
Methotrexate Action Pathway	SMP0000432	Drug Action	HMDB0014703;HMDB0000148;HMDB0000538;HMDB0001429;HMDB0001341;HMDB0000464;HMDB0001056;HMDB0001846;HMDB0000217;HMDB0000221;HMDB0000121;HMDB0000142;HMDB0000972;HMDB0002111;HMDB0001967;HMDB0001562;HMDB0003470;HMDB0001491;HMDB0059597;HMDB0001354;HMDB0000547;HMDB0001533;HMDB0001487;HMDB0001396;HMDB0000902;HMDB0001248;HMDB0001534;HMDB0000051;HMDB0006825;HMDB0006826	30	16	HMDB0001967;HMDB0000538;HMDB0000221;HMDB0002111;HMDB0001248;HMDB0001429;HMDB0000902;HMDB0001341;HMDB0001487;HMDB0000051;HMDB0000148;HMDB0014703;HMDB0059597;HMDB0001562;HMDB0000217;HMDB0001491	0.46345680777924736	0.11602209944751381	1.3606835443078564	0.37925199598250003	0.37925199598250003
Mitochondrial Electron Transport Chain	SMP0000355	Metabolic	HMDB0001429;HMDB0000538;HMDB0001341;HMDB0059597;HMDB0001072;HMDB0000126;HMDB0001060;HMDB0001473;HMDB0001248;HMDB0001487;HMDB0000902;HMDB0000254;HMDB0000134;HMDB0003178;HMDB0002111;HMDB0001377;HMDB0001112;HMDB0001270	18	12	HMDB0001248;HMDB0000134;HMDB0000902;HMDB0000254;HMDB0002111;HMDB0001341;HMDB0000538;HMDB0001072;HMDB0001377;HMDB0001487;HMDB0059597;HMDB0001429	0.48636141753601136	0.14130434782608695	1.33687277154233	0.37967539717561966	0.37967539717561966
Taurine and Hypotaurine Metabolism	SMP0000021	Metabolic	HMDB0000574;HMDB0001377;HMDB0000996;HMDB0000692;HMDB0002991;HMDB0001967;HMDB0000965;HMDB0015531;HMDB0001491;HMDB0002757;HMDB0000251;HMDB0004195	12	6	HMDB0001967;HMDB0000574;HMDB0001491;HMDB0001377;HMDB0002757;HMDB0002991	0.6119694364133439	0.137291280148423	1.3580804985068817	0.38049229798278406	0.38049229798278406
Citric Acid Cycle	SMP0000057	Metabolic	HMDB0000243;HMDB0001423;HMDB0000902;HMDB0001206;HMDB0001967;HMDB0001487;HMDB0001372;HMDB0000962;HMDB0001248;HMDB0002111;HMDB0000223;HMDB0000094;HMDB0000072;HMDB0000193;HMDB0000208;HMDB0059597;HMDB0000547;HMDB0001022;HMDB0001429;HMDB0001201;HMDB0000254;HMDB0001273;HMDB0000134;HMDB0000156;HMDB0000538;HMDB0000595;HMDB0001341;HMDB0000030;HMDB0001333;HMDB0001072;HMDB0059661;HMDB0001197	32	15	HMDB0001341;HMDB0001487;HMDB0000208;HMDB0001248;HMDB0059597;HMDB0000223;HMDB0000134;HMDB0001333;HMDB0000254;HMDB0000902;HMDB0001072;HMDB0002111;HMDB0000538;HMDB0001429;HMDB0001967	0.4932624432556043	0.08687615526802218	1.415537230681047	0.3821072905951104	0.3821072905951104
Congenital Lactic Acidosis	SMP0000546	Disease	HMDB0000243;HMDB0001423;HMDB0000902;HMDB0001206;HMDB0001967;HMDB0001487;HMDB0001372;HMDB0000962;HMDB0001248;HMDB0002111;HMDB0000223;HMDB0000094;HMDB0000072;HMDB0000193;HMDB0000208;HMDB0059597;HMDB0000547;HMDB0001022;HMDB0001429;HMDB0001201;HMDB0000254;HMDB0001273;HMDB0000134;HMDB0000156;HMDB0000538;HMDB0000595;HMDB0001341;HMDB0000030;HMDB0001333;HMDB0001072;HMDB0059661;HMDB0001197	32	15	HMDB0001248;HMDB0001341;HMDB0000223;HMDB0059597;HMDB0000134;HMDB0000902;HMDB0001967;HMDB0000208;HMDB0001072;HMDB0001333;HMDB0000538;HMDB0000254;HMDB0001487;HMDB0001429;HMDB0002111	0.4932624432556043	0.08687615526802218	1.415537230681047	0.3821072905951104	0.3821072905951104
Fumarase Deficiency	SMP0000547	Disease	HMDB0000243;HMDB0001423;HMDB0000902;HMDB0001206;HMDB0001967;HMDB0001487;HMDB0001372;HMDB0000962;HMDB0001248;HMDB0002111;HMDB0000223;HMDB0000094;HMDB0000072;HMDB0000193;HMDB0000208;HMDB0059597;HMDB0000547;HMDB0001022;HMDB0001429;HMDB0001201;HMDB0000254;HMDB0001273;HMDB0000134;HMDB0000156;HMDB0000538;HMDB0000595;HMDB0001341;HMDB0000030;HMDB0001333;HMDB0001072;HMDB0059661;HMDB0001197	32	15	HMDB0002111;HMDB0001487;HMDB0000538;HMDB0000208;HMDB0001248;HMDB0001341;HMDB0001333;HMDB0000223;HMDB0001429;HMDB0000254;HMDB0001072;HMDB0001967;HMDB0000134;HMDB0000902;HMDB0059597	0.4932624432556043	0.08687615526802218	1.415537230681047	0.3821072905951104	0.3821072905951104
