Term	TermClass	TermSize	N_Hit	Hit	ES	pvalue_nominal	NES	FDR
Retinol metabolism	Pathway	12	1	HUBMet000592	-0.8155533399800537	0.39243027888446214	-1.079252106538548	0.8945381515894907
Porphyrin Metabolism	Pathway	11	1	HUBMet000592	-0.8155533399800537	0.39243027888446214	-1.079252106538548	0.8945381515894907
Arginine and Proline Metabolism	Pathway	55	9	HUBMet000008;HUBMet001704;HUBMet001171;HUBMet000592;HUBMet001336;HUBMet000016;HUBMet001689;HUBMet001691;HUBMet001333	0.3420263764932207	0.6647173489278753	0.8436215966063126	0.8960191323827688
Phenylalanine and Tyrosine Metabolism	Pathway	69	12	HUBMet001702;HUBMet000063;HUBMet002662;HUBMet001709;HUBMet001260;HUBMet001336;HUBMet000096;HUBMet001850;HUBMet002181;HUBMet000552;HUBMet001333;HUBMet000315	0.31677280766304616	0.6786389413988658	0.8436893164495172	0.9161479016850919
Alpha Linolenic Acid and Linoleic Acid Metabolism	Pathway	13	3	HUBMet001909;HUBMet001545;HUBMet000152	0.5146401822293729	0.6723404255319149	0.8644812087927837	0.9231677413495597
Primary Bile Acid Metabolism	Pathway	21	5	HUBMet001425;HUBMet001078;HUBMet000332;HUBMet000086;HUBMet002502	0.37649421823864726	0.7742574257425743	0.7557104749094391	0.9263600036327309
Xanthine Metabolism	Pathway	16	1	HUBMet000213	0.5333998005982084	0.9216867469879518	0.7204471461174895	0.9313226109554782
phosphatidylethanolamine biosynthesis	Pathway	248	66	HUBMet001483;HUBMet002134;HUBMet000189;HUBMet002139;HUBMet002074;HUBMet003292;HUBMet001476;HUBMet001472;HUBMet001475;HUBMet001910;HUBMet003129;HUBMet002055;HUBMet001912;HUBMet001951;HUBMet002073;HUBMet001477;HUBMet001205;HUBMet002146;HUBMet002150;HUBMet001473;HUBMet002133;HUBMet001137;HUBMet002045;HUBMet002136;HUBMet001060;HUBMet001913;HUBMet001484;HUBMet002063;HUBMet001138;HUBMet001140;HUBMet002069;HUBMet002792;HUBMet003284;HUBMet001908;HUBMet002057;HUBMet000015;HUBMet001909;HUBMet002132;HUBMet002130;HUBMet002128;HUBMet002145;HUBMet000416;HUBMet001486;HUBMet002041;HUBMet000648;HUBMet002061;HUBMet001911;HUBMet002137;HUBMet002682;HUBMet001474;HUBMet003286;HUBMet003087;HUBMet001454;HUBMet003409;HUBMet001141;HUBMet001830;HUBMet000299;HUBMet002054;HUBMet002042;HUBMet000397;HUBMet001478;HUBMet002043;HUBMet001453;HUBMet002131;HUBMet001946;HUBMet002070	0.209584688374372	0.7574074074074074	0.8456870748298563	0.9346245720452908
Urea Cycle	Pathway	39	4	HUBMet001336;HUBMet001689;HUBMet000008;HUBMet001691	0.46820005468707376	0.6539278131634819	0.86646634044354	0.940507386183661
Threonine and 2-Oxobutanoate Degradation	Pathway	10	2	HUBMet001707;HUBMet000378	0.4570858283433097	0.8547717842323651	0.6947154940396033	0.9438336106432161
Fatty Acid Metabolism-Acyl Carnitine	Pathway	26	2	HUBMet000079;HUBMet000398	0.4763141879379345	0.8278008298755186	0.7239402883933626	0.9445340755501184
Pyrimidine Metabolism	Pathway	32	6	HUBMet001132;HUBMet002575;HUBMet001335;HUBMet001182;HUBMet000497;HUBMet000407	-0.45301658781250553	0.5262054507337526	-0.9741605721497724	0.9558383011537206
Leucine, Isoleucine and Valine Metabolism	Pathway	68	13	HUBMet001710;HUBMet001279;HUBMet001267;HUBMet000138;HUBMet001776;HUBMet000098;HUBMet001699;HUBMet001171;HUBMet002868;HUBMet000228;HUBMet001698;HUBMet000896;HUBMet000201	0.3273995425902665	0.6084452975047985	0.8918552363426054	0.9598583234946872
Beta Oxidation of Very Long Chain Fatty Acids	Pathway	13	3	HUBMet001692;HUBMet000079;HUBMet001841	0.5163560954231272	0.6680851063829787	0.8673635618680806	0.9608817319044592
Glycerolipid Metabolism	Pathway	23	2	HUBMet000415;HUBMet003751	0.5933153993438576	0.6556016597510373	0.9017680602140368	0.9650588968770787
Carnitine Synthesis	Pathway	12	4	HUBMet001692;HUBMet001700;HUBMet001171;HUBMet001333	0.3139999999999995	0.9426751592356688	0.5810986739015059	0.9710131589190031
Glycolysis	Pathway	24	2	HUBMet000033;HUBMet000070	0.607441581744527	0.6244813278008299	0.923238158775053	0.9720253772201825
Methionine, Cysteine, SAM and Taurine Metabolism	Pathway	33	3	HUBMet000378;HUBMet001333;HUBMet001701	-0.5444555444555473	0.5716981132075472	-0.9425050073989254	0.9777232475262361
Glycine, Serine and Threonine Metabolism	Pathway	47	11	HUBMet001707;HUBMet001340;HUBMet001689;HUBMet000091;HUBMet001662;HUBMet001127;HUBMet001333;HUBMet000016;HUBMet001701;HUBMet000378;HUBMet001336	0.24269889224571944	0.9118198874296435	0.6346972616069555	0.9790562972381154
Betaine Metabolism	Pathway	14	4	HUBMet001333;HUBMet001662;HUBMet000015;HUBMet001701	0.4695015435053824	0.6454352441613588	0.8688749182346763	0.981404958677686
Transfer of Acetyl Groups into Mitochondria	Pathway	14	1	HUBMet001765	0.6699900299102708	0.6305220883534136	0.9049354807307503	0.9834540459540461
Arachidonic Acid Metabolism	Pathway	18	3	HUBMet001629;HUBMet000592;HUBMet002614	-0.2982499443392889	0.9792452830188679	-0.516299390939863	0.9856081501912981
Propanoate Metabolism	Pathway	24	4	HUBMet001710;HUBMet001776;HUBMet001336;HUBMet000378	0.26599999999999935	0.9851380042462845	0.49226830336879124	0.9871492144219417
De Novo Triacylglycerol Biosynthesis	Pathway	201	38	HUBMet002538;HUBMet003284;HUBMet002461;HUBMet001453;HUBMet002554;HUBMet001486;HUBMet001060;HUBMet002520;HUBMet003286;HUBMet000415;HUBMet002547;HUBMet001478;HUBMet001483;HUBMet001476;HUBMet002544;HUBMet001474;HUBMet002513;HUBMet002539;HUBMet002543;HUBMet002457;HUBMet002521;HUBMet003292;HUBMet002494;HUBMet002470;HUBMet001472;HUBMet002492;HUBMet001477;HUBMet001473;HUBMet002526;HUBMet001869;HUBMet002514;HUBMet001454;HUBMet001484;HUBMet002548;HUBMet002485;HUBMet000397;HUBMet002491;HUBMet001475	0.16108713727132534	0.9821782178217822	0.5826784103198108	0.9884326417384268
Sphingolipid Metabolism	Pathway	39	4	HUBMet000909;HUBMet002598;HUBMet000276;HUBMet001830	0.498982882311522	0.5796178343949044	0.9234340484419653	1.0
Nicotinate and Nicotinamide Metabolism	Pathway	29	5	HUBMet001822;HUBMet001333;HUBMet002279;HUBMet001336;HUBMet002593	-0.4821604052423295	0.5050505050505051	-0.9754300862709445	1.0
Purine Metabolism	Pathway	45	9	HUBMet001691;HUBMet000592;HUBMet000376;HUBMet000022;HUBMet000387;HUBMet000736;HUBMet000032;HUBMet001336;HUBMet001001	-0.21608040201005002	0.973305954825462	-0.5346909884042156	1.0
Galactose Metabolism	Pathway	28	2	HUBMet002598;HUBMet000277	0.6117764471057852	0.6182572614107884	0.9298266328521354	1.0
Starch and Sucrose Metabolism	Pathway	22	2	HUBMet000277;HUBMet002598	0.6117764471057852	0.6182572614107884	0.9298266328521354	1.0
Food Component/Plant	Pathway	220	11	HUBMet000224;HUBMet000896;HUBMet003840;HUBMet000438;HUBMet003886;HUBMet000665;HUBMet003925;HUBMet000020;HUBMet003751;HUBMet000306;HUBMet000149	0.36347519593151184	0.5103189493433395	0.9505470312827562	1.0
Ethanol Degradation	Pathway	10	2	HUBMet001336;HUBMet000592	-0.35885964487509564	0.971042471042471	-0.5423884145585591	1.0
Tryptophan Metabolism	Pathway	62	12	HUBMet002279;HUBMet000592;HUBMet001333;HUBMet000159;HUBMet002881;HUBMet001335;HUBMet001708;HUBMet001269;HUBMet001095;HUBMet000532;HUBMet002834;HUBMet001679	-0.30625305260862573	0.6963906581740976	-0.8327463069470462	1.0
Nucleotide Sugars Metabolism	Pathway	16	1	HUBMet002598	0.7078763708873392	0.570281124497992	0.9561074275577862	1.0
Pyrimidine Metabolism-Uracil Containing	Pathway	10	1	HUBMet000407	0.7437686939182462	0.4799196787148594	1.0045861140255044	1.0
Mitochondrial Electron Transport Chain	Pathway	13	2	HUBMet000592;HUBMet001171	-0.37625984872651225	0.9536679536679536	-0.568687468003954	1.0
Spermidine and Spermine Biosynthesis	Pathway	11	2	HUBMet001333;HUBMet001701	-0.5768463073852378	0.7027027027027027	-0.8718582838021178	1.0
Selenoamino Acid Metabolism	Pathway	11	2	HUBMet000378;HUBMet001336	0.6308799141751897	0.5767634854771784	0.9588616055860149	1.0
Gluconeogenesis	Pathway	29	3	HUBMet001765;HUBMet000070;HUBMet000033	0.5778032396573967	0.5638297872340425	0.9705811172762017	1.0
Lysine Metabolism	Pathway	37	4	HUBMet001700;HUBMet000097;HUBMet001815;HUBMet001304	-0.43400000000000033	0.6635160680529301	-0.8354304559859915	1.0
Phospholipid Metabolism	Pathway	301	66	HUBMet001908;HUBMet001910;HUBMet002041;HUBMet000177;HUBMet001911;HUBMet000931;HUBMet002079;HUBMet000281;HUBMet001913;HUBMet003117;HUBMet000596;HUBMet001909;HUBMet002146;HUBMet002150;HUBMet002174;HUBMet001987;HUBMet001150;HUBMet001152;HUBMet002145;HUBMet000167;HUBMet000909;HUBMet002045;HUBMet002216;HUBMet000015;HUBMet002783;HUBMet002070;HUBMet003420;HUBMet002130;HUBMet002055;HUBMet002136;HUBMet001747;HUBMet001138;HUBMet002132;HUBMet001140;HUBMet002227;HUBMet001137;HUBMet001153;HUBMet000162;HUBMet001745;HUBMet002221;HUBMet002226;HUBMet001984;HUBMet002133;HUBMet000524;HUBMet002137;HUBMet000293;HUBMet002399;HUBMet002794;HUBMet000629;HUBMet002682;HUBMet002134;HUBMet002054;HUBMet002131;HUBMet002744;HUBMet000992;HUBMet002740;HUBMet002043;HUBMet002786;HUBMet001912;HUBMet002057;HUBMet001141;HUBMet002231;HUBMet000415;HUBMet002224;HUBMet002788;HUBMet002787	0.24309711942840087	0.4722222222222222	0.980911789995568	1.0
beta-Alanine Metabolism	Pathway	19	3	HUBMet001691;HUBMet000407;HUBMet001182	-0.32972923829840417	0.9584905660377359	-0.5707930819087338	1.0
Ammonia Recycling	Pathway	18	3	HUBMet002576;HUBMet001336;HUBMet001691	0.5980770713800772	0.5148936170212766	1.004636651918992	1.0
TCA Cycle	Pathway	33	2	HUBMet001171;HUBMet001765	0.6706586826347283	0.4896265560165975	1.0193205502065843	1.0
Glycerophospholipid metabolism	Pathway	394	78	HUBMet002041;HUBMet001913;HUBMet003117;HUBMet000299;HUBMet003409;HUBMet001150;HUBMet002045;HUBMet002216;HUBMet002055;HUBMet002130;HUBMet002128;HUBMet003087;HUBMet000162;HUBMet002226;HUBMet000189;HUBMet000293;HUBMet001205;HUBMet002682;HUBMet002787;HUBMet001910;HUBMet002061;HUBMet000931;HUBMet002079;HUBMet002146;HUBMet001152;HUBMet000167;HUBMet003420;HUBMet002069;HUBMet002221;HUBMet000629;HUBMet002134;HUBMet002054;HUBMet000992;HUBMet001912;HUBMet002231;HUBMet001908;HUBMet002073;HUBMet001951;HUBMet001911;HUBMet001909;HUBMet002174;HUBMet003129;HUBMet001869;HUBMet001987;HUBMet002145;HUBMet002042;HUBMet002783;HUBMet002136;HUBMet001138;HUBMet001140;HUBMet002227;HUBMet002133;HUBMet002131;HUBMet002792;HUBMet001141;HUBMet002788;HUBMet000415;HUBMet001946;HUBMet000648;HUBMet002074;HUBMet000177;HUBMet002150;HUBMet002070;HUBMet001747;HUBMet002132;HUBMet000416;HUBMet002139;HUBMet001745;HUBMet001137;HUBMet001153;HUBMet001984;HUBMet002137;HUBMet002043;HUBMet002786;HUBMet002063;HUBMet002167;HUBMet002057;HUBMet002224	-0.18058831809544945	0.9312638580931264	-0.7671974315436026	1.0
Oxidation of Branched Chain Fatty Acids	Pathway	15	4	HUBMet000098;HUBMet001692;HUBMet000079;HUBMet001171	0.5577317273048072	0.4607218683651805	1.0321565832153514	1.0
Ketone Body Metabolism	Pathway	10	1	HUBMet001171	0.7716849451645071	0.43373493975903615	1.042291759055952	1.0
Phytanic Acid Peroxisomal Oxidation	Pathway	14	1	HUBMet001171	0.7716849451645071	0.43373493975903615	1.042291759055952	1.0
Tyrosine Metabolism	Pathway	29	6	HUBMet002662;HUBMet001709;HUBMet001333;HUBMet003925;HUBMet001691;HUBMet000315	-0.2697573898186982	0.9517819706498952	-0.5800825406335329	1.0
Carnitine Metabolism	Pathway	38	2	HUBMet001700;HUBMet001692	-0.4051896207584868	0.9247104247104247	-0.6124125661308963	1.0
Estrone Metabolism	Pathway	12	3	HUBMet001333;HUBMet000592;HUBMet001254	-0.6323676323676323	0.37924528301886795	-1.09468930217159	1.0
Pyruvate Metabolism	Pathway	36	5	HUBMet000693;HUBMet001765;HUBMet001336;HUBMet000033;HUBMet000070	-0.3176046678415495	0.898989898989899	-0.6425271448762658	1.0
Purine Metabolism-(Hypo)Xanthine/Inosine Containing	Pathway	11	4	HUBMet000736;HUBMet001001;HUBMet000022;HUBMet000032	-0.34600000000000025	0.8544423440453687	-0.6660344188275417	1.0
Lactose Synthesis	Pathway	13	2	HUBMet002575;HUBMet002598	0.6896207584830332	0.44398340248962653	1.0481406252868324	1.0
Pantothenate and CoA Metabolism	Pathway	13	1	HUBMet001336	0.7856430707876376	0.4036144578313253	1.0611445815711755	1.0
Alanine Metabolism	Pathway	13	1	HUBMet001336	0.7856430707876376	0.4036144578313253	1.0611445815711755	1.0
Cysteine Metabolism	Pathway	12	1	HUBMet001336	0.7856430707876376	0.4036144578313253	1.0611445815711755	1.0
Androstenedione Metabolism	Pathway	11	2	HUBMet000592;HUBMet001432	-0.7285429141716689	0.37065637065637064	-1.1011358947673835	1.0
Androgen and Estrogen Metabolism	Pathway	42	2	HUBMet001432;HUBMet000592	-0.7285429141716689	0.37065637065637064	-1.1011358947673835	1.0
Lipid peroxidation	Pathway	60	5	HUBMet001359;HUBMet001268;HUBMet000306;HUBMet000665;HUBMet000615	0.5490614166777141	0.3821782178217822	1.102092525864377	1.0
Lipid transport	Pathway	875	138	HUBMet000162;HUBMet001522;HUBMet000414;HUBMet001841;HUBMet000714;HUBMet000629;HUBMet001268;HUBMet001043;HUBMet001150;HUBMet002174;HUBMet000138;HUBMet001747;HUBMet001359;HUBMet001684;HUBMet002070;HUBMet001152;HUBMet000615;HUBMet000332;HUBMet001254;HUBMet002520;HUBMet000931;HUBMet002150;HUBMet000228;HUBMet001911;HUBMet000293;HUBMet002494;HUBMet001909;HUBMet001454;HUBMet001478;HUBMet003194;HUBMet000152;HUBMet003323;HUBMet000448;HUBMet000397;HUBMet001913;HUBMet000992;HUBMet000909;HUBMet001432;HUBMet001484;HUBMet002133;HUBMet000086;HUBMet002526;HUBMet003284;HUBMet003117;HUBMet002724;HUBMet000201;HUBMet000306;HUBMet000476;HUBMet002794;HUBMet002399;HUBMet000388;HUBMet001475;HUBMet002682;HUBMet002130;HUBMet001174;HUBMet002045;HUBMet002491;HUBMet001137;HUBMet002554;HUBMet002057;HUBMet002787;HUBMet001912;HUBMet000524;HUBMet000177;HUBMet002145;HUBMet001474;HUBMet002055;HUBMet003328;HUBMet002521;HUBMet002136;HUBMet002492;HUBMet000494;HUBMet002041;HUBMet000697;HUBMet001140;HUBMet002614;HUBMet001545;HUBMet001984;HUBMet002227;HUBMet001987;HUBMet002955;HUBMet000596;HUBMet002744;HUBMet002461;HUBMet003420;HUBMet000167;HUBMet002786;HUBMet001476;HUBMet001377;HUBMet002079;HUBMet001153;HUBMet002134;HUBMet001464;HUBMet002485;HUBMet001483;HUBMet003292;HUBMet000438;HUBMet003355;HUBMet002146;HUBMet002054;HUBMet002224;HUBMet001138;HUBMet001453;HUBMet000705;HUBMet001745;HUBMet002502;HUBMet002437;HUBMet001477;HUBMet002216;HUBMet002783;HUBMet000123;HUBMet000665;HUBMet001473;HUBMet002740;HUBMet001381;HUBMet002231;HUBMet002043;HUBMet001060;HUBMet002788;HUBMet001078;HUBMet001243;HUBMet000715;HUBMet002137;HUBMet002457;HUBMet002221;HUBMet001141;HUBMet001472;HUBMet003337;HUBMet000491;HUBMet002132;HUBMet001486;HUBMet003286;HUBMet002131;HUBMet000398;HUBMet001910;HUBMet002226;HUBMet001908;HUBMet001425	0.2355815315877896	0.29473684210526313	1.084695264750136	1.0
Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids	Pathway	13	3	HUBMet001841;HUBMet001692;HUBMet001336	0.6630863886349123	0.3723404255319149	1.1138378668723274	1.0
Alanine, Aspartate and Glutamate Metabolism	Pathway	35	7	HUBMet000492;HUBMet001689;HUBMet001034;HUBMet000847;HUBMet000065;HUBMet001691;HUBMet000453	0.4976259608832666	0.33013435700575816	1.13434797047235	1.0
Fatty Acid Metabolism	Pathway	895	141	HUBMet001908;HUBMet001486;HUBMet000162;HUBMet000615;HUBMet000098;HUBMet000476;HUBMet001464;HUBMet003194;HUBMet002682;HUBMet003355;HUBMet002492;HUBMet002485;HUBMet001984;HUBMet001987;HUBMet001174;HUBMet001140;HUBMet000332;HUBMet002137;HUBMet001841;HUBMet001911;HUBMet001141;HUBMet002079;HUBMet002437;HUBMet002133;HUBMet000228;HUBMet001522;HUBMet002057;HUBMet000629;HUBMet001747;HUBMet002054;HUBMet001078;HUBMet001473;HUBMet001153;HUBMet002146;HUBMet002041;HUBMet002955;HUBMet002134;HUBMet001692;HUBMet003337;HUBMet001483;HUBMet000596;HUBMet003328;HUBMet001152;HUBMet000414;HUBMet002740;HUBMet002526;HUBMet002399;HUBMet001137;HUBMet003117;HUBMet002132;HUBMet003292;HUBMet001454;HUBMet002554;HUBMet001478;HUBMet002461;HUBMet000931;HUBMet000398;HUBMet000293;HUBMet002744;HUBMet000201;HUBMet001138;HUBMet002520;HUBMet001043;HUBMet001432;HUBMet002521;HUBMet002788;HUBMet001472;HUBMet000306;HUBMet002783;HUBMet002224;HUBMet000438;HUBMet002055;HUBMet002174;HUBMet000167;HUBMet000491;HUBMet000177;HUBMet003323;HUBMet001243;HUBMet002130;HUBMet001684;HUBMet002231;HUBMet001910;HUBMet001060;HUBMet002045;HUBMet001381;HUBMet001745;HUBMet002043;HUBMet002457;HUBMet002136;HUBMet002131;HUBMet000152;HUBMet002494;HUBMet003286;HUBMet000086;HUBMet000138;HUBMet001359;HUBMet000697;HUBMet001476;HUBMet003284;HUBMet001336;HUBMet000715;HUBMet002614;HUBMet000665;HUBMet002150;HUBMet001474;HUBMet001912;HUBMet002787;HUBMet000909;HUBMet002794;HUBMet001150;HUBMet002227;HUBMet001425;HUBMet001909;HUBMet000123;HUBMet001377;HUBMet000494;HUBMet002491;HUBMet000397;HUBMet002070;HUBMet001268;HUBMet002216;HUBMet002145;HUBMet001475;HUBMet000388;HUBMet000992;HUBMet001477;HUBMet000705;HUBMet002724;HUBMet001545;HUBMet002226;HUBMet000714;HUBMet001453;HUBMet000448;HUBMet001254;HUBMet002221;HUBMet003420;HUBMet000524;HUBMet001913;HUBMet002502;HUBMet001484;HUBMet002786	0.24177477794295194	0.2443280977312391	1.1145239211607	1.0
Glutamate Metabolism	Pathway	33	4	HUBMet001336;HUBMet001691;HUBMet001629;HUBMet001171	0.6221846847379724	0.3078556263269639	1.1514353351052957	1.0
Caffeine Metabolism	Pathway	21	2	HUBMet000592;HUBMet000213	-0.7394860049422087	0.3416988416988417	-1.1176755245033192	1.0
Chemical	Pathway	138	4	HUBMet000588;HUBMet002569;HUBMet000503;HUBMet001828	-0.6345713723190777	0.2551984877126654	-1.2215213155119427	1.0
Pentose Metabolism	Pathway	12	2	HUBMet000266;HUBMet002284	0.8111288436454042	0.22199170124481327	1.2328183032610904	1.0
Warburg effect	Pathway	40	4	HUBMet000033;HUBMet001171;HUBMet001312;HUBMet001765	0.6237210900743243	0.3036093418259023	1.154278657091058	1.0
Cardiolipin Biosynthesis	Pathway	30	8	HUBMet002783;HUBMet002788;HUBMet002786;HUBMet002174;HUBMet000415;HUBMet002167;HUBMet002787;HUBMet001869	-0.4849035815522115	0.3088235294117647	-1.135609488349574	1.0
Pentose Phosphate Pathway	Pathway	19	2	HUBMet001336;HUBMet001312	0.7864271457085816	0.25103734439834025	1.1952746928017708	1.0
Glutathione Metabolism	Pathway	25	2	HUBMet000015;HUBMet001629	0.8440518595031482	0.16804979253112035	1.2828573283382527	1.0
Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids	Pathway	11	3	HUBMet002437;HUBMet001336;HUBMet001692	0.6931435842956164	0.2851063829787234	1.1643272801263158	1.0
Plasmalogen Synthesis	Pathway	11	1	HUBMet002437	0.9192422731804586	0.13654618473895583	1.241593025645461	1.0
Butyrate Metabolism	Pathway	13	3	HUBMet001336;HUBMet001171;HUBMet000705	0.7732267732267739	0.14680851063829786	1.2988492517129266	1.0
Steroid Biosynthesis	Pathway	22	2	HUBMet000592;HUBMet000491	-0.8163672654690765	0.1718146718146718	-1.23387556427359	1.0
Bacterial/Fungal	Pathway	19	1	HUBMet003668	-0.8604187437686874	0.2848605577689243	-1.1386241661892016	1.0
Vitamin B2 (Riboflavin) Metabolism	Pathway	11	3	HUBMet002282;HUBMet003751;HUBMet001336	0.7872127872127908	0.11914893617021277	1.3223426490307362	1.0
Triglyceride metabolism	Pathway	33	6	HUBMet002457;HUBMet002526;HUBMet002520;HUBMet002521;HUBMet002554;HUBMet002494	0.6152304609218437	0.15105162523900573	1.323315240267469	1.0
Tocopherol Metabolism	Pathway	11	2	HUBMet002662;HUBMet000230	0.905189620758481	0.06431535269709543	1.3757793735675194	1.0
