Term	TermClass	HMDB.ID	N_met	hit_n	hit_HMDB_ID	ES	pvalue_nominal	NES	FDR_pri	FDR
Renal and urinary disorders	Disease	HUBMet000025;HUBMet000032;HUBMet000062;HUBMet000089;HUBMet000096;HUBMet000099;HUBMet000144;HUBMet000205;HUBMet000236;HUBMet000281;HUBMet000425;HUBMet000434;HUBMet000514;HUBMet000578;HUBMet000591;HUBMet000644;HUBMet000852;HUBMet000885;HUBMet000893;HUBMet000948;HUBMet000962;HUBMet001082;HUBMet001095;HUBMet001170;HUBMet001294;HUBMet001445;HUBMet001495;HUBMet001637;HUBMet001681;HUBMet001693;HUBMet001813;HUBMet001817;HUBMet001847;HUBMet002578;HUBMet003375;HUBMet003485;HUBMet003517;HUBMet003589;HUBMet003799	39	7	HUBMet000948;HUBMet000281;HUBMet000644;HUBMet000032;HUBMet000096;HUBMet001637;HUBMet001095	0.27317505930262714	0.8982725527831094	0.6227078136228703	1.0300433231684407	1.0
Metabolic syndrome	Disease	HUBMet000018;HUBMet000255;HUBMet000290;HUBMet000516;HUBMet000524;HUBMet000525;HUBMet000569;HUBMet000583;HUBMet000707;HUBMet000708;HUBMet000754;HUBMet000855;HUBMet000909;HUBMet000916;HUBMet000961;HUBMet001060;HUBMet001061;HUBMet001134;HUBMet001313;HUBMet001427;HUBMet001444;HUBMet001452;HUBMet001453;HUBMet001454;HUBMet001469;HUBMet001470;HUBMet001471;HUBMet001472;HUBMet001473;HUBMet001474;HUBMet001475;HUBMet001476;HUBMet001477;HUBMet001478;HUBMet001479;HUBMet001480;HUBMet001482;HUBMet001483;HUBMet001484;HUBMet001486;HUBMet001487;HUBMet001488;HUBMet001713;HUBMet001726;HUBMet001843;HUBMet002127;HUBMet002443;HUBMet002444;HUBMet002445;HUBMet002446;HUBMet002447;HUBMet002448;HUBMet002449;HUBMet002451;HUBMet002452;HUBMet002453;HUBMet002454;HUBMet002455;HUBMet002456;HUBMet002457;HUBMet002458;HUBMet002459;HUBMet002460;HUBMet002461;HUBMet002462;HUBMet002463;HUBMet002464;HUBMet002465;HUBMet002466;HUBMet002467;HUBMet002468;HUBMet002469;HUBMet002470;HUBMet002471;HUBMet002472;HUBMet002473;HUBMet002474;HUBMet002475;HUBMet002476;HUBMet002477;HUBMet002478;HUBMet002479;HUBMet002480;HUBMet002481;HUBMet002482;HUBMet002483;HUBMet002484;HUBMet002485;HUBMet002486;HUBMet002487;HUBMet002488;HUBMet002489;HUBMet002490;HUBMet002491;HUBMet002492;HUBMet002493;HUBMet002494;HUBMet002495;HUBMet002496;HUBMet002497;HUBMet002498;HUBMet002499;HUBMet002500;HUBMet002511;HUBMet002512;HUBMet002513;HUBMet002514;HUBMet002515;HUBMet002516;HUBMet002517;HUBMet002518;HUBMet002519;HUBMet002520;HUBMet002521;HUBMet002522;HUBMet002523;HUBMet002524;HUBMet002525;HUBMet002526;HUBMet002527;HUBMet002528;HUBMet002529;HUBMet002530;HUBMet002531;HUBMet002533;HUBMet002534;HUBMet002535;HUBMet002536;HUBMet002537;HUBMet002538;HUBMet002539;HUBMet002540;HUBMet002541;HUBMet002542;HUBMet002543;HUBMet002544;HUBMet002545;HUBMet002546;HUBMet002547;HUBMet002548;HUBMet002549;HUBMet002550;HUBMet002551;HUBMet002552;HUBMet002553;HUBMet002554;HUBMet002736;HUBMet002738;HUBMet002740;HUBMet002741;HUBMet002743;HUBMet002744;HUBMet002745;HUBMet002748;HUBMet002802;HUBMet002804;HUBMet002805;HUBMet002806;HUBMet002807;HUBMet002808;HUBMet002809;HUBMet002810;HUBMet002811;HUBMet002812;HUBMet002813;HUBMet002814;HUBMet002815;HUBMet002958;HUBMet002983;HUBMet002984;HUBMet002985;HUBMet002986;HUBMet002987;HUBMet002988;HUBMet002989;HUBMet002990;HUBMet002991;HUBMet002992;HUBMet003153;HUBMet003197;HUBMet003226;HUBMet003266;HUBMet003267;HUBMet003273;HUBMet003280;HUBMet003281;HUBMet003282;HUBMet003283;HUBMet003284;HUBMet003285;HUBMet003286;HUBMet003287;HUBMet003288;HUBMet003291;HUBMet003293;HUBMet003295;HUBMet003309;HUBMet003360;HUBMet003368;HUBMet003391	200	38	HUBMet002744;HUBMet000524;HUBMet002461;HUBMet001478;HUBMet003286;HUBMet003284;HUBMet001483;HUBMet002521;HUBMet002538;HUBMet002740;HUBMet002544;HUBMet002554;HUBMet001060;HUBMet001477;HUBMet002514;HUBMet002548;HUBMet002494;HUBMet001473;HUBMet002526;HUBMet002539;HUBMet001453;HUBMet001475;HUBMet001484;HUBMet000909;HUBMet002513;HUBMet002470;HUBMet001474;HUBMet001486;HUBMet002485;HUBMet002547;HUBMet002543;HUBMet001454;HUBMet001472;HUBMet001476;HUBMet002457;HUBMet002491;HUBMet002520;HUBMet002492	0.1615129105021706	0.9821782178217822	0.5842185014376248	1.0339802749677938	1.0
Uremia	Disease	HUBMet000004;HUBMet000009;HUBMet000012;HUBMet000013;HUBMet000016;HUBMet000020;HUBMet000023;HUBMet000024;HUBMet000025;HUBMet000032;HUBMet000034;HUBMet000038;HUBMet000052;HUBMet000062;HUBMet000089;HUBMet000096;HUBMet000099;HUBMet000114;HUBMet000115;HUBMet000144;HUBMet000145;HUBMet000205;HUBMet000236;HUBMet000248;HUBMet000260;HUBMet000281;HUBMet000407;HUBMet000425;HUBMet000434;HUBMet000455;HUBMet000497;HUBMet000526;HUBMet000553;HUBMet000578;HUBMet000591;HUBMet000644;HUBMet000751;HUBMet000772;HUBMet000848;HUBMet000852;HUBMet000873;HUBMet000885;HUBMet000893;HUBMet000945;HUBMet000962;HUBMet000965;HUBMet001095;HUBMet001104;HUBMet001132;HUBMet001170;HUBMet001201;HUBMet001202;HUBMet001294;HUBMet001662;HUBMet001681;HUBMet001693;HUBMet001813;HUBMet001817;HUBMet001847;HUBMet001850;HUBMet002176;HUBMet002279;HUBMet002435;HUBMet002862;HUBMet003485;HUBMet003517;HUBMet003589;HUBMet003632;HUBMet003751;HUBMet003799	70	14	HUBMet000096;HUBMet000281;HUBMet000407;HUBMet002279;HUBMet001850;HUBMet001095;HUBMet000644;HUBMet000016;HUBMet000020;HUBMet003751;HUBMet000497;HUBMet001132;HUBMet000032;HUBMet001662	0.1777404157994033	0.9923954372623575	0.5008295484440501	1.0491408136399794	1.0
Diarrhea	Disease	HUBMet000050;HUBMet000265;HUBMet000328;HUBMet000514;HUBMet000741;HUBMet000872;HUBMet001110;HUBMet001171;HUBMet001178;HUBMet001503;HUBMet001613;HUBMet001708;HUBMet001847;HUBMet002176;HUBMet002276;HUBMet002506;HUBMet002582;HUBMet003542;HUBMet003619;HUBMet003676;HUBMet003715;HUBMet003782;HUBMet003819;HUBMet003823;HUBMet003840;HUBMet003865	26	3	HUBMet001708;HUBMet003840;HUBMet001171	0.4400227114987873	0.7978723404255319	0.7391404298920662	1.0500077911537016	1.0
Musculoskeletal and connective tissue disorders	Disease	HUBMet000705;HUBMet000872;HUBMet000965;HUBMet001161;HUBMet001662;HUBMet001847;HUBMet001850;HUBMet002276;HUBMet002582;HUBMet002662;HUBMet002833;HUBMet003651;HUBMet003770;HUBMet003790;HUBMet003840;HUBMet003843	16	7	HUBMet001161;HUBMet001850;HUBMet003840;HUBMet000705;HUBMet002662;HUBMet003790;HUBMet001662	0.31578875433851866	0.8195777351247601	0.7198465529131032	1.0512933089836374	1.0
Hypoglycemia	Disease	HUBMet000427;HUBMet000705;HUBMet000872;HUBMet001161;HUBMet001460;HUBMet001710;HUBMet001841;HUBMet001850;HUBMet002833;HUBMet003651;HUBMet003766;HUBMet003770;HUBMet003790;HUBMet003840;HUBMet003843	15	8	HUBMet001841;HUBMet001850;HUBMet001710;HUBMet003840;HUBMet000427;HUBMet000705;HUBMet003790;HUBMet001161	0.25855676800430394	0.9064885496183206	0.6232585271641591	1.0541337187025768	1.0
Paralysis	Disease	HUBMet000705;HUBMet000872;HUBMet000948;HUBMet001161;HUBMet001850;HUBMet002833;HUBMet003611;HUBMet003651;HUBMet003770;HUBMet003790;HUBMet003840;HUBMet003843	12	6	HUBMet003790;HUBMet000948;HUBMet003840;HUBMet000705;HUBMet001161;HUBMet001850	0.35106525841927283	0.7533460803059273	0.7551154182102147	1.055268104158307	1.0
Lipotoxicity	Disease	HUBMet000255;HUBMet000516;HUBMet000524;HUBMet000525;HUBMet000583;HUBMet000707;HUBMet000708;HUBMet000754;HUBMet000855;HUBMet000909;HUBMet000916;HUBMet000961;HUBMet001060;HUBMet001061;HUBMet001134;HUBMet001452;HUBMet001453;HUBMet001454;HUBMet001469;HUBMet001470;HUBMet001471;HUBMet001472;HUBMet001473;HUBMet001474;HUBMet001475;HUBMet001476;HUBMet001477;HUBMet001478;HUBMet001479;HUBMet001480;HUBMet001482;HUBMet001483;HUBMet001484;HUBMet001486;HUBMet001487;HUBMet001488;HUBMet001726;HUBMet002736;HUBMet002738;HUBMet002740;HUBMet002741;HUBMet002743;HUBMet002744;HUBMet002745;HUBMet002748;HUBMet003153;HUBMet003197;HUBMet003226;HUBMet003266;HUBMet003267;HUBMet003280;HUBMet003281;HUBMet003282;HUBMet003283;HUBMet003284;HUBMet003285;HUBMet003286;HUBMet003287;HUBMet003288;HUBMet003291;HUBMet003293;HUBMet003295;HUBMet003309	63	19	HUBMet001483;HUBMet001476;HUBMet001472;HUBMet001475;HUBMet001477;HUBMet001473;HUBMet001060;HUBMet001484;HUBMet002744;HUBMet000909;HUBMet001486;HUBMet002740;HUBMet001474;HUBMet003286;HUBMet001454;HUBMet000524;HUBMet001478;HUBMet001453;HUBMet003284	0.2517419931627171	0.796844181459566	0.7658312182348619	1.0690545078245444	1.0
Prostate cancer	Disease	HUBMet000149;HUBMet000151;HUBMet000341;HUBMet000347;HUBMet000437;HUBMet001055;HUBMet001073;HUBMet001197;HUBMet001292;HUBMet001340;HUBMet001346;HUBMet001461;HUBMet001642;HUBMet001666;HUBMet002716;HUBMet002873;HUBMet002913;HUBMet002918;HUBMet002939;HUBMet002943;HUBMet003504	21	3	HUBMet001340;HUBMet001666;HUBMet000149	0.39243121875734144	0.8659574468085106	0.6591972917656279	1.0726024793562965	1.0
Cardiac disorders	Disease	HUBMet000003;HUBMet000018;HUBMet000040;HUBMet000062;HUBMet000089;HUBMet000096;HUBMet000099;HUBMet000144;HUBMet000151;HUBMet000205;HUBMet000236;HUBMet000281;HUBMet000425;HUBMet000434;HUBMet000514;HUBMet000578;HUBMet000591;HUBMet000644;HUBMet000852;HUBMet000868;HUBMet000885;HUBMet000893;HUBMet000962;HUBMet000965;HUBMet001055;HUBMet001095;HUBMet001099;HUBMet001160;HUBMet001170;HUBMet001171;HUBMet001179;HUBMet001294;HUBMet001338;HUBMet001349;HUBMet001445;HUBMet001461;HUBMet001495;HUBMet001662;HUBMet001681;HUBMet001689;HUBMet001693;HUBMet001695;HUBMet001698;HUBMet001699;HUBMet001701;HUBMet001702;HUBMet001706;HUBMet001707;HUBMet001709;HUBMet001721;HUBMet001773;HUBMet001813;HUBMet001817;HUBMet002176;HUBMet002177;HUBMet002243;HUBMet002582;HUBMet003055;HUBMet003485;HUBMet003517;HUBMet003542;HUBMet003589;HUBMet003676;HUBMet003797;HUBMet003799;HUBMet003841	66	15	HUBMet001662;HUBMet001095;HUBMet001773;HUBMet001698;HUBMet000644;HUBMet000281;HUBMet001702;HUBMet001701;HUBMet001707;HUBMet001699;HUBMet001709;HUBMet001179;HUBMet001171;HUBMet000096;HUBMet001689	0.22143579373104133	0.9149338374291115	0.6311430948133415	1.0738609584571064	1.0
Lung cancer	Disease	HUBMet000001;HUBMet000003;HUBMet000014;HUBMet000015;HUBMet000016;HUBMet000032;HUBMet000040;HUBMet000157;HUBMet000175;HUBMet000277;HUBMet000279;HUBMet000281;HUBMet000328;HUBMet000372;HUBMet000408;HUBMet000792;HUBMet000844;HUBMet000858;HUBMet000885;HUBMet001104;HUBMet001171;HUBMet001225;HUBMet001240;HUBMet001268;HUBMet001321;HUBMet001435;HUBMet001637;HUBMet001692;HUBMet001710;HUBMet003351;HUBMet003772;HUBMet003781	32	10	HUBMet001171;HUBMet001692;HUBMet000016;HUBMet001710;HUBMet000281;HUBMet000032;HUBMet001637;HUBMet000015;HUBMet001268;HUBMet000277	0.30696327021821623	0.768642447418738	0.7794719691495794	1.07572111651782	1.0
Vascular disorders	Disease	HUBMet000407;HUBMet000514;HUBMet000705;HUBMet000837;HUBMet000868;HUBMet000872;HUBMet000947;HUBMet000948;HUBMet000965;HUBMet001064;HUBMet001161;HUBMet001350;HUBMet001444;HUBMet001501;HUBMet001503;HUBMet001548;HUBMet001637;HUBMet001692;HUBMet001724;HUBMet001773;HUBMet001850;HUBMet002175;HUBMet002176;HUBMet002506;HUBMet002510;HUBMet002578;HUBMet002833;HUBMet003348;HUBMet003360;HUBMet003511;HUBMet003542;HUBMet003635;HUBMet003636;HUBMet003646;HUBMet003651;HUBMet003657;HUBMet003665;HUBMet003676;HUBMet003728;HUBMet003770;HUBMet003790;HUBMet003818;HUBMet003840;HUBMet003843	44	12	HUBMet001161;HUBMet001850;HUBMet003840;HUBMet000407;HUBMet003657;HUBMet000705;HUBMet003790;HUBMet001692;HUBMet001773;HUBMet001064;HUBMet000948;HUBMet001637	0.2487147657386577	0.9017013232514177	0.6624242536630742	1.0977917776084658	1.0
Nausea	Disease	HUBMet000032;HUBMet000050;HUBMet000062;HUBMet000089;HUBMet000096;HUBMet000099;HUBMet000144;HUBMet000205;HUBMet000236;HUBMet000281;HUBMet000328;HUBMet000425;HUBMet000427;HUBMet000434;HUBMet000514;HUBMet000578;HUBMet000591;HUBMet000644;HUBMet000699;HUBMet000705;HUBMet000741;HUBMet000755;HUBMet000852;HUBMet000868;HUBMet000872;HUBMet000885;HUBMet000893;HUBMet000921;HUBMet000962;HUBMet000965;HUBMet001049;HUBMet001095;HUBMet001110;HUBMet001160;HUBMet001161;HUBMet001170;HUBMet001294;HUBMet001445;HUBMet001495;HUBMet001503;HUBMet001515;HUBMet001517;HUBMet001604;HUBMet001613;HUBMet001662;HUBMet001680;HUBMet001681;HUBMet001693;HUBMet001778;HUBMet001813;HUBMet001817;HUBMet001847;HUBMet001850;HUBMet002286;HUBMet002288;HUBMet002506;HUBMet002510;HUBMet002827;HUBMet002833;HUBMet003338;HUBMet003351;HUBMet003360;HUBMet003485;HUBMet003517;HUBMet003542;HUBMet003589;HUBMet003590;HUBMet003649;HUBMet003651;HUBMet003676;HUBMet003715;HUBMet003770;HUBMet003774;HUBMet003779;HUBMet003781;HUBMet003782;HUBMet003790;HUBMet003799;HUBMet003823;HUBMet003840;HUBMet003843	81	14	HUBMet000096;HUBMet001662;HUBMet000644;HUBMet001095;HUBMet000705;HUBMet000699;HUBMet000281;HUBMet001850;HUBMet000032;HUBMet003790;HUBMet001604;HUBMet003840;HUBMet000427;HUBMet001161	0.27860220965584226	0.7509505703422054	0.7850337146444242	1.0990724972689452	1.0
Tooth Decay	Disease	HUBMet000008;HUBMet000022;HUBMet000026;HUBMet000079;HUBMet000089;HUBMet000096;HUBMet000098;HUBMet000099;HUBMet000138;HUBMet000201;HUBMet000387;HUBMet001190;HUBMet001296;HUBMet001666;HUBMet001692;HUBMet001704;HUBMet002664;HUBMet002669	18	12	HUBMet000096;HUBMet000008;HUBMet000201;HUBMet000138;HUBMet000022;HUBMet000098;HUBMet000387;HUBMet001666;HUBMet001296;HUBMet001692;HUBMet001704;HUBMet000079	0.5581738090748176	0.06427221172022685	1.4866341682310158	1.1029122932989799	1.0
Nervous system disorders	Disease	HUBMet000002;HUBMet000018;HUBMet000025;HUBMet000032;HUBMet000050;HUBMet000062;HUBMet000068;HUBMet000089;HUBMet000096;HUBMet000099;HUBMet000144;HUBMet000205;HUBMet000236;HUBMet000265;HUBMet000281;HUBMet000328;HUBMet000425;HUBMet000434;HUBMet000514;HUBMet000578;HUBMet000591;HUBMet000644;HUBMet000699;HUBMet000705;HUBMet000741;HUBMet000755;HUBMet000852;HUBMet000854;HUBMet000872;HUBMet000885;HUBMet000893;HUBMet000921;HUBMet000962;HUBMet000965;HUBMet001025;HUBMet001055;HUBMet001095;HUBMet001160;HUBMet001161;HUBMet001162;HUBMet001170;HUBMet001179;HUBMet001264;HUBMet001290;HUBMet001294;HUBMet001298;HUBMet001440;HUBMet001445;HUBMet001460;HUBMet001461;HUBMet001495;HUBMet001501;HUBMet001503;HUBMet001604;HUBMet001645;HUBMet001662;HUBMet001680;HUBMet001681;HUBMet001692;HUBMet001693;HUBMet001702;HUBMet001712;HUBMet001772;HUBMet001813;HUBMet001817;HUBMet001841;HUBMet001850;HUBMet002176;HUBMet002243;HUBMet002279;HUBMet002506;HUBMet002633;HUBMet002833;HUBMet002885;HUBMet003055;HUBMet003351;HUBMet003360;HUBMet003485;HUBMet003488;HUBMet003497;HUBMet003517;HUBMet003589;HUBMet003611;HUBMet003649;HUBMet003651;HUBMet003662;HUBMet003715;HUBMet003728;HUBMet003770;HUBMet003774;HUBMet003790;HUBMet003799;HUBMet003840;HUBMet003841;HUBMet003843;HUBMet003851;HUBMet003890	97	19	HUBMet000096;HUBMet001662;HUBMet002279;HUBMet001095;HUBMet000705;HUBMet000699;HUBMet001841;HUBMet001604;HUBMet003790;HUBMet001702;HUBMet000644;HUBMet000281;HUBMet001850;HUBMet001692;HUBMet001161;HUBMet001179;HUBMet000032;HUBMet003851;HUBMet003840	0.2621012573908885	0.7613412228796844	0.7973454199149504	1.1108952292454226	1.0
