Term	TermClass	HMDB.ID	N_met	hit_n	hit_HMDB_ID	ES	pvalue_nominal	NES	FDR_pri	FDR
Lysophosphatidic Acid (LPA)	Class	HUBMet000409;HUBMet000413;HUBMet000415;HUBMet000984;HUBMet000986;HUBMet000995;HUBMet001753;HUBMet002763;HUBMet003169;HUBMet003170	10	1	HUBMet000415	-0.7397806580259169	0.5278884462151394	-0.978979294684111	0.9349082978380832	0.9349082978380832
Phosphatidylethanolamine (PE)	Class	HUBMet000161;HUBMet000163;HUBMet000165;HUBMet000167;HUBMet000186;HUBMet000190;HUBMet000284;HUBMet000286;HUBMet000287;HUBMet000288;HUBMet000289;HUBMet000299;HUBMet000300;HUBMet000331;HUBMet000363;HUBMet000417;HUBMet000468;HUBMet000624;HUBMet000627;HUBMet000659;HUBMet000787;HUBMet000920;HUBMet000979;HUBMet000988;HUBMet001005;HUBMet001140;HUBMet001141;HUBMet001142;HUBMet001192;HUBMet001213;HUBMet001224;HUBMet002083;HUBMet002084;HUBMet002085;HUBMet002086;HUBMet002087;HUBMet002088;HUBMet002089;HUBMet002090;HUBMet002091;HUBMet002092;HUBMet002093;HUBMet002094;HUBMet002095;HUBMet002096;HUBMet002097;HUBMet002098;HUBMet002099;HUBMet002100;HUBMet002101;HUBMet002102;HUBMet002103;HUBMet002104;HUBMet002105;HUBMet002106;HUBMet002107;HUBMet002108;HUBMet002109;HUBMet002110;HUBMet002111;HUBMet002112;HUBMet002113;HUBMet002114;HUBMet002115;HUBMet002116;HUBMet002117;HUBMet002118;HUBMet002119;HUBMet002120;HUBMet002121;HUBMet002122;HUBMet002123;HUBMet002124;HUBMet002125;HUBMet002126;HUBMet002127;HUBMet002128;HUBMet002129;HUBMet002130;HUBMet002131;HUBMet002132;HUBMet002133;HUBMet002134;HUBMet002135;HUBMet002136;HUBMet002137;HUBMet002138;HUBMet002139;HUBMet002140;HUBMet002141;HUBMet002142;HUBMet002143;HUBMet002144;HUBMet002145;HUBMet002146;HUBMet002147;HUBMet002148;HUBMet002149;HUBMet002150;HUBMet002682;HUBMet002683;HUBMet002684;HUBMet002685;HUBMet002686;HUBMet002687;HUBMet002688;HUBMet002689;HUBMet002690;HUBMet002691;HUBMet002692;HUBMet002693;HUBMet002694;HUBMet002695;HUBMet002696;HUBMet002697;HUBMet002698;HUBMet003076;HUBMet003077;HUBMet003078;HUBMet003079;HUBMet003080;HUBMet003081;HUBMet003082;HUBMet003083;HUBMet003084;HUBMet003085;HUBMet003086;HUBMet003087;HUBMet003088;HUBMet003089;HUBMet003090;HUBMet003091;HUBMet003092;HUBMet003093;HUBMet003094;HUBMet003095;HUBMet003096;HUBMet003467;HUBMet003468;HUBMet003469	140	18	HUBMet002139;HUBMet003087;HUBMet002128;HUBMet002146;HUBMet002132;HUBMet002136;HUBMet002133;HUBMet002150;HUBMet001140;HUBMet002131;HUBMet002145;HUBMet001141;HUBMet002134;HUBMet000167;HUBMet000299;HUBMet002130;HUBMet002137;HUBMet002682	-0.2936441592843548	0.6193415637860082	-0.8909284867699275	0.9446593453970611	0.9446593453970611
Glycerophosphoethanolamine (GPE)	Class	HUBMet001368;HUBMet001369;HUBMet003261;HUBMet003385;HUBMet003409;HUBMet003410;HUBMet003427;HUBMet003428;HUBMet003429;HUBMet003430	10	1	HUBMet003409	0.526420737786643	0.9337349397590361	0.7110207348598775	0.9455963121774972	0.9455963121774972
Diacylglycerol (DAG)	Class	HUBMet000397;HUBMet000516;HUBMet000530;HUBMet000598;HUBMet000754;HUBMet000757;HUBMet000916;HUBMet000919;HUBMet000961;HUBMet000981;HUBMet000983;HUBMet000990;HUBMet000991;HUBMet001060;HUBMet001061;HUBMet001102;HUBMet001134;HUBMet001208;HUBMet001449;HUBMet001450;HUBMet001451;HUBMet001452;HUBMet001453;HUBMet001454;HUBMet001455;HUBMet001456;HUBMet001457;HUBMet001469;HUBMet001470;HUBMet001471;HUBMet001472;HUBMet001473;HUBMet001474;HUBMet001475;HUBMet001476;HUBMet001477;HUBMet001478;HUBMet001479;HUBMet001480;HUBMet001481;HUBMet001482;HUBMet001483;HUBMet001484;HUBMet001485;HUBMet001486;HUBMet001487;HUBMet001488;HUBMet001726;HUBMet001789;HUBMet001874;HUBMet001876;HUBMet002747;HUBMet002748;HUBMet003266;HUBMet003267;HUBMet003268;HUBMet003269;HUBMet003270;HUBMet003271;HUBMet003280;HUBMet003281;HUBMet003282;HUBMet003283;HUBMet003284;HUBMet003285;HUBMet003286;HUBMet003287;HUBMet003288;HUBMet003289;HUBMet003290;HUBMet003291;HUBMet003292;HUBMet003293;HUBMet003294;HUBMet003295;HUBMet003296;HUBMet003297;HUBMet003298	78	17	HUBMet001472;HUBMet000397;HUBMet001473;HUBMet001477;HUBMet001484;HUBMet003292;HUBMet001483;HUBMet001454;HUBMet001474;HUBMet003286;HUBMet001486;HUBMet001476;HUBMet001453;HUBMet003284;HUBMet001060;HUBMet001475;HUBMet001478	0.2527710698224508	0.7941747572815534	0.7462086180658601	0.9735344400953795	0.9735344400953795
Lysophosphatidylcholine (LPC)	Class	HUBMet000168;HUBMet000171;HUBMet000180;HUBMet000195;HUBMet000285;HUBMet000292;HUBMet000293;HUBMet000294;HUBMet000297;HUBMet000629;HUBMet000630;HUBMet000631;HUBMet000633;HUBMet000635;HUBMet000637;HUBMet000638;HUBMet000639;HUBMet000641;HUBMet000642;HUBMet000646;HUBMet000647;HUBMet000649;HUBMet000651;HUBMet000658;HUBMet000663;HUBMet000667;HUBMet000670;HUBMet000783;HUBMet000898;HUBMet000899;HUBMet000900;HUBMet000901;HUBMet000970;HUBMet001008;HUBMet001103;HUBMet001194;HUBMet001195;HUBMet001200;HUBMet001246;HUBMet001731;HUBMet001732;HUBMet001733;HUBMet001734;HUBMet001735;HUBMet001736;HUBMet001737;HUBMet001738;HUBMet001754;HUBMet001755;HUBMet001756;HUBMet001757;HUBMet001758;HUBMet001760;HUBMet001845;HUBMet002665;HUBMet002666;HUBMet002667;HUBMet002759;HUBMet002760;HUBMet003168;HUBMet003180;HUBMet003181;HUBMet003182;HUBMet003183;HUBMet003184;HUBMet003185;HUBMet003186;HUBMet003187;HUBMet003188;HUBMet003189;HUBMet003190;HUBMet003191;HUBMet003192;HUBMet003196;HUBMet003461	75	2	HUBMet000629;HUBMet000293	-0.6074064753382149	0.6505791505791506	-0.9180475984307599	0.9829534975629034	0.9829534975629034
Gamma-Glutamyl Amino Acid	Class	HUBMet000027;HUBMet000028;HUBMet000029;HUBMet000030;HUBMet000031;HUBMet000055;HUBMet000056;HUBMet000057;HUBMet000085;HUBMet000132;HUBMet000231;HUBMet000232;HUBMet000233;HUBMet000330;HUBMet000384;HUBMet000441;HUBMet000724;HUBMet003570	18	2	HUBMet000028;HUBMet000057	-0.7492081983853826	0.32625482625482627	-1.1323698629807204	1.003293373732051	1.0
Phosphatidylserine (PS)	Class	HUBMet000475;HUBMet000994;HUBMet001212;HUBMet001221;HUBMet002245;HUBMet002246;HUBMet002247;HUBMet002248;HUBMet002249;HUBMet002250;HUBMet002251;HUBMet002252;HUBMet002253;HUBMet002254;HUBMet002255;HUBMet002256;HUBMet002257;HUBMet002258;HUBMet002259;HUBMet002260;HUBMet002261;HUBMet002262;HUBMet002263;HUBMet002264;HUBMet002265;HUBMet002266;HUBMet002267;HUBMet002268;HUBMet002269;HUBMet002270;HUBMet002271;HUBMet002272;HUBMet002273;HUBMet002274;HUBMet002700;HUBMet002701;HUBMet002702;HUBMet002703;HUBMet002792;HUBMet002793;HUBMet003038;HUBMet003039;HUBMet003040;HUBMet003041;HUBMet003042;HUBMet003043;HUBMet003044;HUBMet003045;HUBMet003046;HUBMet003047;HUBMet003048;HUBMet003049;HUBMet003050;HUBMet003051;HUBMet003052;HUBMet003053;HUBMet003054;HUBMet003411;HUBMet003412	59	1	HUBMet002792	-0.7497507477567243	0.5059760956175299	-0.9921730857175897	1.0156764589645633	1.0
Phosphatidylcholine (PC)	Class	HUBMet000160;HUBMet000162;HUBMet000164;HUBMet000166;HUBMet000170;HUBMet000183;HUBMet000185;HUBMet000187;HUBMet000189;HUBMet000192;HUBMet000194;HUBMet000197;HUBMet000296;HUBMet000301;HUBMet000359;HUBMet000360;HUBMet000361;HUBMet000362;HUBMet000412;HUBMet000416;HUBMet000470;HUBMet000471;HUBMet000472;HUBMet000556;HUBMet000557;HUBMet000558;HUBMet000623;HUBMet000625;HUBMet000626;HUBMet000628;HUBMet000645;HUBMet000648;HUBMet000650;HUBMet000653;HUBMet000654;HUBMet000655;HUBMet000656;HUBMet000660;HUBMet000763;HUBMet000764;HUBMet000784;HUBMet000785;HUBMet000788;HUBMet000789;HUBMet000790;HUBMet000791;HUBMet000924;HUBMet000925;HUBMet000926;HUBMet000927;HUBMet000928;HUBMet000929;HUBMet000930;HUBMet000931;HUBMet000932;HUBMet000933;HUBMet000934;HUBMet000935;HUBMet000936;HUBMet000937;HUBMet000938;HUBMet000939;HUBMet000940;HUBMet000941;HUBMet000976;HUBMet000980;HUBMet000987;HUBMet000992;HUBMet001136;HUBMet001137;HUBMet001138;HUBMet001139;HUBMet001147;HUBMet001148;HUBMet001149;HUBMet001199;HUBMet001204;HUBMet001205;HUBMet001206;HUBMet001207;HUBMet001211;HUBMet001214;HUBMet001217;HUBMet001218;HUBMet001219;HUBMet001220;HUBMet001878;HUBMet001879;HUBMet001880;HUBMet001881;HUBMet001882;HUBMet001883;HUBMet001884;HUBMet001885;HUBMet001886;HUBMet001887;HUBMet001888;HUBMet001889;HUBMet001890;HUBMet001891;HUBMet001892;HUBMet001893;HUBMet001894;HUBMet001895;HUBMet001896;HUBMet001897;HUBMet001898;HUBMet001899;HUBMet001900;HUBMet001901;HUBMet001902;HUBMet001903;HUBMet001904;HUBMet001905;HUBMet001906;HUBMet001907;HUBMet001908;HUBMet001909;HUBMet001910;HUBMet001911;HUBMet001912;HUBMet001913;HUBMet001914;HUBMet001915;HUBMet001916;HUBMet001917;HUBMet001918;HUBMet001919;HUBMet001920;HUBMet001921;HUBMet001922;HUBMet001923;HUBMet001924;HUBMet001925;HUBMet001926;HUBMet001927;HUBMet001928;HUBMet001929;HUBMet001930;HUBMet001931;HUBMet001932;HUBMet001933;HUBMet001934;HUBMet001935;HUBMet001936;HUBMet001937;HUBMet001938;HUBMet001939;HUBMet001940;HUBMet001941;HUBMet001942;HUBMet001943;HUBMet001944;HUBMet001945;HUBMet001946;HUBMet001947;HUBMet001948;HUBMet001949;HUBMet001950;HUBMet001951;HUBMet001952;HUBMet001953;HUBMet001954;HUBMet001955;HUBMet001956;HUBMet001957;HUBMet001958;HUBMet001959;HUBMet001960;HUBMet001961;HUBMet001962;HUBMet001963;HUBMet001964;HUBMet001965;HUBMet001966;HUBMet001967;HUBMet001968;HUBMet001969;HUBMet001970;HUBMet001971;HUBMet001972;HUBMet001973;HUBMet001974;HUBMet001975;HUBMet001976;HUBMet001977;HUBMet001978;HUBMet001979;HUBMet001980;HUBMet001981;HUBMet001982;HUBMet001983;HUBMet001984;HUBMet001985;HUBMet001986;HUBMet001987;HUBMet001988;HUBMet001989;HUBMet001990;HUBMet001991;HUBMet001992;HUBMet001993;HUBMet001994;HUBMet001995;HUBMet001996;HUBMet001997;HUBMet001998;HUBMet001999;HUBMet002000;HUBMet002001;HUBMet002002;HUBMet002003;HUBMet002004;HUBMet002005;HUBMet002006;HUBMet002007;HUBMet002008;HUBMet002009;HUBMet002010;HUBMet002011;HUBMet002012;HUBMet002013;HUBMet002014;HUBMet002015;HUBMet002016;HUBMet002017;HUBMet002018;HUBMet002019;HUBMet002020;HUBMet002021;HUBMet002022;HUBMet002023;HUBMet002024;HUBMet002025;HUBMet002026;HUBMet002027;HUBMet002028;HUBMet002029;HUBMet002030;HUBMet002031;HUBMet002032;HUBMet002033;HUBMet002034;HUBMet002035;HUBMet002036;HUBMet002037;HUBMet002038;HUBMet002039;HUBMet002040;HUBMet002041;HUBMet002042;HUBMet002043;HUBMet002044;HUBMet002045;HUBMet002046;HUBMet002047;HUBMet002048;HUBMet002049;HUBMet002050;HUBMet002051;HUBMet002052;HUBMet002053;HUBMet002054;HUBMet002055;HUBMet002056;HUBMet002057;HUBMet002058;HUBMet002059;HUBMet002060;HUBMet002061;HUBMet002062;HUBMet002063;HUBMet002064;HUBMet002065;HUBMet002066;HUBMet002067;HUBMet002068;HUBMet002069;HUBMet002070;HUBMet002071;HUBMet002072;HUBMet002073;HUBMet002074;HUBMet002075;HUBMet002076;HUBMet002077;HUBMet002078;HUBMet002079;HUBMet002080;HUBMet002081;HUBMet002082;HUBMet002183;HUBMet002184;HUBMet002677;HUBMet002769;HUBMet002770;HUBMet002771;HUBMet002772;HUBMet002773;HUBMet002774;HUBMet002775;HUBMet002776;HUBMet002777;HUBMet002778;HUBMet002779;HUBMet002780;HUBMet002781;HUBMet002782;HUBMet003059;HUBMet003097;HUBMet003098;HUBMet003099;HUBMet003100;HUBMet003101;HUBMet003102;HUBMet003103;HUBMet003104;HUBMet003105;HUBMet003106;HUBMet003107;HUBMet003108;HUBMet003109;HUBMet003110;HUBMet003111;HUBMet003112;HUBMet003113;HUBMet003114;HUBMet003115;HUBMet003116;HUBMet003117;HUBMet003118;HUBMet003119;HUBMet003120;HUBMet003121;HUBMet003122;HUBMet003123;HUBMet003124;HUBMet003125;HUBMet003126;HUBMet003127;HUBMet003128;HUBMet003129;HUBMet003130;HUBMet003131;HUBMet003132;HUBMet003133;HUBMet003254;HUBMet003345;HUBMet003464;HUBMet003465;HUBMet003466	351	35	HUBMet001987;HUBMet000416;HUBMet001912;HUBMet000648;HUBMet002074;HUBMet001908;HUBMet002055;HUBMet001913;HUBMet001205;HUBMet000931;HUBMet002057;HUBMet002073;HUBMet002042;HUBMet002054;HUBMet002045;HUBMet001946;HUBMet000189;HUBMet001137;HUBMet002070;HUBMet002079;HUBMet001138;HUBMet000992;HUBMet001911;HUBMet000162;HUBMet003129;HUBMet002043;HUBMet002063;HUBMet001984;HUBMet001909;HUBMet002041;HUBMet002069;HUBMet003117;HUBMet002061;HUBMet001910;HUBMet001951	0.2167998528401491	0.8372549019607843	0.774759387539322	1.0218407587823164	1.0
Disaccharides and Oligosaccharides	Class	HUBMet000277;HUBMet001096;HUBMet001284;HUBMet002566;HUBMet002717;HUBMet002906;HUBMet002908;HUBMet002927;HUBMet002930;HUBMet002931	10	1	HUBMet000277	0.6111665004985067	0.7690763052208835	0.8254843001308789	1.0275610743690107	1.0
Glycerophosphocholine (GPC)	Class	HUBMet001367;HUBMet001875;HUBMet002182;HUBMet002678;HUBMet002679;HUBMet002680;HUBMet002681;HUBMet003057;HUBMet003222;HUBMet003264;HUBMet003382;HUBMet003406;HUBMet003407;HUBMet003408;HUBMet003413;HUBMet003415;HUBMet003419;HUBMet003420;HUBMet003421;HUBMet003423;HUBMet003424;HUBMet003425;HUBMet003431;HUBMet003443;HUBMet003444;HUBMet003445;HUBMet003446;HUBMet003449;HUBMet003450;HUBMet003451;HUBMet003453	31	1	HUBMet003420	-0.8863409770687869	0.23904382470119523	-1.172928022876246	1.0364905809511262	1.0
Fatty Acid-Branched	Class	HUBMet000418;HUBMet000419;HUBMet000618;HUBMet000778;HUBMet000857;HUBMet000969;HUBMet001000;HUBMet001684;HUBMet003205;HUBMet003303;HUBMet003387	11	1	HUBMet001684	0.6709870388833516	0.6285140562248996	0.9062821109104093	1.0809657173707654	1.0
