HMDB-Disease	TermSize	N_Hit	Hit	ES	pvalue_nominal	NES	FDR
Cirrhosis	47	6	HMDB0004160;HMDB0000896;HMDB0000191;HMDB0001842;HMDB0000294;HMDB0000064	0.5444032110427451	0.23562152133580705	1.208137760236611	0.6543391539335209
Anorexia nervosa	14	1	HMDB0001248	0.9117929050814957	0.18902439024390244	1.2186655137027331	0.6589891688222719
Lipoyltransferase 1 Deficiency	15	6	HMDB0000162;HMDB0000208;HMDB0000134;HMDB0000254;HMDB0000123;HMDB0000148	0.49710982658959263	0.3395176252319109	1.1031844417986079	0.7039438715849899
Lewy body disease	56	10	HMDB0000214;HMDB0000191;HMDB0000904;HMDB0000045;HMDB0000158;HMDB0000517;HMDB0000162;HMDB0000123;HMDB0000064;HMDB0000167	0.44127159976911795	0.3171171171171171	1.1405727382218334	0.7177217705593891
Frontotemporal dementia	56	10	HMDB0000064;HMDB0000158;HMDB0000517;HMDB0000191;HMDB0000904;HMDB0000167;HMDB0000045;HMDB0000123;HMDB0000214;HMDB0000162	0.44127159976911795	0.3171171171171171	1.1405727382218334	0.7177217705593891
Metastatic melanoma	37	5	HMDB0000045;HMDB0000299;HMDB0004989;HMDB0000896;HMDB0007099	0.4645664001320051	0.5123339658444023	0.9595430393809915	0.7217692066364695
2-Ketoglutarate dehydrogenase complex deficiency	10	3	HMDB0000134;HMDB0000254;HMDB0000208	0.5492832651980951	0.5789473684210527	0.9493385067843844	0.7234329045746075
Missing teeth	39	11	HMDB0000725;HMDB0000064;HMDB0000158;HMDB0000517;HMDB0000273;HMDB0000191;HMDB0000904;HMDB0000254;HMDB0000167;HMDB0000045;HMDB0000162	0.4333337250844545	0.2777777777777778	1.1639037090019275	0.723711319331602
Major depressive disorder	14	1	HMDB0000763	0.8274209012464052	0.3434959349593496	1.1058973063359196	0.7251269512883205
Gout	15	6	HMDB0003345;HMDB0000191;HMDB0000123;HMDB0000254;HMDB0000122;HMDB0000904	0.4741289959832088	0.4025974025974026	1.0521854604296432	0.7332905831964529
Ovarian cancer	12	2	HMDB0002802;HMDB0004949	0.7188099808061387	0.34462151394422313	1.112885298383425	0.7342064420112682
Multiple sclerosis	43	7	HMDB0001333;HMDB0002503;HMDB0003642;HMDB0001989;HMDB0001035;HMDB0000574;HMDB0000599	0.41068649829340753	0.4784172661870504	0.9623070958725878	0.7349606675879663
Perillyl alcohol administration for cancer treatment	99	19	HMDB0000191;HMDB0001369;HMDB0005805;HMDB0000020;HMDB0000214;HMDB0000148;HMDB0000162;HMDB0000738;HMDB0000904;HMDB0000123;HMDB0000167;HMDB0006101;HMDB0000763;HMDB0000294;HMDB0000158;HMDB0000650;HMDB0002939;HMDB0013806;HMDB0013744	0.33936339897461065	0.41403508771929826	1.038557261770978	0.7392799245242905
Bartter Syndrome, Type 2, Antenatal	11	1	HMDB0000294	0.659635666347076	0.676829268292683	0.881642348504186	0.7407294213528933
Dimethylglycine Dehydrogenase Deficiency	10	1	HMDB0000294	0.659635666347076	0.676829268292683	0.881642348504186	0.7407294213528933
Irritable bowel syndrome	83	16	HMDB0000134;HMDB0000230;HMDB0000738;HMDB0000122;HMDB0000064;HMDB0000158;HMDB0000517;HMDB0000148;HMDB0000191;HMDB0011632;HMDB0000254;HMDB0003345;HMDB0004327;HMDB0000167;HMDB0000123;HMDB0000162	0.38162025173574343	0.30755064456721914	1.120415943827893	0.7413140923425817
Ribose-5-phosphate isomerase deficiency	12	2	HMDB0004136;HMDB0000211	0.6842610364683286	0.4262948207171315	1.059395484308924	0.7428050033662875
Colorectal cancer	831	77	HMDB0000650;HMDB0006101;HMDB0002000;HMDB0000214;HMDB0000682;HMDB0028764;HMDB0000754;HMDB0000866;HMDB0000317;HMDB0000148;HMDB0001015;HMDB0000045;HMDB0000122;HMDB0011567;HMDB0000230;HMDB0001988;HMDB0002658;HMDB0004284;HMDB0001964;HMDB0000254;HMDB0000299;HMDB0000725;HMDB0011572;HMDB0011555;HMDB0002284;HMDB0001932;HMDB0000896;HMDB0011537;HMDB0000715;HMDB0000201;HMDB0000792;HMDB0002231;HMDB0000279;HMDB0001248;HMDB0001429;HMDB0011616;HMDB0011733;HMDB0000888;HMDB0000064;HMDB0000123;HMDB0000273;HMDB0004956;HMDB0000134;HMDB0001406;HMDB0011581;HMDB0004949;HMDB0000162;HMDB0000191;HMDB0028734;HMDB0001893;HMDB0011563;HMDB0000574;HMDB0000158;HMDB0000826;HMDB0000904;HMDB0000211;HMDB0000294;HMDB0005199;HMDB0000020;HMDB0004160;HMDB0011745;HMDB0000660;HMDB0013716;HMDB0013209;HMDB0001348;HMDB0028699;HMDB0028713;HMDB0000208;HMDB0004136;HMDB0000167;HMDB0002017;HMDB0010325;HMDB0011562;HMDB0011718;HMDB0000517;HMDB0028822;HMDB0000722	0.23252906179282729	0.5288611544461779	0.9638241145428971	0.7498480400574586
Supragingival Plaque	15	2	HMDB0001429;HMDB0000294	0.576775431861802	0.6752988047808764	0.892982729410466	0.7548102476878921
Parkinson's disease	49	11	HMDB0002017;HMDB0001989;HMDB0000333;HMDB0000939;HMDB0003642;HMDB0000599;HMDB0003892;HMDB0002503;HMDB0001333;HMDB0001893;HMDB0005199	0.39539482844759244	0.3781362007168459	1.0620025184068995	0.7587013339296123
Primary hypomagnesemia	12	2	HMDB0000122;HMDB0000294	0.6297052987910638	0.5617529880478087	0.9749304935259632	0.762347762879282
Stomach cancer	10	1	HMDB0000148	0.6855225311601157	0.6239837398373984	0.9162416848553682	0.763036432542812
Fumarase deficiency	26	9	HMDB0000134;HMDB0000214;HMDB0000051;HMDB0000254;HMDB0000020;HMDB0000167;HMDB0000158;HMDB0000208;HMDB0000904	0.432525982184685	0.39325842696629215	1.0694885139127934	0.7639979346687118
Tooth Decay	19	6	HMDB0000317;HMDB0000725;HMDB0000201;HMDB0000162;HMDB0002802;HMDB0000904	0.45671618366587186	0.43413729128014844	1.0135430063702822	0.7665922539952518
Alzheimer's disease	127	27	HMDB0000214;HMDB0000148;HMDB0000725;HMDB0000191;HMDB0000162;HMDB0000167;HMDB0003933;HMDB0002503;HMDB0001989;HMDB0000123;HMDB0000064;HMDB0000099;HMDB0000904;HMDB0000898;HMDB0012935;HMDB0000134;HMDB0000939;HMDB0003642;HMDB0000045;HMDB0000211;HMDB0001333;HMDB0003869;HMDB0000122;HMDB0000158;HMDB0000517;HMDB0000254;HMDB0000574	0.29069043614428675	0.49743589743589745	0.9647328725433536	0.7673960600448714
Sepsis	13	2	HMDB0000148;HMDB0000332	0.5777351247600737	0.6752988047808764	0.8944685575792009	0.7691671686569104
Autism	108	12	HMDB0000123;HMDB0000148;HMDB0000099;HMDB0000574;HMDB0000738;HMDB0000517;HMDB0000158;HMDB0000214;HMDB0000167;HMDB0000162;HMDB0002643;HMDB0002939	0.32793915861613376	0.5688405797101449	0.9014138787930261	0.7705166365472521
Epilepsy	31	9	HMDB0001341;HMDB0000191;HMDB0000020;HMDB0000158;HMDB0000538;HMDB0000148;HMDB0000763;HMDB0000904;HMDB0000167	0.39493302523408946	0.50187265917603	0.9765340156428775	0.778976648595018
Propionic acidemia	35	2	HMDB0000517;HMDB0000123	0.5290997855790981	0.7569721115537849	0.8191697228361192	0.7847201812584288
Diabetes mellitus type 2	47	8	HMDB0010325;HMDB0004327;HMDB0001185;HMDB0000599;HMDB0000660;HMDB0001311;HMDB0002658;HMDB0000122	0.34737182349348383	0.6622889305816135	0.839915252125301	0.7863705490700587
Hemodialysis	19	3	HMDB0000162;HMDB0001429;HMDB0000725	0.566762728146014	0.5380116959064327	0.9795486520878023	0.7922124861425383
Pregnancy	771	76	HMDB0008348;HMDB0008014;HMDB0008604;HMDB0013466;HMDB0008059;HMDB0008006;HMDB0008328;HMDB0008763;HMDB0008115;HMDB0008273;HMDB0008178;HMDB0008212;HMDB0008227;HMDB0000254;HMDB0008495;HMDB0008047;HMDB0000123;HMDB0000064;HMDB0008124;HMDB0000167;HMDB0008128;HMDB0013459;HMDB0007923;HMDB0000754;HMDB0008362;HMDB0007986;HMDB0000122;HMDB0011263;HMDB0007919;HMDB0008031;HMDB0013452;HMDB0008287;HMDB0000517;HMDB0008456;HMDB0011276;HMDB0000675;HMDB0008554;HMDB0008481;HMDB0008408;HMDB0008464;HMDB0008022;HMDB0000214;HMDB0007887;HMDB0007869;HMDB0011331;HMDB0008046;HMDB0008121;HMDB0008719;HMDB0011314;HMDB0008594;HMDB0000158;HMDB0000162;HMDB0008605;HMDB0008251;HMDB0011279;HMDB0008513;HMDB0008433;HMDB0008505;HMDB0007989;HMDB0008140;HMDB0011317;HMDB0008438;HMDB0008542;HMDB0008357;HMDB0008144;HMDB0008018;HMDB0008627;HMDB0011270;HMDB0011261;HMDB0008663;HMDB0008523;HMDB0008203;HMDB0013431;HMDB0013439;HMDB0008526;HMDB0013418	0.19873312974780313	0.7972136222910217	0.8205352272458935	0.7989412139895823
Leukemia	35	7	HMDB0000517;HMDB0002284;HMDB0000214;HMDB0000148;HMDB0000158;HMDB0000123;HMDB0000167	0.3378012804735343	0.7266187050359713	0.7915248505741938	0.8090722130001391
Late-onset preeclampsia	39	9	HMDB0000122;HMDB0000064;HMDB0000158;HMDB0000517;HMDB0000167;HMDB0000754;HMDB0000123;HMDB0000214;HMDB0000162	-0.46146308149559	0.2532188841201717	-1.2042612542061262	0.8091457166686524
Rheumatoid arthritis	32	8	HMDB0000122;HMDB0001491;HMDB0000167;HMDB0002802;HMDB0000904;HMDB0000162;HMDB0003345;HMDB0000134	0.3221711035386194	0.7448405253283302	0.7789820744088126	0.8112585770131034
Obesity	763	74	HMDB0008047;HMDB0007887;HMDB0008438;HMDB0008124;HMDB0008408;HMDB0008178;HMDB0007989;HMDB0011331;HMDB0008627;HMDB0008031;HMDB0008273;HMDB0008533;HMDB0008121;HMDB0008456;HMDB0000201;HMDB0013330;HMDB0008278;HMDB0013466;HMDB0008505;HMDB0000123;HMDB0011279;HMDB0011276;HMDB0008203;HMDB0008006;HMDB0000214;HMDB0000162;HMDB0008287;HMDB0008115;HMDB0008663;HMDB0007923;HMDB0008140;HMDB0000517;HMDB0013418;HMDB0008542;HMDB0008594;HMDB0007869;HMDB0008328;HMDB0000158;HMDB0008251;HMDB0011270;HMDB0008212;HMDB0008554;HMDB0011263;HMDB0008357;HMDB0008144;HMDB0013431;HMDB0008046;HMDB0008128;HMDB0008433;HMDB0013465;HMDB0000148;HMDB0008227;HMDB0008014;HMDB0011718;HMDB0007919;HMDB0008362;HMDB0008763;HMDB0011261;HMDB0013452;HMDB0008604;HMDB0011317;HMDB0008348;HMDB0000167;HMDB0013459;HMDB0008526;HMDB0001348;HMDB0008495;HMDB0008464;HMDB0008022;HMDB0008059;HMDB0008605;HMDB0013439;HMDB0008719;HMDB0008523	0.23885929627190172	0.47955974842767296	0.9800310515228309	0.8146186506919129
3-Hydroxy-3-methylglutaryl-CoA lyase deficiency	19	3	HMDB0000122;HMDB0000754;HMDB0000051	-0.6402028915377713	0.33675564681724846	-1.1537428195520192	0.8243099408237021
Subarachnoid hemorrhage	10	2	HMDB0001341;HMDB0000538	0.4879637112688253	0.8266932270916335	0.7554814970803094	0.8295398619625259
Autosomal  dominant polycystic kidney disease	43	9	HMDB0000162;HMDB0000754;HMDB0000148;HMDB0000167;HMDB0003411;HMDB0000866;HMDB0000378;HMDB0002658;HMDB0000123	-0.4253640881384353	0.33476394849785407	-1.1100551936151637	0.8354308862827866
3-Hydroxydicarboxylic aciduria	10	2	HMDB0000792;HMDB0000888	-0.7322456813819709	0.30522088353413657	-1.1654121545375975	0.8644823066841415
3-Methyl-crotonyl-glycinuria	12	5	HMDB0000122;HMDB0000051;HMDB0000201;HMDB0000754;HMDB0000123	-0.527257802128637	0.3382663847780127	-1.116981076671718	0.8789412422439946
Smoking	15	1	HMDB0001046	-0.8053691275167852	0.39960629921259844	-1.0764639551574267	0.8843051749473768
Hydrocephalus	11	1	HMDB0000232	-0.9012464046021175	0.19881889763779528	-1.204614426009502	0.8988707520817613
Aromatic L-amino acid decarboxylase deficiency	14	2	HMDB0000763;HMDB0000866	-0.4275791193448447	0.8514056224899599	-0.6805173664807539	0.9396788990825689
Prostate cancer	37	5	HMDB0001015;HMDB0011733;HMDB0002658;HMDB0011718;HMDB0002985	-0.29881350001853213	0.8921775898520085	-0.6330281384689944	0.9497005079990902
Iron deficiency	26	5	HMDB0000888;HMDB0011502;HMDB0010340;HMDB0000792;HMDB0028805	-0.3593428720071064	0.7610993657505285	-0.7612579395664953	0.9568449898725128
Hypothyroidism	13	1	HMDB0000158	-0.5541706615532148	0.8838582677165354	-0.7407097215249888	0.9570964309338242
Meningitis	21	2	HMDB0000294;HMDB0000044	-0.36201717288295193	0.9457831325301205	-0.5761716649975709	0.957988800190635
Uremia	92	18	HMDB0000294;HMDB0000214;HMDB0000682;HMDB0000574;HMDB0013222;HMDB0003933;HMDB0004136;HMDB0001406;HMDB0010319;HMDB0001842;HMDB0000232;HMDB0000715;HMDB0000164;HMDB0000211;HMDB0000128;HMDB0013231;HMDB0000064;HMDB0000299	-0.2124325435278632	0.9011494252873563	-0.6826754811437595	0.9689718390517443
Peroxisomal biogenesis defect	10	1	HMDB0002356	-0.5292425695110284	0.9330708661417323	-0.7073905991034493	0.9699702132729656
Maple syrup urine disease	25	3	HMDB0000517;HMDB0000317;HMDB0000123	0.30547550432276765	0.9571150097465887	0.5279601209557998	0.9771446794939939
Heart failure	13	3	HMDB0000167;HMDB0000517;HMDB0000148	-0.5379468086068249	0.5010266940451745	-0.9694618314519604	0.9860121529846301
Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete	13	1	HMDB0000122	-0.5714285714285746	0.8464566929133859	-0.7637768062783624	0.9902731994475115
Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency	17	1	HMDB0000122	-0.5714285714285746	0.8464566929133859	-0.7637768062783624	0.9902731994475115
21-Hydroxylase deficiency	10	1	HMDB0000122	-0.5714285714285746	0.8464566929133859	-0.7637768062783624	0.9902731994475115
Early preeclampsia	44	10	HMDB0000214;HMDB0000162;HMDB0000754;HMDB0000254;HMDB0000167;HMDB0000122;HMDB0000158;HMDB0000517;HMDB0000064;HMDB0000123	-0.44848668150083704	0.20898876404494382	-1.204813691364853	1.0
Chronic renal failure	12	3	HMDB0000517;HMDB0001842;HMDB0000128	-0.5393686898390199	0.4948665297741273	-0.9720242773321411	1.0
Pancreatic cancer	47	12	HMDB0000214;HMDB0000123;HMDB0000064;HMDB0000158;HMDB0000191;HMDB0000650;HMDB0001369;HMDB0000167;HMDB0000162;HMDB0000148;HMDB0000904;HMDB0000754	-0.35282020414684456	0.4732142857142857	-0.9962063403795204	1.0
Diabetes mellitus type 1	18	2	HMDB0000754;HMDB0000122	-0.9570122837455521	0.010040160642570281	-1.52314144811877	1.0
Periodontal Probing Depth	68	13	HMDB0000045;HMDB0000273;HMDB0000167;HMDB0000725;HMDB0000517;HMDB0000191;HMDB0000254;HMDB0000904;HMDB0000754;HMDB0000158;HMDB0000201;HMDB0000064;HMDB0000162	-0.29764093233195144	0.6600441501103753	-0.8647932568568535	1.0
Attachment loss	63	13	HMDB0000045;HMDB0000273;HMDB0000167;HMDB0000725;HMDB0000517;HMDB0000191;HMDB0000254;HMDB0000904;HMDB0000754;HMDB0000158;HMDB0000201;HMDB0000064;HMDB0000162	-0.29764093233195144	0.6600441501103753	-0.8647932568568535	1.0
Canavan disease	20	3	HMDB0000044;HMDB0000254;HMDB0000273	-0.5024015369836689	0.5708418891170431	-0.9054038547600154	1.0
Dihydrolipoamide Dehydrogenase Deficiency	12	3	HMDB0000317;HMDB0000162;HMDB0000208	-0.4255523535062433	0.7330595482546202	-0.7669099572823838	1.0
Inflammatory bowel disease	17	1	HMDB0000483	-0.9050814956855308	0.19291338582677164	-1.2097404448435851	1.0
Periodontal disease	35	10	HMDB0000214;HMDB0000650;HMDB0000191;HMDB0000158;HMDB0000162;HMDB0000148;HMDB0000123;HMDB0000904;HMDB0000167;HMDB0001369	-0.2992503344784321	0.7348314606741573	-0.8039054781261187	1.0
Tyrosinemia I	12	5	HMDB0000635;HMDB0000866;HMDB0000158;HMDB0000517;HMDB0000123	-0.36783098526320307	0.7357293868921776	-0.7792397728280034	1.0
Molybdenum cofactor deficiency	11	3	HMDB0000257;HMDB0000731;HMDB0000240	-0.6718923723961506	0.2792607802874743	-1.21085207581899	1.0
Primary biliary cirrhosis	13	1	HMDB0002719	-0.9165867689357706	0.1673228346456693	-1.225118501345834	1.0
3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency	16	2	HMDB0000792;HMDB0000122	-0.8216232122741126	0.142570281124498	-1.3076617621388016	1.0
Abetalipoproteinemia	11	1	HMDB0001893	-0.9194630872483306	0.16338582677165353	-1.2289630154713964	1.0
Medium Chain Acyl-CoA Dehydrogenase Deficiency	23	2	HMDB0000792;HMDB0004982	-0.8262955854126837	0.13855421686746988	-1.3150981193405933	1.0
