reactome_name	reactome_id	up_reactome_name	up_reactome_id	HMDB.ID	N_met	hit_n	hit_HMDB_ID	ES	pvalue_nominal	NES	FDR_pri	FDR
Melanin biosynthesis	R-HSA-5662702	Metabolism of amino acids and derivatives	R-HSA-71291	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001967;HMDB0001229;HMDB0004058;HMDB0000657;HMDB0015532;HMDB0004067;HMDB0062734;HMDB0062793	11	5	HMDB0004067;HMDB0002111;HMDB0001377;HMDB0059597;HMDB0001967	0.6158285871700147	0.17077798861480076	1.2719689458878458	0.35271105210595805	0.35271105210595805
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA	R-HSA-77346	mitochondrial fatty acid beta-oxidation of saturated fatty acids	R-HSA-77286	HMDB0003948;HMDB0002111;HMDB0059597;HMDB0001070;HMDB0000221;HMDB0304435;HMDB0003938;HMDB0303998;HMDB0006404;HMDB0304325;HMDB0003939	11	4	HMDB0059597;HMDB0002111;HMDB0000221;HMDB0003948	0.6644230769230779	0.18518518518518517	1.2686685545669447	0.35276811245701306	0.35276811245701306
Synthesis of PC	R-HSA-1483191	Glycerophospholipid biosynthesis	R-HSA-1483206	HMDB0000097;HMDB0000895;HMDB0002111;HMDB0000547;HMDB0015145;HMDB0001333;HMDB0000588;HMDB0014812;HMDB0014526;HMDB0015190;HMDB0005041;HMDB0015472;HMDB0014871;HMDB0015124	14	4	HMDB0001333;HMDB0005041;HMDB0014812;HMDB0002111	0.6567307692307703	0.1968810916179337	1.2539806407658804	0.3554523514976982	0.3554523514976982
Paracetamol ADME	R-HSA-9753281	Drug ADME	R-HSA-9748784	HMDB0242116;HMDB0242140;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001333;HMDB0015532;HMDB0059911;HMDB0010316;HMDB0001859;HMDB0304464	11	4	HMDB0001333;HMDB0059597;HMDB0001377;HMDB0002111	0.6567307692307705	0.1968810916179337	1.2539806407658807	0.36353081403173676	0.36353081403173676
Androgen biosynthesis	R-HSA-193048	Metabolism of steroid hormones	R-HSA-196071	HMDB0000990;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0002961;HMDB0000053;HMDB0000253;HMDB0001830;HMDB0000374;HMDB0000234;HMDB0000077;HMDB0000363	12	4	HMDB0059597;HMDB0002111;HMDB0001377;HMDB0000990	0.6923076923076933	0.14814814814814814	1.3219122420958034	0.37027723133707835	0.37027723133707835
Retinoid metabolism and transport	R-HSA-975634	Visual phototransduction;Metabolism of fat-soluble vitamins	R-HSA-2187338;R-HSA-6806667	HMDB0001852;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000220;HMDB0000067;HMDB0000207;HMDB0000305;HMDB0000673;HMDB0000561;HMDB0003648;HMDB0001358;HMDB0000692;HMDB0036565;HMDB0002369;HMDB0011618;HMDB0059605;HMDB0303351	18	4	HMDB0001852;HMDB0002111;HMDB0059597;HMDB0001377	0.6923076923076933	0.14814814814814814	1.3219122420958034	0.37027723133707835	0.37027723133707835
Aspirin ADME	R-HSA-9749641	Drug ADME	R-HSA-9748784	HMDB0304256;HMDB0000060;HMDB0001879;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000228;HMDB0062723;HMDB0000295;HMDB0302214;HMDB0006543;HMDB0000190;HMDB0001859;HMDB0060014;HMDB0000840	15	4	HMDB0002111;HMDB0000295;HMDB0059597;HMDB0001377	0.6923076923076933	0.14814814814814814	1.3219122420958034	0.37027723133707835	0.37027723133707835
Sphingolipid de novo biosynthesis	R-HSA-1660661	Sphingolipid metabolism	R-HSA-428157	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000220;HMDB0001967;HMDB0000269;HMDB0001383;HMDB0000224;HMDB0060482;HMDB0001551;HMDB0012089;HMDB0012092;HMDB0012096;HMDB0001480;HMDB0006752;HMDB0004610;HMDB0004628;HMDB0062807;HMDB0303351	19	4	HMDB0059597;HMDB0002111;HMDB0001377;HMDB0001967	0.6923076923076933	0.14814814814814814	1.3219122420958034	0.37027723133707835	0.37027723133707835
Phase I - Functionalization of compounds	R-HSA-211945	Biological oxidations	R-HSA-211859	HMDB0041884;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0003767;HMDB0000306;HMDB0000855;HMDB0000067;HMDB0000051;HMDB0033934;HMDB0003125;HMDB0001389;HMDB0006115;HMDB0002434;HMDB0001875;HMDB0246437;HMDB0014925;HMDB0003905;HMDB0246741;HMDB0015043;HMDB0258755;HMDB0015132;HMDB0000464;HMDB0062762;HMDB0060449;HMDB0060091;HMDB0014716;HMDB0041836;HMDB0014420;HMDB0011643;HMDB0011648;HMDB0256387;HMDB0246417	33	5	HMDB0002111;HMDB0003125;HMDB0000051;HMDB0059597;HMDB0001377	0.6073147256977874	0.19165085388994307	1.2543839106558352	0.3713035074968625	0.3713035074968625
Adrenoceptors	R-HSA-390696	Amine ligand-binding receptors	R-HSA-375280	HMDB0247729;HMDB0015324;HMDB0015411;HMDB0015099;HMDB0001924;HMDB0014341;HMDB0014627;HMDB0015267;HMDB0015399;HMDB0014771;HMDB0041872;HMDB0014979;HMDB0014728;HMDB0014736;HMDB0014632;HMDB0015197;HMDB0015341;HMDB0014861;HMDB0015608;HMDB0001932;HMDB0037507;HMDB0015070;HMDB0002182;HMDB0015095;HMDB0014600;HMDB0001849;HMDB0015293	27	1	HMDB0001932	0.9280920421860019	0.15447154471544716	1.2404502810349587	0.374519335477164	0.374519335477164
Neurotransmitter clearance	R-HSA-112311	Transmission across Chemical Synapses	R-HSA-112315	HMDB0000097;HMDB0000895;HMDB0002111;HMDB0015145;HMDB0014812;HMDB0014526;HMDB0015190;HMDB0005041;HMDB0015472;HMDB0014871;HMDB0015124	11	3	HMDB0005041;HMDB0014812;HMDB0002111	0.6916426512968235	0.25925925925925924	1.1953814059376444	0.39025442729634663	0.39025442729634663
ROS and RNS production in phagocytes	R-HSA-1222556	Innate Immune System	R-HSA-168249	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001039;HMDB0003125;HMDB0003378;HMDB0001967;HMDB0000085;HMDB0000101;HMDB0003178;HMDB0002168;HMDB0002786;HMDB0000692;HMDB0015531;HMDB0001333;HMDB0015532;HMDB0251419;HMDB0062762;HMDB0255649;HMDB0004645	20	6	HMDB0003125;HMDB0001967;HMDB0001377;HMDB0059597;HMDB0002111;HMDB0001333	0.6078998073217707	0.14100185528756956	1.34904919142427	0.39468057246802996	0.39468057246802996
Pyrimidine catabolism	R-HSA-73621	Nucleotide catabolism	R-HSA-8956319	HMDB0002111;HMDB0059597;HMDB0000014;HMDB0000076;HMDB0000012;HMDB0001967;HMDB0000296;HMDB0000089;HMDB0000300;HMDB0000273;HMDB0000262;HMDB0010337;HMDB0000547;HMDB0304210;HMDB0041827;HMDB0015532;HMDB0304000	17	4	HMDB0001967;HMDB0002111;HMDB0000273;HMDB0059597	0.6382270434068651	0.2222222222222222	1.2186490938788739	0.3947914342885342	0.3947914342885342
Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)	R-HSA-2142670	Arachidonic acid metabolism	R-HSA-2142753	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000547;HMDB0004264;HMDB0002190;HMDB0002232;HMDB0002265;HMDB0002314;HMDB0002311;HMDB0002343	11	3	HMDB0002111;HMDB0001377;HMDB0059597	0.6916426512968255	0.25925925925925924	1.195381405937648	0.3976177183774098	0.3976177183774098
eNOS activation	R-HSA-203615	Metabolism of nitric oxide: NOS3 activation and regulation	R-HSA-202131	HMDB0257929;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001521;HMDB0000220;HMDB0003378;HMDB0000087;HMDB0003178;HMDB0002878;HMDB0002168;HMDB0003334;HMDB0015532;HMDB0000464;HMDB0062762	15	3	HMDB0059597;HMDB0001377;HMDB0002111	0.6916426512968255	0.25925925925925924	1.195381405937648	0.3976177183774098	0.3976177183774098
The canonical retinoid cycle in rods (twilight vision)	R-HSA-2453902	Visual phototransduction	R-HSA-2187338	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000220;HMDB0002152;HMDB0000207;HMDB0006216;HMDB0000305;HMDB0000673;HMDB0003648;HMDB0001358;HMDB0303351	12	3	HMDB0059597;HMDB0001377;HMDB0002111	0.6916426512968255	0.25925925925925924	1.195381405937648	0.3976177183774098	0.3976177183774098
Iron uptake and transport	R-HSA-917937	Transport of small molecules	R-HSA-382551	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000152;HMDB0001361;HMDB0003178;HMDB0000692;HMDB0015531;HMDB0000657;HMDB0000094	10	3	HMDB0059597;HMDB0001377;HMDB0002111	0.6916426512968255	0.25925925925925924	1.195381405937648	0.3976177183774098	0.3976177183774098
Glucuronidation	R-HSA-156588	Phase II - Conjugation of compounds	R-HSA-156580	HMDB0041740;HMDB0002111;HMDB0000228;HMDB0060169;HMDB0062723;HMDB0000295;HMDB0001934;HMDB0302214;HMDB0060616;HMDB0006543;HMDB0005781;HMDB0014813;HMDB0001859;HMDB0001272;HMDB0060014;HMDB0060491	16	3	HMDB0000295;HMDB0014813;HMDB0002111	0.7060651427905302	0.23391812865497075	1.2203081193590124	0.40007369937644627	0.40007369937644627
Glyoxylate metabolism and glycine degradation	R-HSA-389661	Metabolism of amino acids and derivatives	R-HSA-71291	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001185;HMDB0003125;HMDB0000221;HMDB0000119;HMDB0002329;HMDB0001983;HMDB0006483;HMDB0000962;HMDB0304435;HMDB0041827	13	6	HMDB0000221;HMDB0059597;HMDB0001377;HMDB0003125;HMDB0002111;HMDB0001185	0.6078998073217708	0.14100185528756956	1.3490491914242702	0.41262059848930394	0.41262059848930394
Tryptophan catabolism	R-HSA-71240	Metabolism of amino acids and derivatives	R-HSA-71291	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0304356;HMDB0001476;HMDB0001967;HMDB0000684;HMDB0011631;HMDB0000978;HMDB0003178;HMDB0000715;HMDB0001200;HMDB0000692;HMDB0002302	14	5	HMDB0059597;HMDB0000715;HMDB0001967;HMDB0001377;HMDB0002111	0.6616973670269132	0.10815939278937381	1.366709048538575	0.41492425317893283	0.41492425317893283
Degradation of cysteine and homocysteine	R-HSA-1614558	Sulfur amino acid metabolism	R-HSA-1614635	HMDB0258580;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000051;HMDB0033934;HMDB0001368;HMDB0001967;HMDB0304277;HMDB0002991;HMDB0001453;HMDB0060292;HMDB0240656;HMDB0000692;HMDB0000005	15	6	HMDB0000051;HMDB0002991;HMDB0001967;HMDB0001377;HMDB0059597;HMDB0002111	0.6194605009633892	0.12244897959183673	1.3747046435591213	0.41988704955111217	0.41988704955111217
Linoleic acid (LA) metabolism	R-HSA-2046105	alpha-linolenic (omega3) and linoleic (omega6) acid metabolism	R-HSA-2046104	HMDB0002111;HMDB0001377;HMDB0006368;HMDB0001064;HMDB0000221;HMDB0001967;HMDB0000673;HMDB0304435;HMDB0000547;HMDB0003947;HMDB0001976	11	4	HMDB0001377;HMDB0000221;HMDB0002111;HMDB0001967	0.6923076923076934	0.14814814814814814	1.3219122420958036	0.4272429592350904	0.4272429592350904
Extra-nuclear estrogen signaling	R-HSA-9009391	ESR-mediated signaling	R-HSA-8939211	HMDB0257929;HMDB0002111;HMDB0001377;HMDB0001185;HMDB0003378;HMDB0001201;HMDB0003178;HMDB0003334;HMDB0015532;HMDB0000464;HMDB0062762;HMDB0062807	12	3	HMDB0001185;HMDB0002111;HMDB0001377	0.6916426512968304	0.25925925925925924	1.1953814059376566	0.43007630763270854	0.43007630763270854
Sensory perception of sweet, bitter, and umami (glutamate) taste	R-HSA-9717207	Sensory perception of taste	R-HSA-9717189	HMDB0015464;HMDB0132905;HMDB0002111;HMDB0014611;HMDB0304270;HMDB0035921;HMDB0302538;HMDB0013609;HMDB0002802;HMDB0032039;HMDB0014589;HMDB0003546;HMDB0003345;HMDB0000258;HMDB0001453;HMDB0029943;HMDB0015466;HMDB0035742;HMDB0035030;HMDB0001847;HMDB0004461;HMDB0015245;HMDB0248598;HMDB0302701;HMDB0062769;HMDB0001894;HMDB0001218;HMDB0000588;HMDB0000464;HMDB0015128;HMDB0029723;HMDB0014539;HMDB0038445;HMDB0015016;HMDB0303206;HMDB0252331;HMDB0014395;HMDB0244053;HMDB0001859;HMDB0256448;HMDB0015361;HMDB0014901;HMDB0005843;HMDB0031849;HMDB0033439;HMDB0015304;HMDB0033585;HMDB0014690;HMDB0034070	49	6	HMDB0001894;HMDB0003546;HMDB0003345;HMDB0014589;HMDB0002802;HMDB0002111	0.5204469991477246	0.28385899814471244	1.1549742160187735	0.43143134672903666	0.43143134672903666
Detoxification of Reactive Oxygen Species	R-HSA-3299685	Cellular response to chemical stress	R-HSA-9711123	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001340;HMDB0003125;HMDB0000221;HMDB0003378;HMDB0000125;HMDB0003178;HMDB0304435;HMDB0002168;HMDB0001333;HMDB0000657;HMDB0015532	14	6	HMDB0000221;HMDB0002111;HMDB0001333;HMDB0003125;HMDB0059597;HMDB0001377	0.607899807321771	0.14100185528756956	1.3490491914242704	0.43226919841736605	0.43226919841736605
Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB	R-HSA-141333	Amine Oxidase reactions	R-HSA-140179	HMDB0002111;HMDB0001377;HMDB0003767;HMDB0000306;HMDB0000051;HMDB0033934;HMDB0003125;HMDB0006236;HMDB0012275;HMDB0041827;HMDB0004073	11	4	HMDB0003125;HMDB0002111;HMDB0001377;HMDB0000051	0.6067307692307704	0.28654970760233917	1.1585092010589615	0.43355666539648113	0.43355666539648113
Synthesis of bile acids and bile salts via 27-hydroxycholesterol	R-HSA-193807	Synthesis of bile acids and bile salts	R-HSA-192105	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000067;HMDB0000221;HMDB0001231;HMDB0304435;HMDB0006281;HMDB0012455;HMDB0000626;HMDB0062420;HMDB0062400	12	6	HMDB0000221;HMDB0059597;HMDB0001231;HMDB0001377;HMDB0002111;HMDB0012455	0.621845620228203	0.12059369202226346	1.379997692145242	0.435744207165246	0.435744207165246
Olfactory Signaling Pathway	R-HSA-381753	Sensory Perception	R-HSA-9709957	HMDB0000042;HMDB0004487;HMDB0035089;HMDB0003352;HMDB0006236;HMDB0003441;HMDB0303210;HMDB0033731;HMDB0035155;HMDB0036100;HMDB0000492;HMDB0249885;HMDB0012308;HMDB0000547;HMDB0029686;HMDB0000718;HMDB0001398;HMDB0243636;HMDB0001218;HMDB0000482;HMDB0030003;HMDB0011626;HMDB0000588;HMDB0000464;HMDB0005812;HMDB0254464;HMDB0000237;HMDB0000535;HMDB0000638;HMDB0059901;HMDB0302508;HMDB0034406;HMDB0246158;HMDB0000190;HMDB0000666;HMDB0030941;HMDB0029665;HMDB0005809;HMDB0031864;HMDB0035157;HMDB0036906;HMDB0039095	42	1	HMDB0003441	0.9913710450623202	0.022357723577235773	1.3250264365600695	0.4364720436431483	0.4364720436431483
Purine catabolism	R-HSA-74259	Nucleotide catabolism	R-HSA-8956319	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000132;HMDB0003125;HMDB0000050;HMDB0000133;HMDB0000085;HMDB0000101;HMDB0000157;HMDB0000195;HMDB0000292;HMDB0000289;HMDB0000547;HMDB0041827;HMDB0000071;HMDB0015532	17	4	HMDB0002111;HMDB0003125;HMDB0001377;HMDB0059597	0.6067307692307707	0.28654970760233917	1.1585092010589622	0.4412987487071326	0.4412987487071326
Cytoprotection by HMOX1	R-HSA-9707564	Cellular response to chemical stress	R-HSA-9711123	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000220;HMDB0001039;HMDB0003125;HMDB0003378;HMDB0001361;HMDB0000673;HMDB0003178;HMDB0002168;HMDB0001388;HMDB0001999;HMDB0000692;HMDB0015532	15	4	HMDB0002111;HMDB0059597;HMDB0003125;HMDB0001377	0.6067307692307707	0.28654970760233917	1.1585092010589622	0.4412987487071326	0.4412987487071326
Class C/3 (Metabotropic glutamate/pheromone receptors)	R-HSA-420499	GPCR ligand binding	R-HSA-500792	HMDB0015464;HMDB0014611;HMDB0035921;HMDB0302538;HMDB0013609;HMDB0014589;HMDB0003546;HMDB0003345;HMDB0000258;HMDB0029943;HMDB0015466;HMDB0035742;HMDB0035030;HMDB0001847;HMDB0015245;HMDB0248598;HMDB0302701;HMDB0001894;HMDB0001218;HMDB0000464;HMDB0029723;HMDB0062762;HMDB0038445;HMDB0303206;HMDB0005843;HMDB0031849;HMDB0033439;HMDB0034070	28	4	HMDB0014589;HMDB0003345;HMDB0001894;HMDB0003546	0.5986505589657569	0.3079922027290448	1.1430806149162522	0.44188309556717914	0.44188309556717914
Phenylalanine metabolism	R-HSA-8964208	Phenylalanine and tyrosine metabolism	R-HSA-8963691	HMDB0257929;HMDB0304198;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000051;HMDB0033934;HMDB0003125;HMDB0001875;HMDB0304081;HMDB0001894;HMDB0000692;HMDB0060484	13	6	HMDB0002111;HMDB0001377;HMDB0000051;HMDB0059597;HMDB0001894;HMDB0003125	0.597302504816954	0.15584415584415584	1.3255316936339898	0.44919960521067825	0.44919960521067825
Methylation	R-HSA-156581	Phase II - Conjugation of compounds	R-HSA-156580	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0240545;HMDB0000926;HMDB0000050;HMDB0000221;HMDB0001426;HMDB0012259;HMDB0304435;HMDB0000547;HMDB0015167;HMDB0002274;HMDB0060412;HMDB0000586;HMDB0015532;HMDB0001856;HMDB0245190;HMDB0011625;HMDB0032425	20	5	HMDB0000926;HMDB0000221;HMDB0001377;HMDB0002111;HMDB0059597	0.67036265256612	0.10056925996204934	1.3846068440335402	0.4542781236691071	0.4542781236691071
Nitric oxide stimulates guanylate cyclase	R-HSA-392154	Platelet homeostasis	R-HSA-418346	HMDB0259948;HMDB0304849;HMDB0250257;HMDB0248891;HMDB0001377;HMDB0001314;HMDB0003378;HMDB0001361;HMDB0000547;HMDB0062762;HMDB0257236	11	1	HMDB0001377	0.8408437200383513	0.31910569105691056	1.123837702962458	0.46270288723491987	0.46270288723491987
Maturation of nucleoprotein	R-HSA-9694631	Translation of Structural Proteins	R-HSA-9694635	HMDB0258758;HMDB0059597;HMDB0001185;HMDB0000939;HMDB0248784;HMDB0001406;HMDB0000547;HMDB0005949;HMDB0250080;HMDB0257518	10	4	HMDB0059597;HMDB0000939;HMDB0001406;HMDB0001185	0.586329990864563	0.3391812865497076	1.11955536742369	0.46328455982996486	0.46328455982996486
Endogenous sterols	R-HSA-211976	Cytochrome P450 - arranged by substrate type	R-HSA-211897	HMDB0006763;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0304356;HMDB0000067;HMDB0000053;HMDB0000151;HMDB0000221;HMDB0000319;HMDB0001251;HMDB0000253;HMDB0001547;HMDB0000016;HMDB0001830;HMDB0000145;HMDB0001496;HMDB0000063;HMDB0001023;HMDB0010315;HMDB0000432;HMDB0001318;HMDB0304435;HMDB0000037;HMDB0258755;HMDB0000015;HMDB0000626;HMDB0001419;HMDB0060136;HMDB0005896	30	5	HMDB0001377;HMDB0002111;HMDB0010315;HMDB0000221;HMDB0059597	0.675595939227075	0.09867172675521822	1.3954159851749954	0.469741832119897	0.469741832119897
Synthesis of IP2, IP, and Ins in the cytosol	R-HSA-1855183	Inositol phosphate metabolism	R-HSA-1483249	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000211;HMDB0000968;HMDB0006814;HMDB0006234;HMDB0000213;HMDB0001313;HMDB0000547;HMDB0006235;HMDB0000692;HMDB0001401;HMDB0304318	14	5	HMDB0059597;HMDB0006235;HMDB0000211;HMDB0001377;HMDB0002111	0.6786287646887819	0.0967741935483871	1.4016801630419515	0.4827854279475687	0.4827854279475687
Synthesis of Lipoxins (LX)	R-HSA-2142700	Biosynthesis of specialized proresolving mediators (SPMs)	R-HSA-9018678	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0004244;HMDB0001193;HMDB0001337;HMDB0000692;HMDB0000464;HMDB0062294;HMDB0062291;HMDB0004385;HMDB0005082	12	5	HMDB0004244;HMDB0059597;HMDB0001377;HMDB0002111;HMDB0005082	0.6811463140394118	0.09108159392789374	1.4068800590202415	0.497692394607765	0.497692394607765
Heme biosynthesis	R-HSA-189451	Metabolism of porphyrins	R-HSA-189445	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000241;HMDB0001097;HMDB0001086;HMDB0001261;HMDB0003125;HMDB0001967;HMDB0000961;HMDB0003178;HMDB0001162;HMDB0041827;HMDB0000692;HMDB0015532	15	7	HMDB0001097;HMDB0001967;HMDB0002111;HMDB0001377;HMDB0059597;HMDB0001162;HMDB0003125	0.6039780020691478	0.10611510791366907	1.4152213904213933	0.5045498013313219	0.5045498013313219
Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation	R-HSA-1474151	Metabolism of cofactors	R-HSA-8978934	HMDB0257929;HMDB0002111;HMDB0059597;HMDB0304356;HMDB0003178;HMDB0001195;HMDB0000692;HMDB0015531;HMDB0015532;HMDB0000464	10	2	HMDB0059597;HMDB0002111	0.690978886756235	0.4063745019920319	1.0697962814900752	0.5179425818660036	0.5179425818660036
Purine salvage	R-HSA-74217	Nucleotide salvage	R-HSA-8956321	HMDB0002111;HMDB0059597;HMDB0000132;HMDB0000050;HMDB0000034;HMDB0000133;HMDB0000085;HMDB0000101;HMDB0000157;HMDB0000195;HMDB0000547;HMDB0041827;HMDB0000071;HMDB0015532	14	2	HMDB0002111;HMDB0059597	0.690978886756235	0.4063745019920319	1.0697962814900752	0.5179425818660036	0.5179425818660036
Smooth Muscle Contraction	R-HSA-445355	Muscle contraction	R-HSA-397014	HMDB0259948;HMDB0304849;HMDB0250257;HMDB0248891;HMDB0002111;HMDB0059597;HMDB0001314;HMDB0003378;HMDB0001361;HMDB0000547;HMDB0244085;HMDB0014865;HMDB0000464;HMDB0015158;HMDB0257236	15	2	HMDB0002111;HMDB0059597	0.690978886756235	0.4063745019920319	1.0697962814900752	0.5179425818660036	0.5179425818660036
Alpha-oxidation of phytanate	R-HSA-389599	Peroxisomal lipid metabolism	R-HSA-390918	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001295;HMDB0003419;HMDB0001359;HMDB0304356;HMDB0000801;HMDB0000221;HMDB0001967;HMDB0304435;HMDB0000547;HMDB0000692;HMDB0001958;HMDB0002057	15	6	HMDB0003419;HMDB0002111;HMDB0001377;HMDB0059597;HMDB0000221;HMDB0001967	0.6401926332429215	0.10018552875695733	1.4207133212249785	0.5201636618061611	0.5201636618061611
