Reactome.Name	Reactome.ID	TermSize	N_Hit	Hit	ES	pvalue_nominal	NES	FDR
Vitamins	R-HSA-211916	11	5	HMDB0000221;HMDB0001852;HMDB0001377;HMDB0002111;HMDB0059597	0.6929740134744954	0.0777988614800759	1.4313096920320136	0.5210647512255737
CYP2E1 reactions	R-HSA-211999	16	5	HMDB0000990;HMDB0001377;HMDB0000221;HMDB0059597;HMDB0002111	0.6929740134744954	0.0777988614800759	1.4313096920320136	0.5210647512255737
Amino acid transport across the plasma membrane	R-HSA-352230	11	1	HMDB0059597	0.8092042186001926	0.38414634146341464	1.0815496251999033	0.526183141335842
Events associated with phagocytolytic activity of PMN cells	R-HSA-8941413	11	3	HMDB0059597;HMDB0002111;HMDB0003125	0.6061479346781947	0.4522417153996101	1.0476189821481412	0.5303544991786489
Vitamins B6 activation to pyridoxal phosphate	R-HSA-964975	11	3	HMDB0003125;HMDB0001377;HMDB0002111	0.6061479346781947	0.4522417153996101	1.0476189821481412	0.5303544991786489
Nicotinate metabolism	R-HSA-196807	10	4	HMDB0059597;HMDB0002111;HMDB0001406;HMDB0001967	0.5542184475178868	0.42105263157894735	1.0582406619333236	0.5319300613263176
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol	R-HSA-193368	29	9	HMDB0001275;HMDB0003125;HMDB0001231;HMDB0002197;HMDB0002111;HMDB0001377;HMDB0059597;HMDB0000221;HMDB0012455	0.4189012599260955	0.4400749063670412	1.0357992453809632	0.5405809739880512
Cholesterol biosynthesis	R-HSA-191273	27	7	HMDB0002111;HMDB0010315;HMDB0000221;HMDB0006271;HMDB0001967;HMDB0001377;HMDB0059597	0.4250515299047673	0.4316546762589928	0.9959667654976884	0.5865924215515569
Metabolism of Angiotensinogen to Angiotensins	R-HSA-2022377	19	1	HMDB0002111	0.6903163950143824	0.6178861788617886	0.9226489693648464	0.6700780461655758
HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	R-HSA-3371497	11	1	HMDB0002111	0.6903163950143824	0.6178861788617886	0.9226489693648464	0.6700780461655758
Neurotransmitter release cycle	R-HSA-112310	11	1	HMDB0002111	0.6903163950143824	0.6178861788617886	0.9226489693648464	0.6700780461655758
G alpha (s) signalling events	R-HSA-418555	10	1	HMDB0002111	0.6903163950143824	0.6178861788617886	0.9226489693648464	0.6700780461655758
Cytosolic sulfonation of small molecules	R-HSA-156584	28	3	HMDB0006492;HMDB0002111;HMDB0006275	0.5097771262931695	0.6647173489278753	0.8810591666095243	0.7017975433477674
Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	R-HSA-2162123	39	9	HMDB0005014;HMDB0015565;HMDB0015403;HMDB0003175;HMDB0005079;HMDB0001377;HMDB0059597;HMDB0002111;HMDB0004238	0.36157195743632947	0.601123595505618	0.8940435288486401	0.7029061631750796
G alpha (i) signalling events	R-HSA-418594	46	5	HMDB0014589;HMDB0003546;HMDB0003345;HMDB0003080;HMDB0001894	0.42927273571503183	0.6242884250474383	0.8866454083514284	0.7049076126809347
Fatty acyl-CoA biosynthesis	R-HSA-75105	11	5	HMDB0000221;HMDB0001967;HMDB0001377;HMDB0059597;HMDB0002111	0.6929740134744955	0.0777988614800759	1.4313096920320139	0.716464032935164
Glucocorticoid biosynthesis	R-HSA-194002	15	5	HMDB0002111;HMDB0002802;HMDB0000221;HMDB0059597;HMDB0001377	0.6929740134744955	0.0777988614800759	1.4313096920320139	0.716464032935164
Nicotinamide salvaging	R-HSA-197264	23	9	HMDB0015403;HMDB0005014;HMDB0001406;HMDB0015565;HMDB0003125;HMDB0001377;HMDB0000221;HMDB0059597;HMDB0002111	0.33010860009233045	0.6891385767790262	0.8162454296024946	0.7692615747093182
Glycolysis	R-HSA-70171	11	4	HMDB0059597;HMDB0001047;HMDB0002111;HMDB0003345	0.42916302691308733	0.6998050682261209	0.8194562409674334	0.7743944388370355
Glutathione conjugation	R-HSA-156590	12	3	HMDB0002111;HMDB0001550;HMDB0002306	0.4496293377135212	0.7738791423001949	0.7771044033490904	0.8109295463302846
Pyrimidine salvage	R-HSA-73614	14	2	HMDB0000273;HMDB0002111	0.48697573915855874	0.8306772908366534	0.7539518861037124	0.8295420488934858
Lysine catabolism	R-HSA-71064	14	8	HMDB0002111;HMDB0000051;HMDB0000279;HMDB0000221;HMDB0059597;HMDB0003125;HMDB0001377;HMDB0001967	0.6361414803560697	0.04878048780487805	1.5381354955251667	0.837778093248697
Thyroxine biosynthesis	R-HSA-209968	13	7	HMDB0059597;HMDB0003125;HMDB0000221;HMDB0000675;HMDB0001377;HMDB0012238;HMDB0002111	-0.2816570017359421	0.8716216216216216	-0.6573687234182556	0.8783786741371387
Synthesis of Leukotrienes (LT) and Eoxins (EX)	R-HSA-2142691	19	5	HMDB0001509;HMDB0003080;HMDB0001377;HMDB0059597;HMDB0002111	0.33909478635093626	0.8406072106261859	0.700386514911476	0.8784981616674143
Branched-chain amino acid catabolism	R-HSA-70895	14	5	HMDB0001967;HMDB0001275;HMDB0002111;HMDB0059597;HMDB0001333	-0.3501969828971628	0.773784355179704	-0.7418826263441931	0.8798231599220853
Metabolism of ingested SeMet, Sec, MeSec into H2Se	R-HSA-2408508	20	4	HMDB0000051;HMDB0000898;HMDB0002111;HMDB0001406	0.3572516642992102	0.8635477582846004	0.6821466145667702	0.8821870633101848
alpha-linolenic acid (ALA) metabolism	R-HSA-2046106	12	6	HMDB0003125;HMDB0001377;HMDB0001275;HMDB0002111;HMDB0000221;HMDB0001967	0.30923295466834777	0.8534322820037106	0.6862487245965809	0.8849236203366672
Heme degradation	R-HSA-189483	12	5	HMDB0001377;HMDB0000221;HMDB0000295;HMDB0002111;HMDB0004160	0.6929740134744956	0.0777988614800759	1.431309692032014	0.9552853772468853
FMO oxidises nucleophiles	R-HSA-217271	11	5	HMDB0001377;HMDB0000221;HMDB0014813;HMDB0002111;HMDB0059597	0.6929740134744956	0.0777988614800759	1.431309692032014	0.9552853772468853
Beta-oxidation of pristanoyl-CoA	R-HSA-389887	10	5	HMDB0001275;HMDB0003125;HMDB0002111;HMDB0001377;HMDB0059597	-0.35954519084255593	0.758985200845666	-0.7616865464258704	0.9622518657941388
Glycosphingolipid metabolism	R-HSA-1660662	11	2	HMDB0003345;HMDB0002111	0.32053742802302965	0.9760956175298805	0.4962666083578935	0.9856415664483157
Miscellaneous substrates	R-HSA-211958	10	6	HMDB0001377;HMDB0000221;HMDB0000738;HMDB0001852;HMDB0002111;HMDB0059597	0.7077724658130627	0.04823747680890538	1.5706862565463409	1.0
G alpha (q) signalling events	R-HSA-416476	34	4	HMDB0000826;HMDB0002226;HMDB0059597;HMDB0003080	-0.3897127299412244	0.7453798767967146	-0.7791438606424411	1.0
Citric acid cycle (TCA cycle)	R-HSA-71403	10	6	HMDB0001967;HMDB0000221;HMDB0002111;HMDB0000134;HMDB0001333;HMDB0059597	0.6579961464354513	0.08163265306122448	1.4602228173419607	1.0
Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane	R-HSA-83936	15	1	HMDB0000273	-0.6164908916586808	0.7559055118110236	-0.8240075275788379	1.0
Regulation of insulin secretion	R-HSA-422356	11	1	HMDB0003345	-0.679769894535	0.6318897637795275	-0.9085868383412077	1.0
Free fatty acid receptors	R-HSA-444209	19	2	HMDB0002226;HMDB0000826	-0.5930902111324469	0.5642570281124498	-0.9439380229413284	1.0
Ubiquinol biosynthesis	R-HSA-2142789	21	7	HMDB0002111;HMDB0001185;HMDB0000221;HMDB0059597;HMDB0001377;HMDB0001967;HMDB0000939	0.6943105110896787	0.030575539568345324	1.6268855546431438	1.0
Organic cation transport	R-HSA-549127	14	3	HMDB0015282;HMDB0001842;HMDB0059597	-0.55324027387416	0.4702258726899384	-0.9970229780376519	1.0
Transport of bile salts and organic acids, metal ions and amine compounds	R-HSA-425366	11	3	HMDB0000294;HMDB0059597;HMDB0001842	-0.5662752052520751	0.44763860369609854	-1.0205139036167277	1.0
Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)	R-HSA-381771	19	3	HMDB0002226;HMDB0003345;HMDB0000826	-0.5936599423631168	0.406570841889117	-1.0698653580147122	1.0
