Term	TermClass	TermSize	N_Hit	Hit	ES	pvalue_nominal	NES	FDR
Renal and urinary disorders	Disease	39	7	HUBMet000948;HUBMet000281;HUBMet000644;HUBMet000032;HUBMet000096;HUBMet001637;HUBMet001095	0.27317505930262714	0.8982725527831094	0.6227078136228703	1.0
Metabolic syndrome	Disease	200	38	HUBMet002744;HUBMet000524;HUBMet002461;HUBMet001478;HUBMet003286;HUBMet003284;HUBMet001483;HUBMet002521;HUBMet002538;HUBMet002740;HUBMet002544;HUBMet002554;HUBMet001060;HUBMet001477;HUBMet002514;HUBMet002548;HUBMet002494;HUBMet001473;HUBMet002526;HUBMet002539;HUBMet001453;HUBMet001475;HUBMet001484;HUBMet000909;HUBMet002513;HUBMet002470;HUBMet001474;HUBMet001486;HUBMet002485;HUBMet002547;HUBMet002543;HUBMet001454;HUBMet001472;HUBMet001476;HUBMet002457;HUBMet002491;HUBMet002520;HUBMet002492	0.1615129105021706	0.9821782178217822	0.5842185014376248	1.0
Uremia	Disease	70	14	HUBMet000096;HUBMet000281;HUBMet000407;HUBMet002279;HUBMet001850;HUBMet001095;HUBMet000644;HUBMet000016;HUBMet000020;HUBMet003751;HUBMet000497;HUBMet001132;HUBMet000032;HUBMet001662	0.1777404157994033	0.9923954372623575	0.5008295484440501	1.0
Diarrhea	Disease	26	3	HUBMet001708;HUBMet003840;HUBMet001171	0.4400227114987873	0.7978723404255319	0.7391404298920662	1.0
Musculoskeletal and connective tissue disorders	Disease	16	7	HUBMet001161;HUBMet001850;HUBMet003840;HUBMet000705;HUBMet002662;HUBMet003790;HUBMet001662	0.31578875433851866	0.8195777351247601	0.7198465529131032	1.0
Hypoglycemia	Disease	15	8	HUBMet001841;HUBMet001850;HUBMet001710;HUBMet003840;HUBMet000427;HUBMet000705;HUBMet003790;HUBMet001161	0.25855676800430394	0.9064885496183206	0.6232585271641591	1.0
Paralysis	Disease	12	6	HUBMet003790;HUBMet000948;HUBMet003840;HUBMet000705;HUBMet001161;HUBMet001850	0.35106525841927283	0.7533460803059273	0.7551154182102147	1.0
Lipotoxicity	Disease	63	19	HUBMet001483;HUBMet001476;HUBMet001472;HUBMet001475;HUBMet001477;HUBMet001473;HUBMet001060;HUBMet001484;HUBMet002744;HUBMet000909;HUBMet001486;HUBMet002740;HUBMet001474;HUBMet003286;HUBMet001454;HUBMet000524;HUBMet001478;HUBMet001453;HUBMet003284	0.2517419931627171	0.796844181459566	0.7658312182348619	1.0
Prostate cancer	Disease	21	3	HUBMet001340;HUBMet001666;HUBMet000149	0.39243121875734144	0.8659574468085106	0.6591972917656279	1.0
Cardiac disorders	Disease	66	15	HUBMet001662;HUBMet001095;HUBMet001773;HUBMet001698;HUBMet000644;HUBMet000281;HUBMet001702;HUBMet001701;HUBMet001707;HUBMet001699;HUBMet001709;HUBMet001179;HUBMet001171;HUBMet000096;HUBMet001689	0.22143579373104133	0.9149338374291115	0.6311430948133415	1.0
Lung cancer	Disease	32	10	HUBMet001171;HUBMet001692;HUBMet000016;HUBMet001710;HUBMet000281;HUBMet000032;HUBMet001637;HUBMet000015;HUBMet001268;HUBMet000277	0.30696327021821623	0.768642447418738	0.7794719691495794	1.0
Vascular disorders	Disease	44	12	HUBMet001161;HUBMet001850;HUBMet003840;HUBMet000407;HUBMet003657;HUBMet000705;HUBMet003790;HUBMet001692;HUBMet001773;HUBMet001064;HUBMet000948;HUBMet001637	0.2487147657386577	0.9017013232514177	0.6624242536630742	1.0
Nausea	Disease	81	14	HUBMet000096;HUBMet001662;HUBMet000644;HUBMet001095;HUBMet000705;HUBMet000699;HUBMet000281;HUBMet001850;HUBMet000032;HUBMet003790;HUBMet001604;HUBMet003840;HUBMet000427;HUBMet001161	0.27860220965584226	0.7509505703422054	0.7850337146444242	1.0
Tooth Decay	Disease	18	12	HUBMet000096;HUBMet000008;HUBMet000201;HUBMet000138;HUBMet000022;HUBMet000098;HUBMet000387;HUBMet001666;HUBMet001296;HUBMet001692;HUBMet001704;HUBMet000079	0.5581738090748176	0.06427221172022685	1.4866341682310158	1.0
Nervous system disorders	Disease	97	19	HUBMet000096;HUBMet001662;HUBMet002279;HUBMet001095;HUBMet000705;HUBMet000699;HUBMet001841;HUBMet001604;HUBMet003790;HUBMet001702;HUBMet000644;HUBMet000281;HUBMet001850;HUBMet001692;HUBMet001161;HUBMet001179;HUBMet000032;HUBMet003851;HUBMet003840	0.2621012573908885	0.7613412228796844	0.7973454199149504	1.0
Collapse	Disease	14	6	HUBMet001850;HUBMet000705;HUBMet003790;HUBMet001161;HUBMet001773;HUBMet003840	-0.2602031450928524	0.9622641509433962	-0.559537225607583	1.0
Leukemia	Disease	22	10	HUBMet001700;HUBMet001698;HUBMet001701;HUBMet001708;HUBMet001702;HUBMet001707;HUBMet001699;HUBMet001709;HUBMet001710;HUBMet001689	0.31589537223339687	0.7246653919694073	0.8021532597856491	1.0
Schizophrenia	Disease	102	24	HUBMet001707;HUBMet000097;HUBMet001699;HUBMet001689;HUBMet001708;HUBMet000281;HUBMet000008;HUBMet002437;HUBMet001259;HUBMet001095;HUBMet001629;HUBMet001709;HUBMet001702;HUBMet000016;HUBMet001034;HUBMet001701;HUBMet001710;HUBMet000033;HUBMet001765;HUBMet001698;HUBMet001700;HUBMet001432;HUBMet001691;HUBMet001637	-0.17333481535696296	0.9719438877755511	-0.5683419798993984	1.0
Psychosis	Disease	35	6	HUBMet000644;HUBMet001095;HUBMet000096;HUBMet000032;HUBMet001662;HUBMet000281	-0.2827504228349675	0.9287211740041929	-0.6080225781897921	1.0
Weight loss	Disease	33	6	HUBMet001662;HUBMet000032;HUBMet000644;HUBMet000096;HUBMet000281;HUBMet001095	-0.2827504228349675	0.9287211740041929	-0.6080225781897921	1.0
Bleeding	Disease	38	6	HUBMet001662;HUBMet000281;HUBMet000096;HUBMet000644;HUBMet000032;HUBMet001095	-0.2827504228349675	0.9287211740041929	-0.6080225781897921	1.0
Anorexia nervosa	Disease	11	2	HUBMet000228;HUBMet002282	0.9341317365269457	0.03734439834024896	1.419767909216318	1.0
Gastrointestinal disorders	Disease	101	17	HUBMet001662;HUBMet001841;HUBMet000699;HUBMet000032;HUBMet001850;HUBMet001171;HUBMet000644;HUBMet001708;HUBMet003840;HUBMet000427;HUBMet000705;HUBMet001604;HUBMet000096;HUBMet000281;HUBMet003790;HUBMet001095;HUBMet001161	0.2744715807784398	0.7087378640776699	0.8102709662735321	1.0
Adrenoleukodystrophy	Disease	33	6	HUBMet001830;HUBMet002598;HUBMet001692;HUBMet000097;HUBMet000079;HUBMet000276	0.3767535070140275	0.7093690248565966	0.8103689419227486	1.0
Stress response	Disease	18	4	HUBMet000524;HUBMet000909;HUBMet002740;HUBMet002744	0.4481489611385819	0.6963906581740976	0.829359130662318	1.0
Organoleptic effect	Disease	19	4	HUBMet002740;HUBMet000524;HUBMet002744;HUBMet000909	0.4481489611385819	0.6963906581740976	0.829359130662318	1.0
Inflammatory response	Disease	38	6	HUBMet002457;HUBMet002521;HUBMet002520;HUBMet002494;HUBMet002526;HUBMet002554	0.6152304609218437	0.15105162523900573	1.323315240267469	1.0
Cardiovascular disease	Disease	33	5	HUBMet000096;HUBMet000281;HUBMet001095;HUBMet000644;HUBMet001662	-0.30076246536858425	0.9191919191919192	-0.6084546851044178	1.0
Celiac disease	Disease	11	4	HUBMet000123;HUBMet000098;HUBMet001078;HUBMet000398	-0.37424231877522257	0.7920604914933838	-0.7203996106535455	1.0
Hemodialysis	Disease	14	7	HUBMet001662;HUBMet001296;HUBMet001637;HUBMet002829;HUBMet001850;HUBMet000159;HUBMet001704	-0.28187250548534004	0.8997912317327766	-0.6354387241242235	1.0
Epilepsy	Disease	26	10	HUBMet001707;HUBMet001699;HUBMet001709;HUBMet001702;HUBMet001701;HUBMet001708;HUBMet001710;HUBMet000008;HUBMet001691;HUBMet001698	0.3873239436619682	0.4646271510516252	0.9835318631129792	1.0
Diabetes mellitus type 2	Disease	20	5	HUBMet003529;HUBMet001692;HUBMet001267;HUBMet000070;HUBMet001333	-0.3354880217167505	0.8565656565656565	-0.6787058962288037	1.0
Depression	Disease	30	7	HUBMet001179;HUBMet003657;HUBMet001161;HUBMet001850;HUBMet000705;HUBMet003840;HUBMet003790	-0.28612274696049056	0.8893528183716075	-0.6450202475705746	1.0
Chronic renal failure	Disease	10	3	HUBMet000644;HUBMet001689;HUBMet001662	-0.41896132146683396	0.8037735849056604	-0.7252624156556858	1.0
Hypertension	Disease	28	8	HUBMet003790;HUBMet001637;HUBMet003840;HUBMet000705;HUBMet001692;HUBMet001161;HUBMet001850;HUBMet000407	-0.31652185305635877	0.7941176470588235	-0.7412715295898216	1.0
Heart failure	Disease	12	5	HUBMet001698;HUBMet001707;HUBMet001699;HUBMet001701;HUBMet001689	0.41441441441441396	0.6851485148514852	0.8318250287921317	1.0
Very long chain acyl-coa dehydrogenase deficiency	Disease	13	3	HUBMet000123;HUBMet000079;HUBMet000398	0.6046259866316974	0.5042553191489362	1.0156373750814887	1.0
Headache	Disease	30	6	HUBMet000705;HUBMet001850;HUBMet001604;HUBMet003840;HUBMet003790;HUBMet001161	0.46160525261994023	0.4837476099426386	0.9928787740194185	1.0
Vomiting	Disease	80	15	HUBMet001662;HUBMet000281;HUBMet003840;HUBMet000427;HUBMet001841;HUBMet003790;HUBMet000096;HUBMet001708;HUBMet001161;HUBMet000032;HUBMet001095;HUBMet000644;HUBMet000699;HUBMet000705;HUBMet001850	-0.2607231068157156	0.821656050955414	-0.7508193630434115	1.0
D-glyceric acidura	Disease	20	2	HUBMet000415;HUBMet003751	0.5933153993438576	0.6556016597510373	0.9017680602140368	1.0
Pyridoxine dependency with seizures	Disease	16	1	HUBMet001700	-0.6869391824526372	0.6593625498007968	-0.9090522022066747	1.0
Dizziness	Disease	28	4	HUBMet000281;HUBMet000699;HUBMet001064;HUBMet003840	-0.42422936818704393	0.6862003780718336	-0.8166224297399791	1.0
Confusion	Disease	52	8	HUBMet000096;HUBMet001662;HUBMet000644;HUBMet001095;HUBMet001708;HUBMet000699;HUBMet000281;HUBMet000032	-0.32804573459584435	0.7605042016806722	-0.7682596355076312	1.0
Psychiatric disorders	Disease	91	16	HUBMet000705;HUBMet000644;HUBMet003657;HUBMet001179;HUBMet001095;HUBMet000033;HUBMet000096;HUBMet001850;HUBMet001161;HUBMet000032;HUBMet000699;HUBMet001708;HUBMet001662;HUBMet000281;HUBMet003790;HUBMet003840	-0.28333892619713186	0.7255717255717256	-0.8354939787673514	1.0
Glutaminolysis and Cancer	Disease	30	5	HUBMet000033;HUBMet001171;HUBMet001699;HUBMet001691;HUBMet001765	0.41441441441441884	0.6851485148514852	0.8318250287921415	1.0
Sarcosine Oncometabolite Pathway 	Disease	16	4	HUBMet000015;HUBMet001333;HUBMet001701;HUBMet001662	0.4695015435053824	0.6454352441613588	0.8688749182346763	1.0
Cirrhosis	Disease	18	3	HUBMet000016;HUBMet002890;HUBMet001691	0.5414585414585384	0.6234042553191489	0.9095300961607257	1.0
Obesity	Disease	131	19	HUBMet002470;HUBMet002521;HUBMet002548;HUBMet002492;HUBMet002514;HUBMet002547;HUBMet002526;HUBMet002544;HUBMet002538;HUBMet002461;HUBMet002457;HUBMet002539;HUBMet002520;HUBMet002491;HUBMet002543;HUBMet002554;HUBMet002494;HUBMet002485;HUBMet002513	-0.2802750427903429	0.6389452332657201	-0.871025003663613	1.0
The oncogenic action of 2-hydroxyglutarate	Disease	28	2	HUBMet001171;HUBMet001765	0.6706586826347283	0.4896265560165975	1.0193205502065843	1.0
Congenital lactic acidosis	Disease	24	2	HUBMet001171;HUBMet001765	0.6706586826347283	0.4896265560165975	1.0193205502065843	1.0
Aciduria	Disease	15	3	HUBMet001132;HUBMet001268;HUBMet001776	-0.4865567297204382	0.6754716981132075	-0.8422765803656904	1.0
General disorders and administration site conditions	Disease	37	7	HUBMet001161;HUBMet001850;HUBMet003840;HUBMet000281;HUBMet000705;HUBMet003790;HUBMet000427	-0.3408992949525279	0.7369519832985386	-0.7685056499799267	1.0
Atherosclerosis	Disease	127	21	HUBMet002538;HUBMet002461;HUBMet002554;HUBMet002520;HUBMet002547;HUBMet002544;HUBMet002513;HUBMet002539;HUBMet002543;HUBMet002457;HUBMet002521;HUBMet002494;HUBMet002470;HUBMet002492;HUBMet002526;HUBMet002514;HUBMet000281;HUBMet002548;HUBMet002485;HUBMet002491;HUBMet001662	-0.28735156208440443	0.6070686070686071	-0.9098226744643001	1.0
Glycogenosis	Disease	23	2	HUBMet001765;HUBMet000033	0.5499001996007934	0.7344398340248963	0.8357821773271201	1.0
Hypotension	Disease	26	9	HUBMet003657;HUBMet001064;HUBMet001850;HUBMet003840;HUBMet000705;HUBMet003790;HUBMet001773;HUBMet000948;HUBMet001161	0.3706099195661704	0.5594541910331384	0.9141240370645709	1.0
Coma	Disease	71	15	HUBMet001662;HUBMet000281;HUBMet003840;HUBMet003657;HUBMet000427;HUBMet003699;HUBMet003790;HUBMet000096;HUBMet001161;HUBMet000644;HUBMet000032;HUBMet001095;HUBMet001179;HUBMet000705;HUBMet001850	-0.3196693466423422	0.5881104033970276	-0.9205702484979731	1.0
Thyroid cancer	Disease	13	1	HUBMet000554	-0.7028913260219292	0.6155378486055777	-0.9301622678602404	1.0
Meningitis	Disease	14	2	HUBMet000376;HUBMet002881	-0.8422031466752415	0.12162162162162163	-1.2729244872891954	1.0
Seizure	Disease	49	10	HUBMet001095;HUBMet001692;HUBMet001662;HUBMet001702;HUBMet000032;HUBMet000281;HUBMet001604;HUBMet000644;HUBMet000096;HUBMet003840	0.4076894789584593	0.40535372848948376	1.0352460759862532	1.0
Supragingival Plaque	Disease	15	8	HUBMet001666;HUBMet001684;HUBMet000063;HUBMet001815;HUBMet000138;HUBMet001304;HUBMet000096;HUBMet001260	0.5495458813104559	0.1717557251908397	1.3246961556580994	1.0
Blood and lymphatic system disorders	Disease	15	11	HUBMet001662;HUBMet003685;HUBMet003657;HUBMet003699;HUBMet000097;HUBMet001179;HUBMet003165;HUBMet001701;HUBMet001773;HUBMet001095;HUBMet002279	-0.5390169481019818	0.08137044967880086	-1.4143472639670644	1.0
Anemia	Disease	13	11	HUBMet000097;HUBMet003657;HUBMet001095;HUBMet001773;HUBMet001662;HUBMet003165;HUBMet001701;HUBMet003685;HUBMet003699;HUBMet002279;HUBMet001179	-0.5390169481019818	0.08137044967880086	-1.4143472639670644	1.0
Metabolism and nutrition disorders	Disease	185	32	HUBMet002461;HUBMet001841;HUBMet002521;HUBMet002538;HUBMet002544;HUBMet002554;HUBMet002514;HUBMet002548;HUBMet001161;HUBMet002494;HUBMet000407;HUBMet002526;HUBMet002539;HUBMet001850;HUBMet003840;HUBMet000033;HUBMet001268;HUBMet002513;HUBMet002470;HUBMet001637;HUBMet000705;HUBMet002485;HUBMet002547;HUBMet002543;HUBMet000427;HUBMet001710;HUBMet002457;HUBMet002491;HUBMet001078;HUBMet002520;HUBMet002492;HUBMet003790	-0.26553138415496486	0.5641547861507128	-0.9359858195102412	1.0
Congenital disorder of glycosylation CDG-IId	Disease	13	2	HUBMet002598;HUBMet002575	0.6896207584830332	0.44398340248962653	1.0481406252868324	1.0
Infections and infestations	Disease	21	7	HUBMet000376;HUBMet000427;HUBMet002881;HUBMet001358;HUBMet002890;HUBMet002662;HUBMet000674	-0.4249247191557013	0.5198329853862212	-0.9579281985102517	1.0
Asthma	Disease	20	1	HUBMet000705	0.8135593220338986	0.3453815261044177	1.0988502266016231	1.0
MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy)	Disease	29	6	HUBMet001132;HUBMet000407;HUBMet000497;HUBMet001335;HUBMet002575;HUBMet001182	-0.45301658781250553	0.5262054507337526	-0.9741605721497724	1.0
Cystinosis, ocular nonnephropathic	Disease	11	1	HUBMet001336	0.7856430707876376	0.4036144578313253	1.0611445815711755	1.0
The Oncogenic Action of Fumarate and Succinate	Disease	28	4	HUBMet001171;HUBMet001296;HUBMet001704;HUBMet001765	0.6719999999999997	0.22505307855626328	1.2436251874580015	1.0
Hypothyroidism	Disease	12	5	HUBMet002890;HUBMet001708;HUBMet002662;HUBMet001702;HUBMet001709	0.5560077479567196	0.3683168316831683	1.116035410125107	1.0
Endocrine disorders	Disease	12	5	HUBMet001708;HUBMet001702;HUBMet002890;HUBMet002662;HUBMet001709	0.5560077479567196	0.3683168316831683	1.116035410125107	1.0
Tachycardia	Disease	13	3	HUBMet001692;HUBMet001637;HUBMet003851	-0.5713919978683774	0.5188679245283019	-0.9891346036656835	1.0
Hepatobiliary disorders	Disease	19	7	HUBMet002279;HUBMet001078;HUBMet000033;HUBMet000427;HUBMet001637;HUBMet000086;HUBMet002502	-0.5703785465939853	0.1837160751565762	-1.285831746134464	1.0
Stroke	Disease	15	2	HUBMet003851;HUBMet001662	-0.6556886227545013	0.5791505791505791	-0.9910223052906441	1.0
Pain	Disease	24	4	HUBMet003840;HUBMet000281;HUBMet000427;HUBMet001850	-0.6860000000000005	0.15879017013232513	-1.3205191078488254	1.0
Hypoacetylaspartia	Disease	20	6	HUBMet001034;HUBMet001336;HUBMet001691;HUBMet000008;HUBMet001689;HUBMet000736	-0.4949717782407153	0.41509433962264153	-1.0643804303442657	1.0
Ethylmalonic encephalopathy	Disease	18	4	HUBMet000398;HUBMet001692;HUBMet000228;HUBMet001336	0.6157623559031762	0.3227176220806794	1.1395499632286732	1.0
Drowsiness	Disease	20	2	HUBMet003840;HUBMet001179	-0.6596806387225653	0.5598455598455598	-0.9970559266318352	1.0
Abdominal pain	Disease	13	1	HUBMet001850	-0.8085742771684885	0.4063745019920319	-1.0700164528151133	1.0
Primary biliary cirrhosis	Disease	11	2	HUBMet000448;HUBMet002181	-0.6626746506986133	0.5482625482625483	-1.0015811426377286	1.0
Homocarnosinosis	Disease	32	4	HUBMet001171;HUBMet001629;HUBMet001691;HUBMet001336	0.6221846847379724	0.3078556263269639	1.1514353351052957	1.0
Desmosterolosis	Disease	19	1	HUBMet000592	-0.8155533399800537	0.39243027888446214	-1.079252106538548	1.0
Chondrodysplasia Punctata II, X Linked Dominant (CDPX2)	Disease	17	1	HUBMet000592	-0.8155533399800537	0.39243027888446214	-1.079252106538548	1.0
Porphyria	Disease	10	1	HUBMet000592	-0.8155533399800537	0.39243027888446214	-1.079252106538548	1.0
