"Term.Name"	"Group"	"TermClass"	"TermSize"	"N_Hit"	"Hit"	"ES"	"pvalue_nominal"	"NES"	"FDR"	"Supplement"	"main"
"L-Arginine:Glycine Amidinotransferase Deficiency_smpdb_Disease"	1	"smpdb_Disease"	52	48	"HMDB0004224;HMDB0000517;HMDB0000052;HMDB0059597;HMDB0001301;HMDB0001511;HMDB0000208;HMDB0001491;HMDB0000123;HMDB0000254;HMDB0001369;HMDB0001341;HMDB0003125;HMDB0000725;HMDB0002273;HMDB0000191;HMDB0006875;HMDB0006556;HMDB0000128;HMDB0000223;HMDB0000134;HMDB0000045;HMDB0000902;HMDB0001967;HMDB0000064;HMDB0000538;HMDB0001487;HMDB0002234;HMDB0002070;HMDB0001429;HMDB0000250;HMDB0000294;HMDB0001248;HMDB0003411;HMDB0002104;HMDB0001185;HMDB0000051;HMDB0000221;HMDB0000148;HMDB0000162;HMDB0000939;HMDB0000217;HMDB0001333;HMDB0001377;HMDB0000214;HMDB0000904;HMDB0001096;HMDB0002111"	0.562005007372887	0	2.11054911420575	0	"SMPDB_ID:SMP0000507"	FALSE
"Hyperprolinemia Type I_smpdb_Disease"	1	"smpdb_Disease"	52	48	"HMDB0002111;HMDB0000064;HMDB0000123;HMDB0001341;HMDB0000051;HMDB0000254;HMDB0000128;HMDB0000294;HMDB0001369;HMDB0001377;HMDB0000217;HMDB0001511;HMDB0000134;HMDB0000725;HMDB0000214;HMDB0002104;HMDB0003411;HMDB0002273;HMDB0001491;HMDB0000162;HMDB0002070;HMDB0000148;HMDB0000191;HMDB0001185;HMDB0000221;HMDB0000208;HMDB0059597;HMDB0001487;HMDB0003125;HMDB0001301;HMDB0001967;HMDB0001096;HMDB0000045;HMDB0004224;HMDB0006875;HMDB0000902;HMDB0000904;HMDB0000250;HMDB0002234;HMDB0001248;HMDB0000538;HMDB0001429;HMDB0006556;HMDB0000517;HMDB0001333;HMDB0000223;HMDB0000052;HMDB0000939"	0.562005007372887	0	2.11054911420575	0	"SMPDB_ID:SMP0000361"	FALSE
"Prolidase Deficiency (PD)_smpdb_Disease"	1	"smpdb_Disease"	52	48	"HMDB0000052;HMDB0000223;HMDB0000939;HMDB0006875;HMDB0000250;HMDB0001491;HMDB0000254;HMDB0000123;HMDB0000294;HMDB0000064;HMDB0003125;HMDB0001369;HMDB0001429;HMDB0001248;HMDB0000051;HMDB0000221;HMDB0000191;HMDB0000045;HMDB0000134;HMDB0001096;HMDB0000517;HMDB0003411;HMDB0000208;HMDB0000904;HMDB0001301;HMDB0001185;HMDB0000214;HMDB0002273;HMDB0006556;HMDB0001487;HMDB0000162;HMDB0002234;HMDB0059597;HMDB0002111;HMDB0002104;HMDB0002070;HMDB0000217;HMDB0001341;HMDB0004224;HMDB0000725;HMDB0001967;HMDB0000538;HMDB0000148;HMDB0000128;HMDB0001511;HMDB0001377;HMDB0000902;HMDB0001333"	0.562005007372887	0	2.11054911420575	0	"SMPDB_ID:SMP0000207"	FALSE
"Argininemia_smpdb_Disease"	1	"smpdb_Disease"	27	23	"HMDB0001487;HMDB0000208;HMDB0000051;HMDB0000902;HMDB0000052;HMDB0000250;HMDB0001341;HMDB0000223;HMDB0001429;HMDB0001096;HMDB0000294;HMDB0002111;HMDB0000214;HMDB0001967;HMDB0001333;HMDB0000134;HMDB0001491;HMDB0000191;HMDB0000517;HMDB0000045;HMDB0000538;HMDB0000148;HMDB0000904"	0.581895210666416	0.00522648083623693	1.84164544395539	0.0993279037097024	"SMPDB_ID:SMP0000357"	FALSE
"Argininosuccinic Aciduria_smpdb_Disease"	1	"smpdb_Disease"	27	23	"HMDB0001487;HMDB0000208;HMDB0000051;HMDB0000902;HMDB0000052;HMDB0000250;HMDB0001341;HMDB0000223;HMDB0001429;HMDB0001096;HMDB0000294;HMDB0002111;HMDB0000214;HMDB0001967;HMDB0001333;HMDB0000134;HMDB0001491;HMDB0000191;HMDB0000517;HMDB0000045;HMDB0000538;HMDB0000148;HMDB0000904"	0.581895210666416	0.00522648083623693	1.84164544395539	0.0993279037097024	"SMPDB_ID:SMP0000003"	FALSE
"Citrullinemia Type I_smpdb_Disease"	1	"smpdb_Disease"	27	23	"HMDB0002111;HMDB0001341;HMDB0000051;HMDB0000294;HMDB0000134;HMDB0000214;HMDB0001491;HMDB0000148;HMDB0000191;HMDB0000208;HMDB0001487;HMDB0001967;HMDB0001096;HMDB0000045;HMDB0000902;HMDB0000904;HMDB0000250;HMDB0000538;HMDB0001429;HMDB0000517;HMDB0001333;HMDB0000223;HMDB0000052"	0.581895210666416	0.00522648083623693	1.84164544395539	0.0993279037097024	"SMPDB_ID:SMP0000001"	FALSE
"Urea Cycle_smpdb_Metabolic"	1	"smpdb_Metabolic"	27	23	"HMDB0000250;HMDB0000148;HMDB0001096;HMDB0000294;HMDB0002111;HMDB0000045;HMDB0000517;HMDB0000214;HMDB0001333;HMDB0001341;HMDB0000208;HMDB0000904;HMDB0001491;HMDB0000902;HMDB0001487;HMDB0000051;HMDB0000223;HMDB0001429;HMDB0000134;HMDB0000538;HMDB0000052;HMDB0000191;HMDB0001967"	0.581895210666416	0.00522648083623693	1.84164544395539	0.0993279037097024	"SMPDB_ID:SMP0000059"	FALSE
"Ornithine Transcarbamylase Deficiency (OTC Deficiency)_smpdb_Disease"	1	"smpdb_Disease"	27	23	"HMDB0002111;HMDB0001341;HMDB0000051;HMDB0000294;HMDB0000134;HMDB0000214;HMDB0001491;HMDB0000148;HMDB0000191;HMDB0000208;HMDB0001487;HMDB0001967;HMDB0001096;HMDB0000045;HMDB0000902;HMDB0000904;HMDB0000250;HMDB0000538;HMDB0001429;HMDB0000517;HMDB0001333;HMDB0000223;HMDB0000052"	0.581895210666416	0.00522648083623693	1.84164544395539	0.0993279037097024	"SMPDB_ID:SMP0000205"	FALSE
"Carbamoyl Phosphate Synthetase Deficiency_smpdb_Disease"	1	"smpdb_Disease"	27	23	"HMDB0000208;HMDB0000223;HMDB0000902;HMDB0000538;HMDB0000904;HMDB0001487;HMDB0001491;HMDB0001333;HMDB0000250;HMDB0000294;HMDB0000148;HMDB0002111;HMDB0001967;HMDB0000214;HMDB0001429;HMDB0001341;HMDB0000191;HMDB0000045;HMDB0000517;HMDB0000052;HMDB0000134;HMDB0000051;HMDB0001096"	0.581895210666416	0.00522648083623693	1.84164544395539	0.0993279037097024	"SMPDB_ID:SMP0000002"	FALSE
"Disulfiram Action Pathway_smpdb_Drug Action"	1	"smpdb_Drug Action"	77	31	"HMDB0000045;HMDB0000902;HMDB0001185;HMDB0001491;HMDB0000044;HMDB0000020;HMDB0000191;HMDB0000939;HMDB0000158;HMDB0001430;HMDB0000538;HMDB0000221;HMDB0000148;HMDB0004067;HMDB0001377;HMDB0001253;HMDB0003125;HMDB0000990;HMDB0000217;HMDB0001967;HMDB0000134;HMDB0000208;HMDB0001248;HMDB0000223;HMDB0059597;HMDB0000164;HMDB0000250;HMDB0002111;HMDB0001487;HMDB0001264;HMDB0000051"	0.532697826217748	0.0016750418760469	1.83883915157603	0.0995609534907834	"SMPDB_ID:SMP0000429"	FALSE
"Canavan Disease_smpdb_Disease"	1	"smpdb_Disease"	34	20	"HMDB0000223;HMDB0000208;HMDB0000134;HMDB0000191;HMDB0001248;HMDB0000148;HMDB0001377;HMDB0003125;HMDB0000904;HMDB0000052;HMDB0000051;HMDB0000538;HMDB0000045;HMDB0000517;HMDB0001967;HMDB0002111;HMDB0001429;HMDB0001096;HMDB0000250;HMDB0001491"	0.599249551141316	0.00526315789473684	1.84792295755466	0.137023531881813	"SMPDB_ID:SMP0000175"	FALSE
"Aspartate Metabolism_smpdb_Metabolic"	1	"smpdb_Metabolic"	34	20	"HMDB0000223;HMDB0000208;HMDB0000134;HMDB0000191;HMDB0001248;HMDB0000148;HMDB0001377;HMDB0003125;HMDB0000904;HMDB0000052;HMDB0000051;HMDB0000538;HMDB0000045;HMDB0000517;HMDB0001967;HMDB0002111;HMDB0001429;HMDB0001096;HMDB0000250;HMDB0001491"	0.599249551141316	0.00526315789473684	1.84792295755466	0.137023531881813	"SMPDB_ID:SMP0000067"	FALSE
"Hypoacetylaspartia_smpdb_Disease"	1	"smpdb_Disease"	34	20	"HMDB0000223;HMDB0000208;HMDB0000134;HMDB0000191;HMDB0001248;HMDB0000148;HMDB0001377;HMDB0003125;HMDB0000904;HMDB0000052;HMDB0000051;HMDB0000538;HMDB0000045;HMDB0000517;HMDB0001967;HMDB0002111;HMDB0001429;HMDB0001096;HMDB0000250;HMDB0001491"	0.599249551141316	0.00526315789473684	1.84792295755466	0.137023531881813	"SMPDB_ID:SMP0000192"	FALSE
"Tyrosine Metabolism_smpdb_Metabolic"	1	"smpdb_Metabolic"	67	27	"HMDB0000221;HMDB0000044;HMDB0000148;HMDB0000134;HMDB0001253;HMDB0001377;HMDB0003125;HMDB0000939;HMDB0001487;HMDB0001491;HMDB0000902;HMDB0000191;HMDB0004067;HMDB0000020;HMDB0000223;HMDB0001264;HMDB0000164;HMDB0001430;HMDB0000158;HMDB0000208;HMDB0000051;HMDB0001248;HMDB0000217;HMDB0001185;HMDB0001967;HMDB0002111;HMDB0059597"	0.529354686306246	0.00341880341880342	1.75680312668088	0.14762234326379	"SMPDB_ID:SMP0000006"	FALSE
"Alkaptonuria_smpdb_Disease"	1	"smpdb_Disease"	67	27	"HMDB0000044;HMDB0000208;HMDB0000902;HMDB0000223;HMDB0003125;HMDB0000020;HMDB0001487;HMDB0000158;HMDB0001491;HMDB0001248;HMDB0001430;HMDB0000164;HMDB0000148;HMDB0059597;HMDB0001967;HMDB0002111;HMDB0001185;HMDB0000191;HMDB0001377;HMDB0001253;HMDB0001264;HMDB0000134;HMDB0004067;HMDB0000051;HMDB0000939;HMDB0000217;HMDB0000221"	0.529354686306246	0.00341880341880342	1.75680312668088	0.14762234326379	"SMPDB_ID:SMP0000169"	FALSE
"Tyrosinemia, Transient, of the Newborn_smpdb_Disease"	1	"smpdb_Disease"	67	27	"HMDB0003125;HMDB0001377;HMDB0000148;HMDB0000939;HMDB0002111;HMDB0000158;HMDB0001185;HMDB0001253;HMDB0000208;HMDB0000221;HMDB0001491;HMDB0000902;HMDB0001487;HMDB0000044;HMDB0000051;HMDB0000020;HMDB0000223;HMDB0059597;HMDB0000134;HMDB0000217;HMDB0004067;HMDB0001430;HMDB0001248;HMDB0001264;HMDB0000164;HMDB0000191;HMDB0001967"	0.529354686306246	0.00341880341880342	1.75680312668088	0.14762234326379	"SMPDB_ID:SMP0000494"	FALSE
"Hawkinsinuria_smpdb_Disease"	1	"smpdb_Disease"	67	27	"HMDB0000044;HMDB0000148;HMDB0000191;HMDB0002111;HMDB0000051;HMDB0001248;HMDB0000164;HMDB0000902;HMDB0000020;HMDB0001491;HMDB0001264;HMDB0000217;HMDB0001487;HMDB0004067;HMDB0000223;HMDB0000134;HMDB0003125;HMDB0001253;HMDB0000939;HMDB0001430;HMDB0000208;HMDB0059597;HMDB0000221;HMDB0001185;HMDB0001967;HMDB0000158;HMDB0001377"	0.529354686306246	0.00341880341880342	1.75680312668088	0.14762234326379	"SMPDB_ID:SMP0000190"	FALSE
"Dopamine beta-Hydroxylase Deficiency_smpdb_Disease"	1	"smpdb_Disease"	67	27	"HMDB0000044;HMDB0000148;HMDB0000191;HMDB0002111;HMDB0000051;HMDB0001248;HMDB0000164;HMDB0000902;HMDB0000020;HMDB0001491;HMDB0001264;HMDB0000217;HMDB0001487;HMDB0004067;HMDB0000223;HMDB0000134;HMDB0003125;HMDB0001253;HMDB0000939;HMDB0001430;HMDB0000208;HMDB0059597;HMDB0000221;HMDB0001185;HMDB0001967;HMDB0000158;HMDB0001377"	0.529354686306246	0.00341880341880342	1.75680312668088	0.14762234326379	"SMPDB_ID:SMP0000498"	FALSE
"Monoamine Oxidase-A Deficiency (MAO-A)_smpdb_Disease"	1	"smpdb_Disease"	67	27	"HMDB0000221;HMDB0000044;HMDB0000148;HMDB0000134;HMDB0001253;HMDB0001377;HMDB0003125;HMDB0000939;HMDB0001487;HMDB0001491;HMDB0000902;HMDB0000191;HMDB0004067;HMDB0000020;HMDB0000223;HMDB0001264;HMDB0000164;HMDB0001430;HMDB0000158;HMDB0000208;HMDB0000051;HMDB0001248;HMDB0000217;HMDB0001185;HMDB0001967;HMDB0002111;HMDB0059597"	0.529354686306246	0.00341880341880342	1.75680312668088	0.14762234326379	"SMPDB_ID:SMP0000533"	FALSE
"Tyrosinemia Type I_smpdb_Disease"	1	"smpdb_Disease"	67	27	"HMDB0000044;HMDB0000148;HMDB0000191;HMDB0002111;HMDB0000051;HMDB0001248;HMDB0000164;HMDB0000902;HMDB0000020;HMDB0001491;HMDB0001264;HMDB0000217;HMDB0001487;HMDB0004067;HMDB0000223;HMDB0000134;HMDB0003125;HMDB0001253;HMDB0000939;HMDB0001430;HMDB0000208;HMDB0059597;HMDB0000221;HMDB0001185;HMDB0001967;HMDB0000158;HMDB0001377"	0.529354686306246	0.00341880341880342	1.75680312668088	0.14762234326379	"SMPDB_ID:SMP0000218"	FALSE
"One carbon pool by folate_kegg_Cofactors and vitamins metabolism"	1	"kegg_Cofactors and vitamins metabolism"	29	15	"HMDB0001248;HMDB0000902;HMDB0000148;HMDB0001491;HMDB0002111;HMDB0001341;HMDB0000538;HMDB0000217;HMDB0001487;HMDB0059597;HMDB0000221;HMDB0000051;HMDB0001429;HMDB0001967;HMDB0001562"	0.492478338757645	0.0868761552680222	1.41328705103575	0.268583713724258	"KEGG_ID:map00670"	FALSE
"Citrate cycle (TCA cycle)_kegg_Carbohydrate metabolism"	1	"kegg_Carbohydrate metabolism"	32	15	"HMDB0000223;HMDB0000538;HMDB0001967;HMDB0000208;HMDB0000134;HMDB0001248;HMDB0002111;HMDB0001429;HMDB0000254;HMDB0000902;HMDB0001341;HMDB0001487;HMDB0001333;HMDB0059597;HMDB0001072"	0.493262443255604	0.0868761552680222	1.41553723068105	0.281770342444235	"KEGG_ID:map00020"	FALSE
"Nitrogen metabolism_kegg_Energy metabolism"	1	"kegg_Energy metabolism"	31	18	"HMDB0000208;HMDB0001248;HMDB0000051;HMDB0001341;HMDB0000191;HMDB0001451;HMDB0000250;HMDB0000045;HMDB0001491;HMDB0001096;HMDB0001487;HMDB0001967;HMDB0000538;HMDB0000148;HMDB0000123;HMDB0000902;HMDB0001429;HMDB0002111"	0.474672360521769	0.0814159292035398	1.43340181796552	0.286367557809594	"KEGG_ID:map00910"	FALSE
"Histidine metabolism_kegg_Amino acid metabolism"	1	"kegg_Amino acid metabolism"	42	22	"HMDB0002111;HMDB0001341;HMDB0000051;HMDB0000217;HMDB0001377;HMDB0001491;HMDB0000148;HMDB0001185;HMDB0000221;HMDB0000898;HMDB0059597;HMDB0001487;HMDB0003125;HMDB0001967;HMDB0000045;HMDB0000250;HMDB0001248;HMDB0000538;HMDB0001429;HMDB0001333;HMDB0000902;HMDB0000939"	0.490709124080926	0.0358361774744027	1.5555798744219	0.288237611517536	"KEGG_ID:map00340"	FALSE
"Alanine, aspartate and glutamate metabolism_kegg_Amino acid metabolism"	1	"kegg_Amino acid metabolism"	68	32	"HMDB0000517;HMDB0000052;HMDB0001301;HMDB0059597;HMDB0000208;HMDB0001491;HMDB0000123;HMDB0000254;HMDB0001341;HMDB0003125;HMDB0000191;HMDB0000223;HMDB0000134;HMDB0000574;HMDB0000045;HMDB0000902;HMDB0001967;HMDB0000538;HMDB0001487;HMDB0001429;HMDB0000250;HMDB0001248;HMDB0001259;HMDB0000051;HMDB0000221;HMDB0000148;HMDB0000217;HMDB0001333;HMDB0001377;HMDB0000904;HMDB0001096;HMDB0002111"	0.463844252872146	0.0219224283305228	1.60470184018917	0.292526268021084	"KEGG_ID:map00250"	FALSE
"Oxidative phosphorylation_kegg_Energy metabolism"	1	"kegg_Energy metabolism"	19	12	"HMDB0000134;HMDB0001429;HMDB0001487;HMDB0001377;HMDB0000254;HMDB0000538;HMDB0001072;HMDB0002111;HMDB0001341;HMDB0001248;HMDB0059597;HMDB0000902"	0.486361417536011	0.141304347826087	1.33687277154233	0.303776057781713	"KEGG_ID:map00190"	FALSE
"beta-Alanine metabolism_kegg_Metabolism of other amino acids"	1	"kegg_Metabolism of other amino acids"	34	15	"HMDB0001377;HMDB0003125;HMDB0000221;HMDB0000051;HMDB0001487;HMDB0000148;HMDB0001491;HMDB0001248;HMDB0000217;HMDB0000902;HMDB0001967;HMDB0000191;HMDB0002111;HMDB0059597;HMDB0000208"	0.516844612559294	0.0683918669131238	1.48321203358977	0.305791182322756	"KEGG_ID:map00410"	FALSE
"Glycine, serine and threonine metabolism_kegg_Amino acid metabolism"	1	"kegg_Amino acid metabolism"	64	28	"HMDB0000517;HMDB0002134;HMDB0000208;HMDB0001491;HMDB0000123;HMDB0001341;HMDB0003125;HMDB0000214;HMDB0000128;HMDB0000574;HMDB0000045;HMDB0000902;HMDB0000099;HMDB0001967;HMDB0000064;HMDB0000538;HMDB0001487;HMDB0001429;HMDB0000250;HMDB0001248;HMDB0001185;HMDB0000051;HMDB0000148;HMDB0000939;HMDB0001451;HMDB0001377;HMDB0000167;HMDB0002111"	0.390495068960028	0.136286201022147	1.30626372371988	0.338376732672516	"KEGG_ID:map00260"	FALSE
"Phenylalanine metabolism_kegg_Amino acid metabolism"	1	"kegg_Amino acid metabolism"	32	14	"HMDB0000134;HMDB0000158;HMDB0001491;HMDB0000208;HMDB0000250;HMDB0001248;HMDB0003125;HMDB0002111;HMDB0000045;HMDB0000538;HMDB0001377;HMDB0000051;HMDB0000148;HMDB0001967"	0.566162528378603	0.0275229357798165	1.60664715500488	0.356494571857437	"KEGG_ID:map00360"	FALSE
