SMPDB.Name	SMPDB.ID	Pathway.Class	TermSize	N_Hit	Hit	ES	pvalue_nominal	NES	FDR
Hyperprolinemia Type I	SMP0000361	Disease	52	48	HMDB0002111;HMDB0000064;HMDB0000123;HMDB0001341;HMDB0000051;HMDB0000254;HMDB0000128;HMDB0000294;HMDB0001369;HMDB0001377;HMDB0000217;HMDB0001511;HMDB0000134;HMDB0000725;HMDB0000214;HMDB0002104;HMDB0003411;HMDB0002273;HMDB0001491;HMDB0000162;HMDB0002070;HMDB0000148;HMDB0000191;HMDB0001185;HMDB0000221;HMDB0000208;HMDB0059597;HMDB0001487;HMDB0003125;HMDB0001301;HMDB0001967;HMDB0001096;HMDB0000045;HMDB0004224;HMDB0006875;HMDB0000902;HMDB0000904;HMDB0000250;HMDB0002234;HMDB0001248;HMDB0000538;HMDB0001429;HMDB0006556;HMDB0000517;HMDB0001333;HMDB0000223;HMDB0000052;HMDB0000939	0.5620050073728872	0.0	2.110549114205753	0.0
Prolidase Deficiency (PD)	SMP0000207	Disease	52	48	HMDB0000052;HMDB0000223;HMDB0000939;HMDB0006875;HMDB0000250;HMDB0001491;HMDB0000254;HMDB0000123;HMDB0000294;HMDB0000064;HMDB0003125;HMDB0001369;HMDB0001429;HMDB0001248;HMDB0000051;HMDB0000221;HMDB0000191;HMDB0000045;HMDB0000134;HMDB0001096;HMDB0000517;HMDB0003411;HMDB0000208;HMDB0000904;HMDB0001301;HMDB0001185;HMDB0000214;HMDB0002273;HMDB0006556;HMDB0001487;HMDB0000162;HMDB0002234;HMDB0059597;HMDB0002111;HMDB0002104;HMDB0002070;HMDB0000217;HMDB0001341;HMDB0004224;HMDB0000725;HMDB0001967;HMDB0000538;HMDB0000148;HMDB0000128;HMDB0001511;HMDB0001377;HMDB0000902;HMDB0001333	0.5620050073728872	0.0	2.110549114205753	0.0
Argininemia	SMP0000357	Disease	27	23	HMDB0001487;HMDB0000208;HMDB0000051;HMDB0000902;HMDB0000052;HMDB0000250;HMDB0001341;HMDB0000223;HMDB0001429;HMDB0001096;HMDB0000294;HMDB0002111;HMDB0000214;HMDB0001967;HMDB0001333;HMDB0000134;HMDB0001491;HMDB0000191;HMDB0000517;HMDB0000045;HMDB0000538;HMDB0000148;HMDB0000904	0.5818952106664163	0.005226480836236934	1.8416454439553918	0.09932790370970239
Argininosuccinic Aciduria	SMP0000003	Disease	27	23	HMDB0001487;HMDB0000208;HMDB0000051;HMDB0000902;HMDB0000052;HMDB0000250;HMDB0001341;HMDB0000223;HMDB0001429;HMDB0001096;HMDB0000294;HMDB0002111;HMDB0000214;HMDB0001967;HMDB0001333;HMDB0000134;HMDB0001491;HMDB0000191;HMDB0000517;HMDB0000045;HMDB0000538;HMDB0000148;HMDB0000904	0.5818952106664163	0.005226480836236934	1.8416454439553918	0.09932790370970239
Citrullinemia Type I	SMP0000001	Disease	27	23	HMDB0002111;HMDB0001341;HMDB0000051;HMDB0000294;HMDB0000134;HMDB0000214;HMDB0001491;HMDB0000148;HMDB0000191;HMDB0000208;HMDB0001487;HMDB0001967;HMDB0001096;HMDB0000045;HMDB0000902;HMDB0000904;HMDB0000250;HMDB0000538;HMDB0001429;HMDB0000517;HMDB0001333;HMDB0000223;HMDB0000052	0.5818952106664163	0.005226480836236934	1.8416454439553918	0.09932790370970239
Urea Cycle	SMP0000059	Metabolic	27	23	HMDB0000250;HMDB0000148;HMDB0001096;HMDB0000294;HMDB0002111;HMDB0000045;HMDB0000517;HMDB0000214;HMDB0001333;HMDB0001341;HMDB0000208;HMDB0000904;HMDB0001491;HMDB0000902;HMDB0001487;HMDB0000051;HMDB0000223;HMDB0001429;HMDB0000134;HMDB0000538;HMDB0000052;HMDB0000191;HMDB0001967	0.5818952106664163	0.005226480836236934	1.8416454439553918	0.09932790370970239
Ornithine Transcarbamylase Deficiency (OTC Deficiency)	SMP0000205	Disease	27	23	HMDB0002111;HMDB0001341;HMDB0000051;HMDB0000294;HMDB0000134;HMDB0000214;HMDB0001491;HMDB0000148;HMDB0000191;HMDB0000208;HMDB0001487;HMDB0001967;HMDB0001096;HMDB0000045;HMDB0000902;HMDB0000904;HMDB0000250;HMDB0000538;HMDB0001429;HMDB0000517;HMDB0001333;HMDB0000223;HMDB0000052	0.5818952106664163	0.005226480836236934	1.8416454439553918	0.09932790370970239
Carbamoyl Phosphate Synthetase Deficiency	SMP0000002	Disease	27	23	HMDB0000208;HMDB0000223;HMDB0000902;HMDB0000538;HMDB0000904;HMDB0001487;HMDB0001491;HMDB0001333;HMDB0000250;HMDB0000294;HMDB0000148;HMDB0002111;HMDB0001967;HMDB0000214;HMDB0001429;HMDB0001341;HMDB0000191;HMDB0000045;HMDB0000517;HMDB0000052;HMDB0000134;HMDB0000051;HMDB0001096	0.5818952106664163	0.005226480836236934	1.8416454439553918	0.09932790370970239
Disulfiram Action Pathway	SMP0000429	Drug Action	77	31	HMDB0000045;HMDB0000902;HMDB0001185;HMDB0001491;HMDB0000044;HMDB0000020;HMDB0000191;HMDB0000939;HMDB0000158;HMDB0001430;HMDB0000538;HMDB0000221;HMDB0000148;HMDB0004067;HMDB0001377;HMDB0001253;HMDB0003125;HMDB0000990;HMDB0000217;HMDB0001967;HMDB0000134;HMDB0000208;HMDB0001248;HMDB0000223;HMDB0059597;HMDB0000164;HMDB0000250;HMDB0002111;HMDB0001487;HMDB0001264;HMDB0000051	0.5326978262177477	0.0016750418760469012	1.838839151576034	0.09956095349078344
Canavan Disease	SMP0000175	Disease	34	20	HMDB0000223;HMDB0000208;HMDB0000134;HMDB0000191;HMDB0001248;HMDB0000148;HMDB0001377;HMDB0003125;HMDB0000904;HMDB0000052;HMDB0000051;HMDB0000538;HMDB0000045;HMDB0000517;HMDB0001967;HMDB0002111;HMDB0001429;HMDB0001096;HMDB0000250;HMDB0001491	0.5992495511413158	0.005263157894736842	1.8479229575546556	0.13702353188181288
Aspartate Metabolism	SMP0000067	Metabolic	34	20	HMDB0000223;HMDB0000208;HMDB0000134;HMDB0000191;HMDB0001248;HMDB0000148;HMDB0001377;HMDB0003125;HMDB0000904;HMDB0000052;HMDB0000051;HMDB0000538;HMDB0000045;HMDB0000517;HMDB0001967;HMDB0002111;HMDB0001429;HMDB0001096;HMDB0000250;HMDB0001491	0.5992495511413158	0.005263157894736842	1.8479229575546556	0.13702353188181288
Hypoacetylaspartia	SMP0000192	Disease	34	20	HMDB0000223;HMDB0000208;HMDB0000134;HMDB0000191;HMDB0001248;HMDB0000148;HMDB0001377;HMDB0003125;HMDB0000904;HMDB0000052;HMDB0000051;HMDB0000538;HMDB0000045;HMDB0000517;HMDB0001967;HMDB0002111;HMDB0001429;HMDB0001096;HMDB0000250;HMDB0001491	0.5992495511413158	0.005263157894736842	1.8479229575546556	0.13702353188181288
Tyrosine Metabolism	SMP0000006	Metabolic	67	27	HMDB0000221;HMDB0000044;HMDB0000148;HMDB0000134;HMDB0001253;HMDB0001377;HMDB0003125;HMDB0000939;HMDB0001487;HMDB0001491;HMDB0000902;HMDB0000191;HMDB0004067;HMDB0000020;HMDB0000223;HMDB0001264;HMDB0000164;HMDB0001430;HMDB0000158;HMDB0000208;HMDB0000051;HMDB0001248;HMDB0000217;HMDB0001185;HMDB0001967;HMDB0002111;HMDB0059597	0.5293546863062457	0.003418803418803419	1.7568031266808752	0.14762234326379017
Alkaptonuria	SMP0000169	Disease	67	27	HMDB0000044;HMDB0000208;HMDB0000902;HMDB0000223;HMDB0003125;HMDB0000020;HMDB0001487;HMDB0000158;HMDB0001491;HMDB0001248;HMDB0001430;HMDB0000164;HMDB0000148;HMDB0059597;HMDB0001967;HMDB0002111;HMDB0001185;HMDB0000191;HMDB0001377;HMDB0001253;HMDB0001264;HMDB0000134;HMDB0004067;HMDB0000051;HMDB0000939;HMDB0000217;HMDB0000221	0.5293546863062457	0.003418803418803419	1.7568031266808752	0.14762234326379017
Tyrosinemia, Transient, of the Newborn	SMP0000494	Disease	67	27	HMDB0003125;HMDB0001377;HMDB0000148;HMDB0000939;HMDB0002111;HMDB0000158;HMDB0001185;HMDB0001253;HMDB0000208;HMDB0000221;HMDB0001491;HMDB0000902;HMDB0001487;HMDB0000044;HMDB0000051;HMDB0000020;HMDB0000223;HMDB0059597;HMDB0000134;HMDB0000217;HMDB0004067;HMDB0001430;HMDB0001248;HMDB0001264;HMDB0000164;HMDB0000191;HMDB0001967	0.5293546863062457	0.003418803418803419	1.7568031266808752	0.14762234326379017
Hawkinsinuria	SMP0000190	Disease	67	27	HMDB0000044;HMDB0000148;HMDB0000191;HMDB0002111;HMDB0000051;HMDB0001248;HMDB0000164;HMDB0000902;HMDB0000020;HMDB0001491;HMDB0001264;HMDB0000217;HMDB0001487;HMDB0004067;HMDB0000223;HMDB0000134;HMDB0003125;HMDB0001253;HMDB0000939;HMDB0001430;HMDB0000208;HMDB0059597;HMDB0000221;HMDB0001185;HMDB0001967;HMDB0000158;HMDB0001377	0.5293546863062457	0.003418803418803419	1.7568031266808752	0.14762234326379017
Dopamine beta-Hydroxylase Deficiency	SMP0000498	Disease	67	27	HMDB0000044;HMDB0000148;HMDB0000191;HMDB0002111;HMDB0000051;HMDB0001248;HMDB0000164;HMDB0000902;HMDB0000020;HMDB0001491;HMDB0001264;HMDB0000217;HMDB0001487;HMDB0004067;HMDB0000223;HMDB0000134;HMDB0003125;HMDB0001253;HMDB0000939;HMDB0001430;HMDB0000208;HMDB0059597;HMDB0000221;HMDB0001185;HMDB0001967;HMDB0000158;HMDB0001377	0.5293546863062457	0.003418803418803419	1.7568031266808752	0.14762234326379017
Monoamine Oxidase-A Deficiency (MAO-A)	SMP0000533	Disease	67	27	HMDB0000221;HMDB0000044;HMDB0000148;HMDB0000134;HMDB0001253;HMDB0001377;HMDB0003125;HMDB0000939;HMDB0001487;HMDB0001491;HMDB0000902;HMDB0000191;HMDB0004067;HMDB0000020;HMDB0000223;HMDB0001264;HMDB0000164;HMDB0001430;HMDB0000158;HMDB0000208;HMDB0000051;HMDB0001248;HMDB0000217;HMDB0001185;HMDB0001967;HMDB0002111;HMDB0059597	0.5293546863062457	0.003418803418803419	1.7568031266808752	0.14762234326379017
Tyrosinemia Type I	SMP0000218	Disease	67	27	HMDB0000044;HMDB0000148;HMDB0000191;HMDB0002111;HMDB0000051;HMDB0001248;HMDB0000164;HMDB0000902;HMDB0000020;HMDB0001491;HMDB0001264;HMDB0000217;HMDB0001487;HMDB0004067;HMDB0000223;HMDB0000134;HMDB0003125;HMDB0001253;HMDB0000939;HMDB0001430;HMDB0000208;HMDB0059597;HMDB0000221;HMDB0001185;HMDB0001967;HMDB0000158;HMDB0001377	0.5293546863062457	0.003418803418803419	1.7568031266808752	0.14762234326379017
Porphyrin Metabolism	SMP0000024	Metabolic	39	14	HMDB0001248;HMDB0000051;HMDB0000902;HMDB0001491;HMDB0000295;HMDB0001097;HMDB0001487;HMDB0001967;HMDB0000123;HMDB0001377;HMDB0003125;HMDB0002111;HMDB0000936;HMDB0001162	0.5799951689927616	0.022018348623853212	1.6459012058736062	0.30429017324717533
Acute Intermittent Porphyria	SMP0000344	Disease	39	14	HMDB0001248;HMDB0000051;HMDB0000902;HMDB0001491;HMDB0000295;HMDB0001097;HMDB0001487;HMDB0001967;HMDB0000123;HMDB0001377;HMDB0003125;HMDB0002111;HMDB0000936;HMDB0001162	0.5799951689927616	0.022018348623853212	1.6459012058736062	0.30429017324717533
Hereditary Coproporphyria (HCP)	SMP0000342	Disease	39	14	HMDB0001162;HMDB0003125;HMDB0001487;HMDB0000051;HMDB0001967;HMDB0001491;HMDB0000123;HMDB0000936;HMDB0000902;HMDB0000295;HMDB0001377;HMDB0002111;HMDB0001097;HMDB0001248	0.5799951689927616	0.022018348623853212	1.6459012058736062	0.30429017324717533
Porphyria Variegata (PV)	SMP0000346	Disease	39	14	HMDB0002111;HMDB0001487;HMDB0001248;HMDB0000936;HMDB0000295;HMDB0000123;HMDB0000902;HMDB0001162;HMDB0001491;HMDB0000051;HMDB0001967;HMDB0001097;HMDB0001377;HMDB0003125	0.5799951689927616	0.022018348623853212	1.6459012058736062	0.30429017324717533
Congenital Erythropoietic Porphyria (CEP) or Gunther Disease	SMP0000345	Disease	39	14	HMDB0002111;HMDB0001487;HMDB0001248;HMDB0000936;HMDB0000295;HMDB0000123;HMDB0000902;HMDB0001162;HMDB0001491;HMDB0000051;HMDB0001967;HMDB0001097;HMDB0001377;HMDB0003125	0.5799951689927616	0.022018348623853212	1.6459012058736062	0.30429017324717533
Long Chain Acyl-CoA Dehydrogenase Deficiency (LCAD)	SMP0000539	Disease	43	12	HMDB0000045;HMDB0001487;HMDB0001248;HMDB0059597;HMDB0000902;HMDB0000250;HMDB0002111;HMDB0003932;HMDB0000538;HMDB0003937;HMDB0003948;HMDB0001967	0.5744579726717708	0.04891304347826087	1.579025791048558	0.32819626735667795
Carnitine Palmitoyl Transferase Deficiency I	SMP0000538	Disease	43	12	HMDB0002111;HMDB0003932;HMDB0003948;HMDB0000250;HMDB0001248;HMDB0000538;HMDB0003937;HMDB0059597;HMDB0001487;HMDB0000902;HMDB0001967;HMDB0000045	0.5744579726717708	0.04891304347826087	1.579025791048558	0.32819626735667795
Very-Long-Chain Acyl-CoA Dehydrogenase Deficiency (VLCAD)	SMP0000540	Disease	43	12	HMDB0003948;HMDB0001487;HMDB0001967;HMDB0000902;HMDB0003937;HMDB0000045;HMDB0000538;HMDB0003932;HMDB0000250;HMDB0002111;HMDB0059597;HMDB0001248	0.5744579726717708	0.04891304347826087	1.579025791048558	0.32819626735667795
Carnitine Palmitoyl Transferase Deficiency II	SMP0000541	Disease	43	12	HMDB0003948;HMDB0001967;HMDB0000538;HMDB0002111;HMDB0001248;HMDB0000045;HMDB0000250;HMDB0000902;HMDB0001487;HMDB0059597;HMDB0003937;HMDB0003932	0.5744579726717708	0.04891304347826087	1.579025791048558	0.32819626735667795
Glutaric Aciduria Type I-SMP0000185	SMP0000185	Disease	43	12	HMDB0003948;HMDB0000250;HMDB0000902;HMDB0001248;HMDB0000538;HMDB0059597;HMDB0003932;HMDB0002111;HMDB0003937;HMDB0000045;HMDB0001487;HMDB0001967	0.5744579726717708	0.04891304347826087	1.579025791048558	0.32819626735667795
Medium Chain Acyl-CoA Dehydrogenase Deficiency (MCAD)	SMP0000542	Disease	43	12	HMDB0003948;HMDB0001487;HMDB0000250;HMDB0000538;HMDB0001248;HMDB0002111;HMDB0003937;HMDB0000045;HMDB0059597;HMDB0003932;HMDB0001967;HMDB0000902	0.5744579726717708	0.04891304347826087	1.579025791048558	0.32819626735667795
Short-Chain Acyl-CoA Dehydrogenase Deficiency (SCAD Deficiency)	SMP0000235	Disease	43	12	HMDB0003948;HMDB0000250;HMDB0000902;HMDB0001248;HMDB0000538;HMDB0059597;HMDB0003932;HMDB0002111;HMDB0003937;HMDB0000045;HMDB0001487;HMDB0001967	0.5744579726717708	0.04891304347826087	1.579025791048558	0.32819626735667795
Trifunctional Protein Deficiency	SMP0000545	Disease	43	12	HMDB0059597;HMDB0000250;HMDB0000045;HMDB0001487;HMDB0001248;HMDB0003948;HMDB0000902;HMDB0001967;HMDB0003932;HMDB0002111;HMDB0000538;HMDB0003937	0.5744579726717708	0.04891304347826087	1.579025791048558	0.32819626735667795
Ethylmalonic Encephalopathy	SMP0000181	Disease	43	12	HMDB0001487;HMDB0003932;HMDB0000902;HMDB0000250;HMDB0001248;HMDB0002111;HMDB0000045;HMDB0003948;HMDB0000538;HMDB0001967;HMDB0059597;HMDB0003937	0.5744579726717708	0.04891304347826087	1.579025791048558	0.32819626735667795
Fatty Acid Metabolism	SMP0000051	Metabolic	43	12	HMDB0001248;HMDB0003932;HMDB0000902;HMDB0003948;HMDB0002111;HMDB0000538;HMDB0000250;HMDB0003937;HMDB0000045;HMDB0001487;HMDB0059597;HMDB0001967	0.5744579726717708	0.04891304347826087	1.579025791048558	0.32819626735667795
Phenylketonuria	SMP0000206	Disease	27	14	HMDB0000045;HMDB0001491;HMDB0000208;HMDB0001248;HMDB0000134;HMDB0000148;HMDB0001377;HMDB0003125;HMDB0000250;HMDB0002111;HMDB0000051;HMDB0000158;HMDB0000538;HMDB0001967	0.5661625283786034	0.027522935779816515	1.6066471550048766	0.3434751016246505
Phenylalanine and Tyrosine Metabolism	SMP0000008	Metabolic	27	14	HMDB0000134;HMDB0003125;HMDB0000051;HMDB0000158;HMDB0000250;HMDB0000148;HMDB0001248;HMDB0000538;HMDB0000208;HMDB0001377;HMDB0002111;HMDB0001491;HMDB0000045;HMDB0001967	0.5661625283786034	0.027522935779816515	1.6066471550048766	0.3434751016246505
Tyrosinemia Type 3 (TYRO3)	SMP0000370	Disease	27	14	HMDB0001248;HMDB0000051;HMDB0000250;HMDB0000045;HMDB0000134;HMDB0001491;HMDB0000158;HMDB0001967;HMDB0000538;HMDB0000148;HMDB0000208;HMDB0001377;HMDB0003125;HMDB0002111	0.5661625283786034	0.027522935779816515	1.6066471550048766	0.3434751016246505
Tyrosinemia Type 2 (or Richner-Hanhart Syndrome)	SMP0000369	Disease	27	14	HMDB0000045;HMDB0001491;HMDB0000208;HMDB0001248;HMDB0000134;HMDB0000148;HMDB0001377;HMDB0003125;HMDB0000250;HMDB0002111;HMDB0000051;HMDB0000158;HMDB0000538;HMDB0001967	0.5661625283786034	0.027522935779816515	1.6066471550048766	0.3434751016246505
Histidinemia	SMP0000191	Disease	42	22	HMDB0003125;HMDB0001377;HMDB0000250;HMDB0000148;HMDB0000939;HMDB0002111;HMDB0000045;HMDB0001185;HMDB0001333;HMDB0001341;HMDB0000221;HMDB0001491;HMDB0000902;HMDB0001487;HMDB0000051;HMDB0000898;HMDB0059597;HMDB0001429;HMDB0000217;HMDB0000538;HMDB0001248;HMDB0001967	0.49070912408092604	0.03583617747440273	1.5555798744219	0.35887523619835554
Histidine Metabolism	SMP0000044	Metabolic	42	22	HMDB0001248;HMDB0000538;HMDB0002111;HMDB0000045;HMDB0001341;HMDB0000898;HMDB0000902;HMDB0000221;HMDB0001491;HMDB0001487;HMDB0000217;HMDB0001429;HMDB0001377;HMDB0059597;HMDB0001333;HMDB0003125;HMDB0000051;HMDB0000939;HMDB0000148;HMDB0000250;HMDB0001185;HMDB0001967	0.49070912408092604	0.03583617747440273	1.5555798744219	0.35887523619835554
Sucrase-Isomaltase Deficiency	SMP0000557	Disease	30	12	HMDB0000250;HMDB0000660;HMDB0001487;HMDB0001341;HMDB0001491;HMDB0000902;HMDB0006857;HMDB0000295;HMDB0001429;HMDB0002111;HMDB0000538;HMDB0003345	0.5251052246433523	0.07789855072463768	1.4433687618083697	0.3712340918121163
