"Term"	"TermClass"	"TermSize"	"N_Hit"	"Hit"	"pvalue"	"MetaboliteRatio"	"BgRatio"	"FoldEnrichment"	"EnrichmentFactor"	"p.adjust"
"Phenylacetate Metabolism"	"Pathway"	8	1	"HUBMet001696"	0.228709888669145	0.0078125	0.00493522516964837	1.5830078125	3.26814516129032	0.434638081768457
"Purine Metabolism-Adenine Containing"	"Pathway"	8	1	"HUBMet000377"	0.228709888669145	0.0078125	0.00493522516964837	1.5830078125	3.26814516129032	0.434638081768457
"Tyrosine Metabolism"	"Pathway"	29	2	"HUBMet001691;HUBMet001695"	0.236216348787205	0.015625	0.0178901912399753	0.873383620689655	1.80311457174638	0.434638081768457
"Pyrimidine Metabolism"	"Pathway"	32	2	"HUBMet001696;HUBMet003510"	0.272114481738817	0.015625	0.0197409006785935	0.79150390625	1.63407258064516	0.472356638356593
"Pyrimidine Metabolism-Uracil Containing"	"Pathway"	10	1	"HUBMet000139"	0.277252809470174	0.0078125	0.00616903146206046	1.26640625	2.61451612903226	0.472356638356593
"Folate Metabolism"	"Pathway"	11	1	"HUBMet001695"	0.300374939034737	0.0078125	0.0067859346082665	1.15127840909091	2.37683284457478	0.492203298891898
"Tryptophan Metabolism"	"Pathway"	62	3	"HUBMet000003;HUBMet001695;HUBMet002279"	0.317281512337535	0.0234375	0.0382479950647748	0.612777217741935	1.26508844953174	0.492203298891898
"Cysteine Metabolism"	"Pathway"	12	1	"HUBMet001695"	0.322762940985626	0.0078125	0.00740283775447255	1.05533854166667	2.17876344086022	0.492203298891898
"Lysine Metabolism"	"Pathway"	37	2	"HUBMet001695;HUBMet001705"	0.331702223166279	0.015625	0.0228254164096237	0.684543918918919	1.41325196163906	0.492203298891898
"Betaine Metabolism"	"Pathway"	14	1	"HUBMet000377"	0.365428362057325	0.0078125	0.00863664404688464	0.904575892857143	1.86751152073733	0.500972533377459
"Warburg effect"	"Pathway"	40	2	"HUBMet001695;HUBMet001696"	0.366852502857542	0.015625	0.0246761258482418	0.633203125	1.30725806451613	0.500972533377459
"Leucine, Isoleucine and Valine Metabolism"	"Pathway"	68	3	"HUBMet000210;HUBMet001695;HUBMet001699"	0.370284046409426	0.0234375	0.0419494139420111	0.558708639705882	1.15346299810247	0.500972533377459
"Arachidonic Acid Metabolism"	"Pathway"	18	1	"HUBMet001695"	0.442920211050463	0.0078125	0.0111042566317088	0.703559027777778	1.45250896057348	0.582123705952037
"Propanoate Metabolism"	"Pathway"	24	1	"HUBMet001695"	0.541895613782229	0.0078125	0.0148056755089451	0.527669270833333	1.08938172043011	0.692422173166181
"Methionine Metabolism"	"Pathway"	27	1	"HUBMet000377"	0.584626070499192	0.0078125	0.0166563849475632	0.469039351851852	0.968339307048984	0.726832411971968
"Cardiolipin Biosynthesis"	"Pathway"	30	1	"HUBMet002787"	0.62339900673391	0.0078125	0.0185070943861814	0.422135416666667	0.871505376344086	0.754640902888417
"Methionine, Cysteine, SAM and Taurine Metabolism"	"Pathway"	33	1	"HUBMet001695"	0.658578333054862	0.0078125	0.0203578038247995	0.38375946969697	0.79227761485826	0.776784700526247
"Histidine Metabolism"	"Pathway"	42	1	"HUBMet001695"	0.745713223335955	0.0078125	0.0259099321406539	0.301525297619048	0.622503840245776	0.857570206836348
"De Novo Triacylglycerol Biosynthesis"	"Pathway"	201	5	"HUBMet001452;HUBMet001478;HUBMet001483;HUBMet001486;HUBMet002548"	0.778217147767613	0.0390625	0.123997532387415	0.315026430348259	0.650377146525437	0.873121677983176
"Lipid peroxidation"	"Pathway"	60	1	"HUBMet001434"	0.85923264594873	0.0078125	0.0370141887723627	0.211067708333333	0.435752688172043	0.941064326515276
"Phenylalanine and Tyrosine Metabolism"	"Pathway"	69	1	"HUBMet001695"	0.895372781883131	0.0078125	0.0425663170882171	0.183537137681159	0.378915381019168	0.957840650386605
"Lipid transport"	"Pathway"	875	21	"HUBMet000162;HUBMet000210;HUBMet000258;HUBMet000637;HUBMet001152;HUBMet001434;HUBMet001452;HUBMet001478;HUBMet001483;HUBMet001486;HUBMet001737;HUBMet001908;HUBMet002045;HUBMet002048;HUBMet002055;HUBMet002134;HUBMet002227;HUBMet002239;HUBMet002682;HUBMet002787;HUBMet003125"	0.950648417953025	0.1640625	0.53979025293029	0.3039375	0.627483870967742	0.971465493657396
"Fatty Acid Metabolism"	"Pathway"	895	21	"HUBMet000162;HUBMet000210;HUBMet000258;HUBMet000637;HUBMet001152;HUBMet001434;HUBMet001452;HUBMet001478;HUBMet001483;HUBMet001486;HUBMet001737;HUBMet001908;HUBMet002045;HUBMet002048;HUBMet002055;HUBMet002134;HUBMet002227;HUBMet002239;HUBMet002682;HUBMet002787;HUBMet003125"	0.962827429799461	0.1640625	0.552128315854411	0.297145600558659	0.613461885024329	0.971465493657396
"Lipid metabolism"	"Pathway"	1122	27	"HUBMet000162;HUBMet000190;HUBMet000197;HUBMet000210;HUBMet000258;HUBMet000412;HUBMet000637;HUBMet000655;HUBMet001152;HUBMet001434;HUBMet001452;HUBMet001478;HUBMet001483;HUBMet001486;HUBMet001737;HUBMet001908;HUBMet002045;HUBMet002048;HUBMet002055;HUBMet002134;HUBMet002227;HUBMet002239;HUBMet002548;HUBMet002682;HUBMet002787;HUBMet003090;HUBMet003125"	0.971465493657396	0.2109375	0.692165330043183	0.304750167112299	0.629161635328618	0.971465493657396
