"SMPDB.Name"	"SMPDB.ID"	"Pathway.Class"	"TermSize"	"N_Hit"	"Hit"	"pvalue"	"MetaboliteRatio"	"BgRatio"	"FoldEnrichment"	"EnrichmentFactor"	"p.adjust"
"2-Hydroxyglutric Aciduria (D and L Form)"	"SMP0000136"	"Disease"	32	7	"HMDB0000148;HMDB0000641;HMDB0001397;HMDB0001301;HMDB0000161;HMDB0000191;HMDB0000112"	7.2258730181609e-08	0.0210843373493976	0.00275719455454075	7.64702560240964	12.6940625	1.99915820169118e-06
"Succinic Semialdehyde Dehydrogenase Deficiency"	"SMP0000567"	"Disease"	32	7	"HMDB0000148;HMDB0000641;HMDB0001397;HMDB0001301;HMDB0000161;HMDB0000191;HMDB0000112"	7.2258730181609e-08	0.0210843373493976	0.00275719455454075	7.64702560240964	12.6940625	1.99915820169118e-06
"Mercaptopurine Action Pathway"	"SMP0000428"	"Drug Action"	47	7	"HMDB0000641;HMDB0000588;HMDB0001397;HMDB0000132;HMDB0000148;HMDB0000191;HMDB0000050"	1.16208849431285e-06	0.0210843373493976	0.00404962950198173	5.20648551653422	8.64276595744681	2.50528037010438e-05
"Azathioprine Action Pathway"	"SMP0000427"	"Drug Action"	48	7	"HMDB0000641;HMDB0000588;HMDB0001397;HMDB0000132;HMDB0000148;HMDB0000191;HMDB0000050"	1.34697121185925e-06	0.0210843373493976	0.00413579183181113	5.0980170682731	8.46270833333333	2.50528037010438e-05
"Thioguanine Action Pathway"	"SMP0000430"	"Drug Action"	48	7	"HMDB0000641;HMDB0000588;HMDB0001397;HMDB0000132;HMDB0000148;HMDB0000191;HMDB0000050"	1.34697121185925e-06	0.0210843373493976	0.00413579183181113	5.0980170682731	8.46270833333333	2.50528037010438e-05
"Urea Cycle"	"SMP0000059"	"Metabolic"	18	5	"HMDB0000641;HMDB0000161;HMDB0000148;HMDB0000191;HMDB0000517"	1.58466529434313e-06	0.0150602409638554	0.00155092193692917	9.71050870147254	16.1194444444444	2.50528037010438e-05
"Argininemia"	"SMP0000357"	"Disease"	18	5	"HMDB0000641;HMDB0000161;HMDB0000148;HMDB0000191;HMDB0000517"	1.58466529434313e-06	0.0150602409638554	0.00155092193692917	9.71050870147254	16.1194444444444	2.50528037010438e-05
"Argininosuccinic Aciduria"	"SMP0000003"	"Disease"	18	5	"HMDB0000641;HMDB0000161;HMDB0000148;HMDB0000191;HMDB0000517"	1.58466529434313e-06	0.0150602409638554	0.00155092193692917	9.71050870147254	16.1194444444444	2.50528037010438e-05
"Citrullinemia Type I"	"SMP0000001"	"Disease"	18	5	"HMDB0000641;HMDB0000161;HMDB0000148;HMDB0000191;HMDB0000517"	1.58466529434313e-06	0.0150602409638554	0.00155092193692917	9.71050870147254	16.1194444444444	2.50528037010438e-05
"Ornithine Transcarbamylase Deficiency (OTC Deficiency)"	"SMP0000205"	"Disease"	18	5	"HMDB0000641;HMDB0000161;HMDB0000148;HMDB0000191;HMDB0000517"	1.58466529434313e-06	0.0150602409638554	0.00155092193692917	9.71050870147254	16.1194444444444	2.50528037010438e-05
"Carbamoyl Phosphate Synthetase Deficiency"	"SMP0000002"	"Disease"	18	5	"HMDB0000641;HMDB0000161;HMDB0000148;HMDB0000191;HMDB0000517"	1.58466529434313e-06	0.0150602409638554	0.00155092193692917	9.71050870147254	16.1194444444444	2.50528037010438e-05
"Purine Metabolism"	"SMP0000050"	"Metabolic"	42	6	"HMDB0001397;HMDB0000132;HMDB0000148;HMDB0000641;HMDB0000191;HMDB0000050"	8.86467982099737e-06	0.0180722891566265	0.00361881785283474	4.99397590361446	8.29	8.40878200163179e-05
"Adenosine Deaminase Deficiency"	"SMP0000144"	"Disease"	42	6	"HMDB0001397;HMDB0000132;HMDB0000148;HMDB0000641;HMDB0000191;HMDB0000050"	8.86467982099737e-06	0.0180722891566265	0.00361881785283474	4.99397590361446	8.29	8.40878200163179e-05
"Adenylosuccinate Lyase Deficiency"	"SMP0000167"	"Disease"	42	6	"HMDB0001397;HMDB0000132;HMDB0000148;HMDB0000641;HMDB0000191;HMDB0000050"	8.86467982099737e-06	0.0180722891566265	0.00361881785283474	4.99397590361446	8.29	8.40878200163179e-05
"Gout or Kelley-Seegmiller Syndrome"	"SMP0000365"	"Disease"	42	6	"HMDB0001397;HMDB0000132;HMDB0000148;HMDB0000641;HMDB0000191;HMDB0000050"	8.86467982099737e-06	0.0180722891566265	0.00361881785283474	4.99397590361446	8.29	8.40878200163179e-05
"Lesch-Nyhan Syndrome (LNS)"	"SMP0000364"	"Disease"	42	6	"HMDB0001397;HMDB0000132;HMDB0000148;HMDB0000641;HMDB0000191;HMDB0000050"	8.86467982099737e-06	0.0180722891566265	0.00361881785283474	4.99397590361446	8.29	8.40878200163179e-05
"Molybdenum Cofactor Deficiency"	"SMP0000203"	"Disease"	42	6	"HMDB0001397;HMDB0000132;HMDB0000148;HMDB0000641;HMDB0000191;HMDB0000050"	8.86467982099737e-06	0.0180722891566265	0.00361881785283474	4.99397590361446	8.29	8.40878200163179e-05
"Xanthine Dehydrogenase Deficiency (Xanthinuria)"	"SMP0000220"	"Disease"	42	6	"HMDB0001397;HMDB0000132;HMDB0000148;HMDB0000641;HMDB0000191;HMDB0000050"	8.86467982099737e-06	0.0180722891566265	0.00361881785283474	4.99397590361446	8.29	8.40878200163179e-05
"Purine Nucleoside Phosphorylase Deficiency"	"SMP0000210"	"Disease"	42	6	"HMDB0001397;HMDB0000132;HMDB0000148;HMDB0000641;HMDB0000191;HMDB0000050"	8.86467982099737e-06	0.0180722891566265	0.00361881785283474	4.99397590361446	8.29	8.40878200163179e-05
"AICA-Ribosiduria"	"SMP0000168"	"Disease"	42	6	"HMDB0001397;HMDB0000132;HMDB0000148;HMDB0000641;HMDB0000191;HMDB0000050"	8.86467982099737e-06	0.0180722891566265	0.00361881785283474	4.99397590361446	8.29	8.40878200163179e-05
"Xanthinuria Type I"	"SMP0000512"	"Disease"	42	6	"HMDB0001397;HMDB0000132;HMDB0000148;HMDB0000641;HMDB0000191;HMDB0000050"	8.86467982099737e-06	0.0180722891566265	0.00361881785283474	4.99397590361446	8.29	8.40878200163179e-05
"Xanthinuria Type II"	"SMP0000513"	"Disease"	42	6	"HMDB0001397;HMDB0000132;HMDB0000148;HMDB0000641;HMDB0000191;HMDB0000050"	8.86467982099737e-06	0.0180722891566265	0.00361881785283474	4.99397590361446	8.29	8.40878200163179e-05
"Adenine Phosphoribosyltransferase Deficiency (APRT)"	"SMP0000535"	"Disease"	42	6	"HMDB0001397;HMDB0000132;HMDB0000148;HMDB0000641;HMDB0000191;HMDB0000050"	8.86467982099737e-06	0.0180722891566265	0.00361881785283474	4.99397590361446	8.29	8.40878200163179e-05
"Mitochondrial DNA Depletion Syndrome-3"	"SMP0000536"	"Disease"	42	6	"HMDB0001397;HMDB0000132;HMDB0000148;HMDB0000641;HMDB0000191;HMDB0000050"	8.86467982099737e-06	0.0180722891566265	0.00361881785283474	4.99397590361446	8.29	8.40878200163179e-05
"Myoadenylate Deaminase Deficiency"	"SMP0000537"	"Disease"	42	6	"HMDB0001397;HMDB0000132;HMDB0000148;HMDB0000641;HMDB0000191;HMDB0000050"	8.86467982099737e-06	0.0180722891566265	0.00361881785283474	4.99397590361446	8.29	8.40878200163179e-05
"Glutaminolysis and Cancer"	"SMP0002298"	"Disease"	30	5	"HMDB0000641;HMDB0000148;HMDB0000191;HMDB0000161;HMDB0000687"	2.34953558851122e-05	0.0150602409638554	0.00258486989488196	5.82630522088353	9.67166666666667	0.000179439419279834
"Arginine and Proline Metabolism"	"SMP0000020"	"Metabolic"	33	5	"HMDB0000191;HMDB0000517;HMDB0000148;HMDB0001301;HMDB0002273"	3.80241583113324e-05	0.0150602409638554	0.00284335688437015	5.29664110989411	8.79242424242424	0.000179439419279834
"Prolidase Deficiency (PD)"	"SMP0000207"	"Disease"	33	5	"HMDB0000191;HMDB0000517;HMDB0000148;HMDB0001301;HMDB0002273"	3.80241583113324e-05	0.0150602409638554	0.00284335688437015	5.29664110989411	8.79242424242424	0.000179439419279834
"Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency)"	"SMP0000362"	"Disease"	33	5	"HMDB0000191;HMDB0000517;HMDB0000148;HMDB0001301;HMDB0002273"	3.80241583113324e-05	0.0150602409638554	0.00284335688437015	5.29664110989411	8.79242424242424	0.000179439419279834
"Hyperprolinemia Type II"	"SMP0000360"	"Disease"	33	5	"HMDB0000191;HMDB0000517;HMDB0000148;HMDB0001301;HMDB0002273"	3.80241583113324e-05	0.0150602409638554	0.00284335688437015	5.29664110989411	8.79242424242424	0.000179439419279834
"Hyperprolinemia Type I"	"SMP0000361"	"Disease"	33	5	"HMDB0000191;HMDB0000517;HMDB0000148;HMDB0001301;HMDB0002273"	3.80241583113324e-05	0.0150602409638554	0.00284335688437015	5.29664110989411	8.79242424242424	0.000179439419279834
"Prolinemia Type II"	"SMP0000208"	"Disease"	33	5	"HMDB0000191;HMDB0000517;HMDB0000148;HMDB0001301;HMDB0002273"	3.80241583113324e-05	0.0150602409638554	0.00284335688437015	5.29664110989411	8.79242424242424	0.000179439419279834
"Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency)"	"SMP0000188"	"Disease"	33	5	"HMDB0000191;HMDB0000517;HMDB0000148;HMDB0001301;HMDB0002273"	3.80241583113324e-05	0.0150602409638554	0.00284335688437015	5.29664110989411	8.79242424242424	0.000179439419279834
"Ornithine Aminotransferase Deficiency (OAT Deficiency)"	"SMP0000363"	"Disease"	33	5	"HMDB0000191;HMDB0000517;HMDB0000148;HMDB0001301;HMDB0002273"	3.80241583113324e-05	0.0150602409638554	0.00284335688437015	5.29664110989411	8.79242424242424	0.000179439419279834
"Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency"	"SMP0000504"	"Disease"	33	5	"HMDB0000191;HMDB0000517;HMDB0000148;HMDB0001301;HMDB0002273"	3.80241583113324e-05	0.0150602409638554	0.00284335688437015	5.29664110989411	8.79242424242424	0.000179439419279834
"Hyperornithinemia with Gyrate Atrophy (HOGA)"	"SMP0000505"	"Disease"	33	5	"HMDB0000191;HMDB0000517;HMDB0000148;HMDB0001301;HMDB0002273"	3.80241583113324e-05	0.0150602409638554	0.00284335688437015	5.29664110989411	8.79242424242424	0.000179439419279834
"Hyperornithinemia-Hyperammonemia-Homocitrullinuria (HHH-syndrome)"	"SMP0000506"	"Disease"	33	5	"HMDB0000191;HMDB0000517;HMDB0000148;HMDB0001301;HMDB0002273"	3.80241583113324e-05	0.0150602409638554	0.00284335688437015	5.29664110989411	8.79242424242424	0.000179439419279834
"L-Arginine:Glycine Amidinotransferase Deficiency"	"SMP0000507"	"Disease"	33	5	"HMDB0000191;HMDB0000517;HMDB0000148;HMDB0001301;HMDB0002273"	3.80241583113324e-05	0.0150602409638554	0.00284335688437015	5.29664110989411	8.79242424242424	0.000179439419279834
"Clomocycline Action Pathway"	"SMP0000262"	"Drug Action"	17	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	3.83740926773139e-05	0.0120481927710843	0.00146475960709978	8.22537207654143	13.6541176470588	0.000179439419279834
"Roxithromycin Action Pathway"	"SMP0000251"	"Drug Action"	17	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	3.83740926773139e-05	0.0120481927710843	0.00146475960709978	8.22537207654143	13.6541176470588	0.000179439419279834
"Telithromycin Action Pathway"	"SMP0000252"	"Drug Action"	17	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	3.83740926773139e-05	0.0120481927710843	0.00146475960709978	8.22537207654143	13.6541176470588	0.000179439419279834
"Amikacin Action Pathway"	"SMP0000253"	"Drug Action"	17	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	3.83740926773139e-05	0.0120481927710843	0.00146475960709978	8.22537207654143	13.6541176470588	0.000179439419279834
"Gentamicin Action Pathway"	"SMP0000254"	"Drug Action"	17	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	3.83740926773139e-05	0.0120481927710843	0.00146475960709978	8.22537207654143	13.6541176470588	0.000179439419279834
"Kanamycin Action Pathway"	"SMP0000255"	"Drug Action"	17	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	3.83740926773139e-05	0.0120481927710843	0.00146475960709978	8.22537207654143	13.6541176470588	0.000179439419279834
"Neomycin Action Pathway"	"SMP0000256"	"Drug Action"	17	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	3.83740926773139e-05	0.0120481927710843	0.00146475960709978	8.22537207654143	13.6541176470588	0.000179439419279834
"Netilmicin Action Pathway"	"SMP0000257"	"Drug Action"	17	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	3.83740926773139e-05	0.0120481927710843	0.00146475960709978	8.22537207654143	13.6541176470588	0.000179439419279834
"Spectinomycin Action Pathway"	"SMP0000258"	"Drug Action"	17	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	3.83740926773139e-05	0.0120481927710843	0.00146475960709978	8.22537207654143	13.6541176470588	0.000179439419279834
"Streptomycin Action Pathway"	"SMP0000259"	"Drug Action"	17	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	3.83740926773139e-05	0.0120481927710843	0.00146475960709978	8.22537207654143	13.6541176470588	0.000179439419279834
"Demeclocycline Action Pathway"	"SMP0000290"	"Drug Action"	17	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	3.83740926773139e-05	0.0120481927710843	0.00146475960709978	8.22537207654143	13.6541176470588	0.000179439419279834
"Minocycline Action Pathway"	"SMP0000292"	"Drug Action"	17	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	3.83740926773139e-05	0.0120481927710843	0.00146475960709978	8.22537207654143	13.6541176470588	0.000179439419279834
"Oxytetracycline Action Pathway"	"SMP0000293"	"Drug Action"	17	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	3.83740926773139e-05	0.0120481927710843	0.00146475960709978	8.22537207654143	13.6541176470588	0.000179439419279834
"Lymecycline Action Pathway"	"SMP0000295"	"Drug Action"	17	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	3.83740926773139e-05	0.0120481927710843	0.00146475960709978	8.22537207654143	13.6541176470588	0.000179439419279834
"Tobramycin Action Pathway"	"SMP0000711"	"Drug Action"	17	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	3.83740926773139e-05	0.0120481927710843	0.00146475960709978	8.22537207654143	13.6541176470588	0.000179439419279834
"Tigecycline Action Pathway"	"SMP0000712"	"Drug Action"	17	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	3.83740926773139e-05	0.0120481927710843	0.00146475960709978	8.22537207654143	13.6541176470588	0.000179439419279834
"Arbekacin Action Pathway"	"SMP0000713"	"Drug Action"	17	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	3.83740926773139e-05	0.0120481927710843	0.00146475960709978	8.22537207654143	13.6541176470588	0.000179439419279834
"Paromomycin Action Pathway"	"SMP0000714"	"Drug Action"	17	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	3.83740926773139e-05	0.0120481927710843	0.00146475960709978	8.22537207654143	13.6541176470588	0.000179439419279834
"Rolitetracycline Action Pathway"	"SMP0000726"	"Drug Action"	17	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	3.83740926773139e-05	0.0120481927710843	0.00146475960709978	8.22537207654143	13.6541176470588	0.000179439419279834
"Methacycline Action Pathway"	"SMP0000727"	"Drug Action"	17	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	3.83740926773139e-05	0.0120481927710843	0.00146475960709978	8.22537207654143	13.6541176470588	0.000179439419279834
"Lincomycin Action Pathway"	"SMP0000728"	"Drug Action"	17	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	3.83740926773139e-05	0.0120481927710843	0.00146475960709978	8.22537207654143	13.6541176470588	0.000179439419279834
"Chloramphenicol Action Pathway"	"SMP0000729"	"Drug Action"	17	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	3.83740926773139e-05	0.0120481927710843	0.00146475960709978	8.22537207654143	13.6541176470588	0.000179439419279834
"Troleandomycin Action Pathway"	"SMP0000730"	"Drug Action"	17	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	3.83740926773139e-05	0.0120481927710843	0.00146475960709978	8.22537207654143	13.6541176470588	0.000179439419279834
"Ammonia Recycling"	"SMP0000009"	"Metabolic"	18	4	"HMDB0000168;HMDB0000191;HMDB0000641;HMDB0000148"	4.88853576438771e-05	0.0120481927710843	0.00155092193692917	7.76840696117802	12.8955555555556	0.000205442262503382
"Azithromycin Action Pathway"	"SMP0000247"	"Drug Action"	18	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	4.88853576438771e-05	0.0120481927710843	0.00155092193692917	7.76840696117802	12.8955555555556	0.000205442262503382
"Clarithromycin Action Pathway"	"SMP0000248"	"Drug Action"	18	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	4.88853576438771e-05	0.0120481927710843	0.00155092193692917	7.76840696117802	12.8955555555556	0.000205442262503382
"Clindamycin Action Pathway"	"SMP0000249"	"Drug Action"	18	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	4.88853576438771e-05	0.0120481927710843	0.00155092193692917	7.76840696117802	12.8955555555556	0.000205442262503382
"Erythromycin Action Pathway"	"SMP0000250"	"Drug Action"	18	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	4.88853576438771e-05	0.0120481927710843	0.00155092193692917	7.76840696117802	12.8955555555556	0.000205442262503382
"Doxycycline Action Pathway"	"SMP0000291"	"Drug Action"	18	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	4.88853576438771e-05	0.0120481927710843	0.00155092193692917	7.76840696117802	12.8955555555556	0.000205442262503382
"Tetracycline Action Pathway"	"SMP0000294"	"Drug Action"	18	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	4.88853576438771e-05	0.0120481927710843	0.00155092193692917	7.76840696117802	12.8955555555556	0.000205442262503382
"Josamycin Action Pathway"	"SMP0000731"	"Drug Action"	18	4	"HMDB0001397;HMDB0000161;HMDB0000168;HMDB0000687"	4.88853576438771e-05	0.0120481927710843	0.00155092193692917	7.76840696117802	12.8955555555556	0.000205442262503382
"Capecitabine Action Pathway"	"SMP0000469"	"Drug Action"	5	2	"HMDB0014515;HMDB0000588"	0.0013253157500973	0.00602409638554217	0.000430811649146993	13.9831325301205	23.212	0.0053052976214777
"Capecitabine Metabolism Pathway"	"SMP0000607"	"Drug Metabolism"	5	2	"HMDB0014515;HMDB0000588"	0.0013253157500973	0.00602409638554217	0.000430811649146993	13.9831325301205	23.212	0.0053052976214777
"Arachidonic Acid Metabolism"	"SMP0000075"	"Metabolic"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Leukotriene C4 Synthesis Deficiency"	"SMP0000353"	"Disease"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Piroxicam Action Pathway"	"SMP0000077"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Acetylsalicylic Acid Action Pathway"	"SMP0000083"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
