"Term.Name"	"Group"	"TermClass"	"TermSize"	"N_Hit"	"Hit"	"pvalue"	"MetaboliteRatio"	"BgRatio"	"FoldEnrichment"	"EnrichmentFactor"	"p.adjust"	"Supplement"	"main"
"Purine Metabolism-Adenine Containing_HUBMet_Pathway"	13	"HUBMet_Pathway"	8	1	"HUBMet000377"	0.228709888669145	0.0078125	0.00493522516964837	1.5830078125	3.26814516129032	0.434638081768457	""	TRUE
"Tyrosine Metabolism_HUBMet_Pathway"	14	"HUBMet_Pathway"	29	2	"HUBMet001691;HUBMet001695"	0.236216348787205	0.015625	0.0178901912399753	0.873383620689655	1.80311457174638	0.434638081768457	""	TRUE
"Phenylalanine and Tyrosine Metabolism_HUBMet_Pathway"	14	"HUBMet_Pathway"	69	1	"HUBMet001695"	0.895372781883131	0.0078125	0.0425663170882171	0.183537137681159	0.378915381019168	0.957840650386605	""	FALSE
"Pyrimidine Metabolism_HUBMet_Pathway"	15	"HUBMet_Pathway"	32	2	"HUBMet001696;HUBMet003510"	0.272114481738817	0.015625	0.0197409006785935	0.79150390625	1.63407258064516	0.472356638356593	""	TRUE
"Pyrimidine Metabolism-Uracil Containing_HUBMet_Pathway"	16	"HUBMet_Pathway"	10	1	"HUBMet000139"	0.277252809470174	0.0078125	0.00616903146206046	1.26640625	2.61451612903226	0.472356638356593	""	TRUE
"Tryptophan Metabolism_HUBMet_Pathway"	17	"HUBMet_Pathway"	62	3	"HUBMet000003;HUBMet001695;HUBMet002279"	0.317281512337535	0.0234375	0.0382479950647748	0.612777217741935	1.26508844953174	0.492203298891898	""	TRUE
"Leucine, Isoleucine and Valine Metabolism_HUBMet_Pathway"	18	"HUBMet_Pathway"	68	3	"HUBMet000210;HUBMet001695;HUBMet001699"	0.370284046409426	0.0234375	0.0419494139420111	0.558708639705882	1.15346299810247	0.500972533377459	""	TRUE
"Arachidonic Acid Metabolism_HUBMet_Pathway"	19	"HUBMet_Pathway"	18	1	"HUBMet001695"	0.442920211050463	0.0078125	0.0111042566317088	0.703559027777778	1.45250896057348	0.582123705952037	""	TRUE
"Cardiolipin Biosynthesis_HUBMet_Pathway"	20	"HUBMet_Pathway"	30	1	"HUBMet002787"	0.62339900673391	0.0078125	0.0185070943861814	0.422135416666667	0.871505376344086	0.754640902888417	""	TRUE
"Phosphatidylglycerol (PG)_HUBMet_Class"	20	"HUBMet_Class"	28	1	"HUBMet002787"	0.597971417631748	0.0078125	0.0315315315315315	0.247767857142857	1.32142857142857	0.916507899868995	""	FALSE
"Methionine, Cysteine, SAM and Taurine Metabolism_HUBMet_Pathway"	21	"HUBMet_Pathway"	33	1	"HUBMet001695"	0.658578333054862	0.0078125	0.0203578038247995	0.38375946969697	0.79227761485826	0.776784700526247	""	TRUE
"De Novo Triacylglycerol Biosynthesis_HUBMet_Pathway"	22	"HUBMet_Pathway"	201	5	"HUBMet001452;HUBMet001478;HUBMet001483;HUBMet001486;HUBMet002548"	0.778217147767613	0.0390625	0.123997532387415	0.315026430348259	0.650377146525437	0.873121677983176	""	TRUE
"Lipid transport_HUBMet_Pathway"	22	"HUBMet_Pathway"	875	21	"HUBMet000162;HUBMet000210;HUBMet000258;HUBMet000637;HUBMet001152;HUBMet001434;HUBMet001452;HUBMet001478;HUBMet001483;HUBMet001486;HUBMet001737;HUBMet001908;HUBMet002045;HUBMet002048;HUBMet002055;HUBMet002134;HUBMet002227;HUBMet002239;HUBMet002682;HUBMet002787;HUBMet003125"	0.950648417953025	0.1640625	0.53979025293029	0.3039375	0.627483870967742	0.971465493657396	""	FALSE
"Fatty Acid Metabolism_HUBMet_Pathway"	22	"HUBMet_Pathway"	895	21	"HUBMet000162;HUBMet000210;HUBMet000258;HUBMet000637;HUBMet001152;HUBMet001434;HUBMet001452;HUBMet001478;HUBMet001483;HUBMet001486;HUBMet001737;HUBMet001908;HUBMet002045;HUBMet002048;HUBMet002055;HUBMet002134;HUBMet002227;HUBMet002239;HUBMet002682;HUBMet002787;HUBMet003125"	0.962827429799461	0.1640625	0.552128315854411	0.297145600558659	0.613461885024329	0.971465493657396	""	FALSE
"Lipid metabolism_HUBMet_Pathway"	22	"HUBMet_Pathway"	1122	27	"HUBMet000162;HUBMet000190;HUBMet000197;HUBMet000210;HUBMet000258;HUBMet000412;HUBMet000637;HUBMet000655;HUBMet001152;HUBMet001434;HUBMet001452;HUBMet001478;HUBMet001483;HUBMet001486;HUBMet001737;HUBMet001908;HUBMet002045;HUBMet002048;HUBMet002055;HUBMet002134;HUBMet002227;HUBMet002239;HUBMet002548;HUBMet002682;HUBMet002787;HUBMet003090;HUBMet003125"	0.971465493657396	0.2109375	0.692165330043183	0.304750167112299	0.629161635328618	0.971465493657396	""	FALSE
"Triacylglycerol (TAG)_HUBMet_Class"	22	"HUBMet_Class"	147	1	"HUBMet002548"	0.992234158692245	0.0078125	0.165540540540541	0.0471938775510204	0.251700680272109	0.992234158692245	""	FALSE
"Fatty Acid-Long Chain Monounsaturated_HUBMet_Class"	23	"HUBMet_Class"	7	1	"HUBMet000258"	0.203239007799602	0.0078125	0.00788288288288288	0.991071428571429	5.28571428571428	0.916507899868995	""	TRUE
"Diacylglycerol (DAG)_HUBMet_Class"	24	"HUBMet_Class"	78	4	"HUBMet001452;HUBMet001478;HUBMet001483;HUBMet001486"	0.237142303408289	0.03125	0.0878378378378378	0.355769230769231	1.8974358974359	0.916507899868995	""	TRUE
"Phosphatidylinositol (PI)_HUBMet_Class"	25	"HUBMet_Class"	62	2	"HUBMet001152;HUBMet002227"	0.59455161394309	0.015625	0.0698198198198198	0.223790322580645	1.19354838709677	0.916507899868995	""	TRUE
"Phosphatidylethanolamine (PE)_HUBMet_Class"	26	"HUBMet_Class"	140	4	"HUBMet000190;HUBMet002134;HUBMet002682;HUBMet003090"	0.660703438110658	0.03125	0.157657657657658	0.198214285714286	1.05714285714286	0.916507899868995	""	TRUE
"Lysophosphatidylcholine (LPC)_HUBMet_Class"	27	"HUBMet_Class"	75	2	"HUBMet000637;HUBMet001737"	0.697894247180502	0.015625	0.0844594594594595	0.185	0.986666666666667	0.916507899868995	""	TRUE
"Phosphatidylcholine (PC)_HUBMet_Class"	28	"HUBMet_Class"	351	9	"HUBMet000162;HUBMet000197;HUBMet000412;HUBMet000655;HUBMet001908;HUBMet002045;HUBMet002048;HUBMet002055;HUBMet003125"	0.801944412385371	0.0703125	0.39527027027027	0.177884615384615	0.948717948717949	0.916507899868995	""	TRUE
"Lipid peroxidation_HUBMet_Pathway"	29	"HUBMet_Pathway"	60	1	"HUBMet001434"	0.85923264594873	0.0078125	0.0370141887723627	0.211067708333333	0.435752688172043	0.941064326515276	""	TRUE
