"reactome_name"	"reactome_id"	"up_reactome_name"	"up_reactome_id"	"HMDB.ID"	"N_met"
"Pregnenolone biosynthesis"	"R-HSA-196108"	"Metabolism of steroid hormones"	"R-HSA-196071"	"HMDB0006763;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000067;HMDB0000221;HMDB0000253;HMDB0000432;HMDB0001318;HMDB0304435;HMDB0059889"	11
"Endogenous sterols"	"R-HSA-211976"	"Cytochrome P450 - arranged by substrate type"	"R-HSA-211897"	"HMDB0006763;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0304356;HMDB0000067;HMDB0000053;HMDB0000151;HMDB0000221;HMDB0000319;HMDB0001251;HMDB0000253;HMDB0001547;HMDB0000016;HMDB0001830;HMDB0000145;HMDB0001496;HMDB0000063;HMDB0001023;HMDB0010315;HMDB0000432;HMDB0001318;HMDB0304435;HMDB0000037;HMDB0258755;HMDB0000015;HMDB0000626;HMDB0001419;HMDB0060136;HMDB0005896"	30
"Metabolism of Angiotensinogen to Angiotensins"	"R-HSA-2022377"	"Peptide hormone metabolism"	"R-HSA-2980736"	"HMDB0060574;HMDB0041907;HMDB0042005;HMDB0041908;HMDB0002111;HMDB0000492;HMDB0015532;HMDB0014682;HMDB0062762;HMDB0015328;HMDB0001938;HMDB0014722;HMDB0041886;HMDB0014635;HMDB0060579;HMDB0014928;HMDB0015019;HMDB0014324;HMDB0060582"	19
"Paracetamol ADME"	"R-HSA-9753281"	"Drug ADME"	"R-HSA-9748784"	"HMDB0242116;HMDB0242140;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001333;HMDB0015532;HMDB0059911;HMDB0010316;HMDB0001859;HMDB0304464"	11
"Glucuronidation"	"R-HSA-156588"	"Phase II - Conjugation of compounds"	"R-HSA-156580"	"HMDB0041740;HMDB0002111;HMDB0000228;HMDB0060169;HMDB0062723;HMDB0000295;HMDB0001934;HMDB0302214;HMDB0060616;HMDB0006543;HMDB0005781;HMDB0014813;HMDB0001859;HMDB0001272;HMDB0060014;HMDB0060491"	16
"Phase I - Functionalization of compounds"	"R-HSA-211945"	"Biological oxidations"	"R-HSA-211859"	"HMDB0041884;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0003767;HMDB0000306;HMDB0000855;HMDB0000067;HMDB0000051;HMDB0033934;HMDB0003125;HMDB0001389;HMDB0006115;HMDB0002434;HMDB0001875;HMDB0246437;HMDB0014925;HMDB0003905;HMDB0246741;HMDB0015043;HMDB0258755;HMDB0015132;HMDB0000464;HMDB0062762;HMDB0060449;HMDB0060091;HMDB0014716;HMDB0041836;HMDB0014420;HMDB0011643;HMDB0011648;HMDB0256387;HMDB0246417"	33
"Events associated with phagocytolytic activity of PMN cells"	"R-HSA-8941413"	"ROS and RNS production in phagocytes"	"R-HSA-1222556"	"HMDB0012974;HMDB0002111;HMDB0059597;HMDB0003125;HMDB0000492;HMDB0001453;HMDB0060493;HMDB0001050;HMDB0000803;HMDB0000692;HMDB0255649"	11
"Cytosolic sulfonation of small molecules"	"R-HSA-156584"	"Phase II - Conjugation of compounds"	"R-HSA-156580"	"HMDB0242165;HMDB0002111;HMDB0000228;HMDB0000067;HMDB0000151;HMDB0062723;HMDB0000253;HMDB0001232;HMDB0000145;HMDB0001425;HMDB0002580;HMDB0255151;HMDB0000547;HMDB0060015;HMDB0000077;HMDB0060074;HMDB0059911;HMDB0060382;HMDB0006492;HMDB0005869;HMDB0246002;HMDB0003036;HMDB0006275;HMDB0001859;HMDB0004448;HMDB0005949;HMDB0304464;HMDB0246539"	28
"Biosynthesis of electrophilic 蠅-3 PUFA oxo-derivatives"	"R-HSA-9027604"	"Biosynthesis of specialized proresolving mediators (SPMs)"	"R-HSA-9018678"	"HMDB0013040;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001999;HMDB0010213;HMDB0005081"	7
"Proton-coupled monocarboxylate transport"	"R-HSA-433692"	"Transport of bile salts and organic acids, metal ions and amine compounds"	"R-HSA-425366"	"HMDB0304256;HMDB0000060;HMDB0059597;HMDB0302214;HMDB0000190"	5
"Synthesis of Ketone Bodies"	"R-HSA-77111"	"Ketone body metabolism"	"R-HSA-74182"	"HMDB0304256;HMDB0000060;HMDB0059597;HMDB0001375;HMDB0000011;HMDB0000547"	6
"Tyrosine catabolism"	"R-HSA-8963684"	"Phenylalanine and tyrosine metabolism"	"R-HSA-8963691"	"HMDB0304256;HMDB0002111;HMDB0001377;HMDB0000707;HMDB0001967;HMDB0000692"	6
"Aspirin ADME"	"R-HSA-9749641"	"Drug ADME"	"R-HSA-9748784"	"HMDB0304256;HMDB0000060;HMDB0001879;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000228;HMDB0062723;HMDB0000295;HMDB0302214;HMDB0006543;HMDB0000190;HMDB0001859;HMDB0060014;HMDB0000840"	15
"Degradation of cysteine and homocysteine"	"R-HSA-1614558"	"Sulfur amino acid metabolism"	"R-HSA-1614635"	"HMDB0258580;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000051;HMDB0033934;HMDB0001368;HMDB0001967;HMDB0304277;HMDB0002991;HMDB0001453;HMDB0060292;HMDB0240656;HMDB0000692;HMDB0000005"	15
"Biosynthesis of protectins"	"R-HSA-9018681"	"Biosynthesis of DHA-derived SPMs"	"R-HSA-9018677"	"HMDB0003689;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0015532"	5
"Common Pathway of Fibrin Clot Formation"	"R-HSA-140875"	"Formation of Fibrin Clot (Clotting Cascade)"	"R-HSA-140877"	"HMDB0249167;HMDB0041827;HMDB0000464;HMDB0250817;HMDB0248515"	5
"Peptide ligand-binding receptors"	"R-HSA-375276"	"Class A/1 (Rhodopsin-like receptors)"	"R-HSA-373076"	"HMDB0015434;HMDB0015532;HMDB0000464;HMDB0014934;HMDB0015014;HMDB0014420;HMDB0015163;HMDB0014816;HMDB0015101;HMDB0014323"	10
"Nitric oxide stimulates guanylate cyclase"	"R-HSA-392154"	"Platelet homeostasis"	"R-HSA-418346"	"HMDB0259948;HMDB0304849;HMDB0250257;HMDB0248891;HMDB0001377;HMDB0001314;HMDB0003378;HMDB0001361;HMDB0000547;HMDB0062762;HMDB0257236"	11
"Smooth Muscle Contraction"	"R-HSA-445355"	"Muscle contraction"	"R-HSA-397014"	"HMDB0259948;HMDB0304849;HMDB0250257;HMDB0248891;HMDB0002111;HMDB0059597;HMDB0001314;HMDB0003378;HMDB0001361;HMDB0000547;HMDB0244085;HMDB0014865;HMDB0000464;HMDB0015158;HMDB0257236"	15
"Estrogen-dependent gene expression"	"R-HSA-9018519"	"ESR-mediated signaling"	"R-HSA-8939211"	"HMDB0304837;HMDB0000151;HMDB0001830;HMDB0000145;HMDB0000153"	5
"Maturation of nucleoprotein"	"R-HSA-9694631"	"Translation of Structural Proteins"	"R-HSA-9694635"	"HMDB0258758;HMDB0059597;HMDB0001185;HMDB0000939;HMDB0248784;HMDB0001406;HMDB0000547;HMDB0005949;HMDB0250080;HMDB0257518"	10
"ALKBH2 mediated reversal of alkylation damage"	"R-HSA-112122"	"Reversal of alkylation damage by DNA dioxygenases"	"R-HSA-73943"	"HMDB0000990;HMDB0001377;HMDB0001967;HMDB0001426;HMDB0000692"	5
"ALKBH3 mediated reversal of alkylation damage"	"R-HSA-112126"	"Reversal of alkylation damage by DNA dioxygenases"	"R-HSA-73943"	"HMDB0000990;HMDB0001377;HMDB0001967;HMDB0001426;HMDB0000692"	5
"Synthesis of PE"	"R-HSA-1483213"	"Glycerophospholipid biosynthesis"	"R-HSA-1483206"	"HMDB0000990;HMDB0002111;HMDB0000149;HMDB0000051;HMDB0033934;HMDB0001967;HMDB0000224;HMDB0000547;HMDB0001333"	9
"Androgen biosynthesis"	"R-HSA-193048"	"Metabolism of steroid hormones"	"R-HSA-196071"	"HMDB0000990;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0002961;HMDB0000053;HMDB0000253;HMDB0001830;HMDB0000374;HMDB0000234;HMDB0000077;HMDB0000363"	12
"CYP2E1 reactions"	"R-HSA-211999"	"Xenobiotics"	"R-HSA-211981"	"HMDB0000990;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000228;HMDB0000108;HMDB0000221;HMDB0001505;HMDB0000492;HMDB0304435;HMDB0001362;HMDB0031330;HMDB0259823;HMDB0060946;HMDB0001859;HMDB0015290"	16
"Pentose phosphate pathway"	"R-HSA-71336"	"Metabolism of carbohydrates"	"R-HSA-71387"	"HMDB0000990;HMDB0002111;HMDB0059597;HMDB0001967;HMDB0001127;HMDB0000547;HMDB0000692;HMDB0000283"	8
"Ethanol oxidation"	"R-HSA-71384"	"Phase I - Functionalization of compounds"	"R-HSA-211945"	"HMDB0000990;HMDB0000042;HMDB0002111;HMDB0059597;HMDB0001550;HMDB0000108;HMDB0015532;HMDB0004662"	8
"Neurotransmitter clearance"	"R-HSA-112311"	"Transmission across Chemical Synapses"	"R-HSA-112315"	"HMDB0000097;HMDB0000895;HMDB0002111;HMDB0015145;HMDB0014812;HMDB0014526;HMDB0015190;HMDB0005041;HMDB0015472;HMDB0014871;HMDB0015124"	11
"Synthesis of PA"	"R-HSA-1483166"	"Glycerophospholipid biosynthesis"	"R-HSA-1483206"	"HMDB0000097;HMDB0002111;HMDB0059597;HMDB0015532;HMDB0000464;HMDB0062321;HMDB0304951"	7
"Synthesis of PC"	"R-HSA-1483191"	"Glycerophospholipid biosynthesis"	"R-HSA-1483206"	"HMDB0000097;HMDB0000895;HMDB0002111;HMDB0000547;HMDB0015145;HMDB0001333;HMDB0000588;HMDB0014812;HMDB0014526;HMDB0015190;HMDB0005041;HMDB0015472;HMDB0014871;HMDB0015124"	14
"Acetylcholine Neurotransmitter Release Cycle"	"R-HSA-264642"	"Neurotransmitter release cycle"	"R-HSA-112310"	"HMDB0000097;HMDB0000895;HMDB0059597;HMDB0000492;HMDB0000588"	5
"Transport of bile salts and organic acids, metal ions and amine compounds"	"R-HSA-425366"	"SLC-mediated transmembrane transport"	"R-HSA-425407"	"HMDB0000097;HMDB0059597;HMDB0000294;HMDB0000562;HMDB0002580;HMDB0000492;HMDB0000588;HMDB0014644;HMDB0001842;HMDB0001921;HMDB0015169"	11
"Organic cation transport"	"R-HSA-549127"	"Organic cation/anion/zwitterion transport"	"R-HSA-549132"	"HMDB0000097;HMDB0059597;HMDB0014611;HMDB0000562;HMDB0000699;HMDB0015044;HMDB0000588;HMDB0014644;HMDB0001842;HMDB0001848;HMDB0015282;HMDB0003045;HMDB0001921;HMDB0015169"	14
"Choline catabolism"	"R-HSA-6798163"	"Metabolism of amino acids and derivatives"	"R-HSA-71291"	"HMDB0000097;HMDB0002111;HMDB0001252;HMDB0001426;HMDB0015532"	5
"Glycerophospholipid catabolism"	"R-HSA-6814848"	"PI Metabolism"	"R-HSA-1483255"	"HMDB0000097;HMDB0002111;HMDB0000086;HMDB0000211;HMDB0001565"	5
"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)"	"R-HSA-381771"	"Incretin synthesis, secretion, and inactivation"	"R-HSA-400508"	"HMDB0000895;HMDB0000220;HMDB0000207;HMDB0003345;HMDB0001388;HMDB0000573;HMDB0001999;HMDB0003073;HMDB0003229;HMDB0000806;HMDB0000464;HMDB0000638;HMDB0000826;HMDB0005031;HMDB0060039;HMDB0002925;HMDB0002226;HMDB0002088;HMDB0303351"	19
"G alpha (q) signalling events"	"R-HSA-416476"	"GPCR downstream signalling"	"R-HSA-388396"	"HMDB0000895;HMDB0000042;HMDB0059597;HMDB0001220;HMDB0001139;HMDB0001452;HMDB0001085;HMDB0002995;HMDB0002200;HMDB0304356;HMDB0000220;HMDB0000207;HMDB0001198;HMDB0001201;HMDB0001388;HMDB0000573;HMDB0001999;HMDB0003073;HMDB0003080;HMDB0003229;HMDB0000806;HMDB0015532;HMDB0000464;HMDB0000237;HMDB0000638;HMDB0062762;HMDB0000826;HMDB0005031;HMDB0242470;HMDB0060039;HMDB0002925;HMDB0002226;HMDB0004385;HMDB0303351"	34
"Stimuli-sensing channels"	"R-HSA-2672351"	"Ion channel transport"	"R-HSA-983712"	"HMDB0001879;HMDB0059597;HMDB0000289;HMDB0000492;HMDB0000588;HMDB0000464;HMDB0248461"	7
"Nicotinamide salvaging"	"R-HSA-197264"	"Nicotinate metabolism"	"R-HSA-196807"	"HMDB0000042;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001335;HMDB0001381;HMDB0001132;HMDB0001488;HMDB0003125;HMDB0000221;HMDB0000699;HMDB0001406;HMDB0000547;HMDB0003235;HMDB0014905;HMDB0000588;HMDB0000237;HMDB0014959;HMDB0005014;HMDB0000190;HMDB0015565;HMDB0005033;HMDB0015403"	23
"Olfactory Signaling Pathway"	"R-HSA-381753"	"Sensory Perception"	"R-HSA-9709957"	"HMDB0000042;HMDB0004487;HMDB0035089;HMDB0003352;HMDB0006236;HMDB0003441;HMDB0303210;HMDB0033731;HMDB0035155;HMDB0036100;HMDB0000492;HMDB0249885;HMDB0012308;HMDB0000547;HMDB0029686;HMDB0000718;HMDB0001398;HMDB0243636;HMDB0001218;HMDB0000482;HMDB0030003;HMDB0011626;HMDB0000588;HMDB0000464;HMDB0005812;HMDB0254464;HMDB0000237;HMDB0000535;HMDB0000638;HMDB0059901;HMDB0302508;HMDB0034406;HMDB0246158;HMDB0000190;HMDB0000666;HMDB0030941;HMDB0029665;HMDB0005809;HMDB0031864;HMDB0035157;HMDB0036906;HMDB0039095"	42
"Beta-oxidation of pristanoyl-CoA"	"R-HSA-389887"	"Peroxisomal lipid metabolism"	"R-HSA-390918"	"HMDB0000042;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001275;HMDB0003125;HMDB0002057;HMDB0062535;HMDB0006202;HMDB0062353"	10
"Organic anion transporters"	"R-HSA-428643"	"Transport of inorganic cations/anions and amino acids/oligopeptides"	"R-HSA-425393"	"HMDB0000042;HMDB0059597;HMDB0001488;HMDB0012238;HMDB0000588;HMDB0000237;HMDB0000190"	7
"Free fatty acid receptors"	"R-HSA-444209"	"Class A/1 (Rhodopsin-like receptors)"	"R-HSA-373076"	"HMDB0000042;HMDB0304356;HMDB0000220;HMDB0000207;HMDB0001388;HMDB0000573;HMDB0001999;HMDB0003073;HMDB0003229;HMDB0000806;HMDB0000237;HMDB0000638;HMDB0006111;HMDB0000826;HMDB0005031;HMDB0060039;HMDB0002925;HMDB0002226;HMDB0303351"	19
"Aflatoxin activation and detoxification"	"R-HSA-5423646"	"Biological oxidations"	"R-HSA-211859"	"HMDB0000042;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0006552;HMDB0015532;HMDB0006558;HMDB0062427"	8
"Aspartate and asparagine metabolism"	"R-HSA-8963693"	"Metabolism of amino acids and derivatives"	"R-HSA-71291"	"HMDB0000042;HMDB0002111;HMDB0059597;HMDB0000051;HMDB0033934;HMDB0001967;HMDB0303991;HMDB0000812;HMDB0015532"	9
"Carnitine metabolism"	"R-HSA-200425"	"Fatty acid metabolism"	"R-HSA-8978868"	"HMDB0001852;HMDB0000222;HMDB0001333;HMDB0000588;HMDB0000094"	5
"Regulation of pyruvate dehydrogenase (PDH) complex"	"R-HSA-204174"	"Pyruvate metabolism"	"R-HSA-70268"	"HMDB0001852;HMDB0002111;HMDB0000125;HMDB0000119;HMDB0002306;HMDB0000547"	6
"Vitamins"	"R-HSA-211916"	"Cytochrome P450 - arranged by substrate type"	"R-HSA-211897"	"HMDB0001852;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000221;HMDB0001903;HMDB0003550;HMDB0304435;HMDB0000876;HMDB0002369;HMDB0006254"	11
"Miscellaneous substrates"	"R-HSA-211958"	"Cytochrome P450 - arranged by substrate type"	"R-HSA-211897"	"HMDB0001852;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000221;HMDB0000738;HMDB0000234;HMDB0304435;HMDB0061918;HMDB0006254"	10
"RA biosynthesis pathway"	"R-HSA-5365859"	"Signaling by Retinoic Acid"	"R-HSA-5362517"	"HMDB0001852;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0002152;HMDB0006216;HMDB0000221;HMDB0000305;HMDB0001358;HMDB0304435;HMDB0015532;HMDB0002369;HMDB0006254;HMDB0006218"	14
"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation"	"R-HSA-1474151"	"Metabolism of cofactors"	"R-HSA-8978934"	"HMDB0257929;HMDB0002111;HMDB0059597;HMDB0304356;HMDB0003178;HMDB0001195;HMDB0000692;HMDB0015531;HMDB0015532;HMDB0000464"	10
"eNOS activation"	"R-HSA-203615"	"Metabolism of nitric oxide: NOS3 activation and regulation"	"R-HSA-202131"	"HMDB0257929;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001521;HMDB0000220;HMDB0003378;HMDB0000087;HMDB0003178;HMDB0002878;HMDB0002168;HMDB0003334;HMDB0015532;HMDB0000464;HMDB0062762"	15
"Catecholamine biosynthesis"	"R-HSA-209905"	"Metabolism of amine-derived hormones"	"R-HSA-209776"	"HMDB0257929;HMDB0304198;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001967;HMDB0013636;HMDB0000692"	8
"Serotonin and melatonin biosynthesis"	"R-HSA-209931"	"Metabolism of amine-derived hormones"	"R-HSA-209776"	"HMDB0257929;HMDB0304198;HMDB0059597;HMDB0001377;HMDB0001967;HMDB0001389;HMDB0001238;HMDB0000692"	8
"VEGFR2 mediated vascular permeability"	"R-HSA-5218920"	"VEGFA-VEGFR2 Pathway"	"R-HSA-4420097"	"HMDB0257929;HMDB0001377;HMDB0003378;HMDB0003178;HMDB0003334;HMDB0015532;HMDB0000464;HMDB0062762"	8
"Phenylalanine metabolism"	"R-HSA-8964208"	"Phenylalanine and tyrosine metabolism"	"R-HSA-8963691"	"HMDB0257929;HMDB0304198;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000051;HMDB0033934;HMDB0003125;HMDB0001875;HMDB0304081;HMDB0001894;HMDB0000692;HMDB0060484"	13
"Extra-nuclear estrogen signaling"	"R-HSA-9009391"	"ESR-mediated signaling"	"R-HSA-8939211"	"HMDB0257929;HMDB0002111;HMDB0001377;HMDB0001185;HMDB0003378;HMDB0001201;HMDB0003178;HMDB0003334;HMDB0015532;HMDB0000464;HMDB0062762;HMDB0062807"	12
"Neurotransmitter release cycle"	"R-HSA-112310"	"Transmission across Chemical Synapses"	"R-HSA-112315"	"HMDB0002111;HMDB0000220;HMDB0000149;HMDB0000207;HMDB0004080;HMDB0000806;HMDB0000638;HMDB0002100;HMDB0002088;HMDB0013078;HMDB0303351"	11
"Platelet degranulation"	"R-HSA-114608"	"Response to elevated platelet cytosolic Ca2+"	"R-HSA-76005"	"HMDB0002111;HMDB0059597;HMDB0001273;HMDB0001201;HMDB0000547;HMDB0000464"	6
"Tolerance of reactive oxygen produced by macrophages"	"R-HSA-1222387"	"Latent infection - Other responses of Mtb to phagocytosis"	"R-HSA-1222499"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0003125;HMDB0003178;HMDB0002168;HMDB0000692;HMDB0000657"	8
"Mtb iron assimilation by chelation"	"R-HSA-1222449"	"Latent infection - Other responses of Mtb to phagocytosis"	"R-HSA-1222499"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0003178;HMDB0000692;HMDB0015531"	6
"Tolerance by Mtb to nitric oxide produced by macrophages"	"R-HSA-1222538"	"Latent infection - Other responses of Mtb to phagocytosis"	"R-HSA-1222499"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000051;HMDB0033934;HMDB0003378;HMDB0000125;HMDB0003178;HMDB0002878;HMDB0015532;HMDB0255649;HMDB0004645"	12
"ROS and RNS production in phagocytes"	"R-HSA-1222556"	"Innate Immune System"	"R-HSA-168249"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001039;HMDB0003125;HMDB0003378;HMDB0001967;HMDB0000085;HMDB0000101;HMDB0003178;HMDB0002168;HMDB0002786;HMDB0000692;HMDB0015531;HMDB0001333;HMDB0015532;HMDB0251419;HMDB0062762;HMDB0255649;HMDB0004645"	20
"Erythrocytes take up carbon dioxide and release oxygen"	"R-HSA-1237044"	"O2/CO2 exchange in erythrocytes"	"R-HSA-1480926"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001967;HMDB0003178;HMDB0000492;HMDB0015532"	7
"Methionine salvage pathway"	"R-HSA-1237112"	"Sulfur amino acid metabolism"	"R-HSA-1614635"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0304356;HMDB0000034;HMDB0001173;HMDB0000547;HMDB0000692;HMDB0015532"	9
"Erythrocytes take up oxygen and release carbon dioxide"	"R-HSA-1247673"	"O2/CO2 exchange in erythrocytes"	"R-HSA-1480926"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001967;HMDB0003178;HMDB0000492;HMDB0015532"	7
"ABC transporters in lipid homeostasis"	"R-HSA-1369062"	"ABC-family proteins mediated transport"	"R-HSA-382556"	"HMDB0002111;HMDB0000067;HMDB0012089;HMDB0012092;HMDB0012096"	5
"COX reactions"	"R-HSA-140180"	"Phase I - Functionalization of compounds"	"R-HSA-211945"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001381;HMDB0003235"	5
"Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB"	"R-HSA-141333"	"Amine Oxidase reactions"	"R-HSA-140179"	"HMDB0002111;HMDB0001377;HMDB0003767;HMDB0000306;HMDB0000051;HMDB0033934;HMDB0003125;HMDB0006236;HMDB0012275;HMDB0041827;HMDB0004073"	11
"PAOs oxidise polyamines to amines"	"R-HSA-141334"	"Amine Oxidase reactions"	"R-HSA-140179"	"HMDB0002111;HMDB0001377;HMDB0003125;HMDB0001276;HMDB0001106;HMDB0012880;HMDB0062644"	7
"Methylation"	"R-HSA-156581"	"Phase II - Conjugation of compounds"	"R-HSA-156580"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0240545;HMDB0000926;HMDB0000050;HMDB0000221;HMDB0001426;HMDB0012259;HMDB0304435;HMDB0000547;HMDB0015167;HMDB0002274;HMDB0060412;HMDB0000586;HMDB0015532;HMDB0001856;HMDB0245190;HMDB0011625;HMDB0032425"	20
"Glutathione conjugation"	"R-HSA-156590"	"Phase II - Conjugation of compounds"	"R-HSA-156580"	"HMDB0002111;HMDB0304356;HMDB0001550;HMDB0000125;HMDB0002306;HMDB0255987;HMDB0060946;HMDB0062470;HMDB0006558;HMDB0060423;HMDB0243844;HMDB0062525"	12
